2017-18 Class Size by Race/Ethnicity Report ,,,,,,,,
District Name,District Code,%_class_aa,%class_asian,%_class_hispanic,%_class_white,%_class_native,%_class_islander,%_class_multirace
Abby Kelley Foster Charter Public (District),4450000,50,4.1,22.4,20.6,0.1,0.1,2.7
Abington,10000,3.2,2.2,8.5,84.8,0.3,0.1,0.9
Academy Of the Pacific Rim Charter Public (District),4120000,59.5,1.3,28,8.8,0,0.2,2.1
Acton-Boxborough,6000000,2.4,32.5,4.7,55.9,0.2,0.1,4.2
Acushnet,30000,0.8,0.1,3.4,93.6,0.1,0,1.9
Adams-Cheshire,6030000,4.1,0.8,2.5,90.6,0.2,0.1,1.7
Advanced Math and Science Academy Charter (District),4300000,1.9,17.7,5.6,67.9,0.2,0,6.7
Agawam,50000,2.4,3.1,7.9,84,0,0.1,2.5
Alma del Mar Charter School (District),4090000,13.3,0.5,51.3,28.1,0.8,0,6
Amesbury,70000,1.6,1.1,7.6,85.6,0.2,0.1,3.7
Amherst,80000,9.8,14.4,22.5,45.2,0.3,0,7.8
Amherst-Pelham,6050000,7.4,9.5,16.8,57.3,0.1,0.1,8.8
Andover,90000,2.3,18.5,5.7,70.7,0.2,0,2.6
Argosy Collegiate Charter School (District),35090000,10.5,2,18,63.4,0.5,0.5,5.1
Arlington,100000,3.8,12.6,6.4,71.7,0.1,0.2,5.3
Ashburnham-Westminster,6100000,0.6,0.8,4.1,92.5,0,0,1.9
Ashland,140000,2.4,13.9,11.5,68.6,0.6,0,3
Assabet Valley Regional Vocational Technical,8010000,0.6,0.4,14,82.2,0.3,0,2.5
Athol-Royalston,6150000,1.6,1,9.1,84.7,0,0,3.7
Atlantis Charter (District),4910000,4.9,1.7,10.7,78.7,0.1,0,3.9
Attleboro,160000,6,4.7,14.6,68.3,0.2,0.1,6.1
Auburn,170000,1.8,4.1,8.4,82.2,0.1,0,3.4
Avon,180000,29.1,4.4,7.9,53.6,0.4,0,4.6
Ayer Shirley School District,6160000,4.5,2.7,10.3,75.9,0.8,0.4,5.4
Barnstable,200000,7.9,2,13.7,71.2,0.4,0.3,4.6
