2017-18 Teacher Salaries Report ,,,
District Name,District Code,salary_totals,avg_salary
Abington,10000,"10,610,746","85,917"
Acton-Boxborough,6000000,"31,536,769","84,822"
Acushnet,30000,"5,098,533","76,860"
Adams-Cheshire,6030000,"6,775,396","82,426"
Agawam,50000,"24,109,895","74,116"
Amesbury,70000,"12,882,002","76,770"
Amherst,80000,"9,406,729","76,477"
Amherst-Pelham,6050000,"9,670,870","84,610"
Andover,90000,"41,150,023","85,092"
Arlington,100000,"30,389,114","75,090"
Ashburnham-Westminster,6100000,"11,157,131","69,127"
Ashland,140000,"15,997,243","79,628"
Assabet Valley Regional Vocational Technical,8010000,"8,563,439","73,886"
Athol-Royalston,6150000,"7,074,113","64,604"
Attleboro,160000,"31,824,218","83,792"
Auburn,170000,"13,339,572","74,150"
Avon,180000,"5,039,595","73,678"
Ayer Shirley School District,6160000,"8,601,819","63,017"
Barnstable,200000,"29,864,720","80,672"
Bedford,230000,"21,022,795","89,004"
Belchertown,240000,"11,245,519","67,973"
Bellingham,250000,"12,881,902","74,764"
Belmont,260000,"24,846,861","90,616"
Berkley,270000,"4,652,479","76,647"
Berkshire Hills,6180000,"8,195,278","73,632"
Berlin,280000,"1,553,886","86,327"
Berlin-Boylston,6200000,"3,416,313","73,468"
Beverly,300000,"24,533,710","74,435"
Billerica,310000,"31,485,547","83,185"
Blackstone Valley Regional Vocational Technical,8050000,"7,759,731","76,677"
Blackstone-Millville,6220000,"9,236,975","68,881"
Blue Hills Regional Vocational Technical,8060000,"6,982,777","81,195"
Boston,350000,"434,326,612","101,811"
Bourne,360000,"12,024,119","80,186"
Boxford,380000,"4,933,186","85,202"
Boylston,390000,"1,551,334","79,150"
Braintree,400000,"34,556,891","79,863"
Brewster,410000,"3,408,220","78,712"
Bridgewater-Raynham,6250000,"28,255,049","85,388"
Brimfield,430000,"1,984,445","75,454"
Bristol County Agricultural,9100000,"2,492,103","70,003"
Bristol-Plymouth Regional Vocational Technical,8100000,"9,193,862","90,893"
Brockton,440000,"97,396,208","96,174"
Brookfield,450000,"1,627,842","68,397"
Brookline,460000,"60,085,735","95,208"
Burlington,480000,"32,063,224","98,474"
Cambridge,490000,"60,295,729","88,191"
Canton,500000,"21,123,612","83,857"
Cape Cod Regional Vocational Technical,8150000,"5,203,438","79,080"
Carlisle,510000,"5,719,277","100,691"
Carver,520000,"8,576,088","72,740"
Central Berkshire,6350000,"9,199,152","73,652"
Chelmsford,560000,"29,391,399","78,671"
Chelsea,570000,"28,754,484","69,506"
Chesterfield-Goshen,6320000,"1,076,614","72,256"
Chicopee,610000,"44,552,709","72,185"
Clarksburg,630000,"923,487","59,580"
Clinton,640000,"10,050,569","66,428"
Cohasset,650000,"10,185,326","89,739"
Concord,670000,"16,855,517","99,501"
Concord-Carlisle,6400000,"10,529,788","102,630"
Conway,680000,"840,864","62,751"
Danvers,710000,"21,295,833","78,007"
Dartmouth,720000,"21,184,838","77,109"
Dedham,730000,"19,381,836","79,564"
Deerfield,740000,"2,272,528","57,678"
Dennis-Yarmouth,6450000,"21,333,980","74,673"
Dighton-Rehoboth,6500000,"16,455,190","72,299"
Douglas,770000,"6,550,786","69,468"
Dover,780000,"3,731,384","89,268"
Dover-Sherborn,6550000,"10,159,429","94,331"
Dracut,790000,"15,943,505","76,066"
Dudley-Charlton Reg,6580000,"19,208,540","70,594"
Duxbury,820000,"18,922,183","82,702"
East Bridgewater,830000,"11,206,254","72,485"
East Longmeadow,870000,"15,386,470","74,655"
Eastham,850000,"1,868,681","80,201"
Easthampton,860000,"7,882,715","67,605"
Easton,880000,"20,985,465","77,666"
Edgartown,890000,"3,602,688","93,576"
Erving,910000,"1,336,974","73,866"
Essex North Shore Agricultural and Technical School District,8170000,"9,227,303","75,202"
Everett,930000,"45,089,044","85,315"
Fairhaven,940000,"10,356,827","71,476"
Fall River,950000,"53,341,961","65,614"
Falmouth,960000,"22,936,360","78,362"
Farmington River Reg,6620000,"709,447","52,552"
Fitchburg,970000,"26,840,704","73,235"
Florida,980000,"573,453","48,598"
Foxborough,990000,"17,988,945","87,537"
Framingham,1000000,"60,084,577","90,639"
Franklin,1010000,"30,218,416","74,204"
Franklin County Regional Vocational Technical,8180000,"3,887,599","77,752"
Freetown-Lakeville,6650000,"14,661,930","75,616"
Frontier,6700000,"3,574,742","69,412"
Gardner,1030000,"11,170,800","64,721"
Gateway,6720000,"4,838,523","61,874"
Georgetown,1050000,"7,891,109","81,688"
Gill-Montague,6740000,"5,764,514","61,785"
Gloucester,1070000,"20,542,947","79,686"
Gosnold,1090000,"54,777","49,797"
Grafton,1100000,"17,199,726","71,191"
Granby,1110000,"3,477,941","61,017"
Greater Fall River Regional Vocational Technical,8210000,"11,952,130","88,863"
Greater Lawrence Regional Vocational Technical,8230000,"11,979,509","83,133"
Greater Lowell Regional Vocational Technical,8280000,"15,695,950","84,843"
Greater New Bedford Regional Vocational Technical,8250000,"16,179,106","81,507"
Greenfield,1140000,"9,900,296","62,149"
Groton-Dunstable,6730000,"14,036,234","79,346"
Hadley,1170000,"3,468,539","70,356"
Halifax,1180000,"3,131,351","80,291"
Hamilton-Wenham,6750000,"11,825,337","81,051"
Hampden-Wilbraham,6800000,"16,573,202","78,733"
Hampshire,6830000,"5,120,491","70,048"
Hancock,1210000,"400,116","58,841"
Hanover,1220000,"16,469,785","80,616"
Harvard,1250000,"7,650,945","85,200"
Hatfield,1270000,"2,609,550","61,691"
Haverhill,1280000,"38,783,403","70,928"
Hawlemont,6850000,"803,755","69,289"
Hingham,1310000,"25,899,621","87,233"
Holbrook,1330000,"6,376,912","74,410"
Holland,1350000,"1,273,280","69,578"
Holliston,1360000,"17,910,635","82,958"
Holyoke,1370000,"28,648,401","71,478"
Hopedale,1380000,"6,395,699","72,514"
Hopkinton,1390000,"23,835,488","90,906"
Hudson,1410000,"18,565,717","76,465"
Hull,1420000,"6,415,645","76,650"
Ipswich,1440000,"11,698,222","73,666"
King Philip,6900000,"9,630,536","75,771"
Kingston,1450000,"5,048,892","72,961"
Lanesborough,1480000,"1,243,378","63,116"
Lawrence,1490000,"75,506,522","69,533"
Lee,1500000,"4,737,311","67,773"
Leicester,1510000,"7,966,635","71,514"
Lenox,1520000,"6,204,377","77,652"
Leominster,1530000,"32,031,332","76,447"
Leverett,1540000,"1,025,554","56,975"
Lexington,1550000,"50,929,225","84,840"
Lincoln,1570000,"10,600,518","89,155"
Lincoln-Sudbury,6950000,"12,996,623","102,175"
Littleton,1580000,"9,393,596","77,441"
Longmeadow,1590000,"17,796,135","75,344"
Lowell,1600000,"81,181,196","76,091"
Ludlow,1610000,"15,314,169","67,942"
Lunenburg,1620000,"8,544,508","74,236"
Lynn,1630000,"83,857,920","76,870"
Lynnfield,1640000,"14,496,195","86,133"
Malden,1650000,"38,524,974","84,171"
Manchester Essex Regional,6980000,"10,568,898","82,376"
Mansfield,1670000,"26,002,403","86,935"
Marblehead,1680000,"20,272,250","77,375"
Marion,1690000,"2,998,049","86,151"
Marlborough,1700000,"30,105,726","77,793"
Marshfield,1710000,"24,688,469","75,523"
Martha's Vineyard,7000000,"7,191,646","101,006"
