2018 Advanced Course Completion Report (District)  - All Students,,,,,,,,,,
District Name,District Code,#_11_12_student_all,# _advanced_students_all,%_complete_advanced_all,%_ELA_all,%_math_all,%_science_tech_all,%_history_socialscience_all,%_arts_all,%_other_subjects_all
Abby Kelley Foster Charter Public (District),4450000,175,140,80,34.3,61.7,34.3,36.6,34.3,35
Abington,10000,233,189,81.1,12.9,80.7,5.6,15,0,0
Academy Of the Pacific Rim Charter Public (District),4120000,80,68,85,0,83.8,35,27.5,0,29
Acton-Boxborough,6000000,955,637,66.7,6.4,57.8,33.7,32.6,0,9
Adams-Cheshire,6030000,170,106,62.4,32.9,57.6,7.1,9.4,0,0
Advanced Math and Science Academy Charter (District),4300000,221,209,94.6,26.2,90,50.2,33,1.8,17
Agawam,50000,562,352,62.6,30.8,42,44.3,20.6,0,1
Amesbury,70000,310,310,100,59.4,93.9,74.8,79,54.8,84
Amherst-Pelham,6050000,456,359,78.7,0,71.1,29.2,6.6,0,18
Andover,90000,865,743,85.9,27.3,84.7,36,8.4,0.3,14
Arlington,100000,664,489,73.6,0,68.2,30,39.2,1.1,10
Ashburnham-Westminster,6100000,343,201,58.6,22.7,48.4,9.9,4.7,2,3
Ashland,140000,361,227,62.9,9.7,60.1,17.2,18,1.1,9
Assabet Valley Regional Vocational Technical,8010000,526,357,67.9,24,61.2,31.6,23.2,7,21
Athol-Royalston,6150000,172,87,50.6,16.3,44.2,14,9.9,0,0
Atlantis Charter (District),4910000,105,46,43.8,13.3,35.2,14.3,13.3,0,0
Attleboro,160000,860,510,59.3,12,52,18.6,19.3,0,2
Auburn,170000,366,215,58.7,13.9,49.2,20.5,24.3,0.5,3
Avon,180000,90,50,55.6,26.7,50,14.4,0,0,0
Ayer Shirley School District,6160000,197,111,56.3,24.9,45.7,20.3,16.8,0,0
Barnstable,200000,738,422,57.2,16.7,50.4,11.2,34.3,0.4,10
Baystate Academy Charter Public School (District),35020000,56,53,94.6,26.8,0,94.6,0,0,0
Bedford,230000,423,208,49.2,0,48.2,16.5,0,0,8
Belchertown,240000,345,181,52.5,7.8,31.6,18.8,15.1,0.3,7
Bellingham,250000,290,183,63.1,17.2,61.4,15.5,9.3,0,0
Belmont,260000,637,542,85.1,11.5,77.4,69.5,49,3.5,15
Berkshire Arts and Technology Charter Public (District),4140000,68,51,75,57.4,64.7,52.9,23.5,0,13
Berkshire Hills,6180000,270,149,55.2,23.3,43,22.6,6.7,6.7,2
Berlin-Boylston,6200000,155,105,67.7,20.6,65.8,13.5,25.2,0,0
Beverly,300000,608,374,61.5,14.3,55.4,16.3,7.2,4.6,2
Billerica,310000,558,417,74.7,5.7,71.5,20.4,24.7,0,8
Blackstone Valley Regional Vocational Technical,8050000,601,395,65.7,28.6,52.4,25,3.5,0,2
Blackstone-Millville,6220000,195,99,50.8,26.7,43.6,10.3,13.8,0.5,0
Blue Hills Regional Vocational Technical,8060000,423,324,76.6,41.8,59.6,47.8,40.9,5.2,19
Boston,350000,"8,191","4,229",51.6,14.7,43.4,15,6.9,1.2,7
Boston Collegiate Charter (District),4490000,150,149,99.3,30,99.3,38.7,54,0,0
Boston Day and Evening Academy Charter (District),4240000,306,19,6.2,0,6.2,0,0,0,0
Boston Green Academy Horace Mann Charter School (District),4110000,119,75,63,30.3,51.3,26.1,0,0,0
Boston Preparatory Charter Public (District),4160000,111,110,99.1,52.3,94.6,69.4,30.6,0,0
Bourne,360000,221,122,55.2,14,54.3,14.5,18.1,0,0
Braintree,400000,802,561,70,7.7,69.1,19.2,30.4,0.1,10
Bridgewater-Raynham,6250000,762,432,56.7,23.9,48.2,22.4,12.2,1,0
Bristol County Agricultural,9100000,221,42,19,0,19,0,0,0,0
Bristol-Plymouth Regional Vocational Technical,8100000,591,334,56.5,33.3,55.2,26.6,26.6,0,27
Brockton,440000,"2,381",988,41.5,9.5,37.6,4.5,7.6,1.4,10
Brookline,460000,999,923,92.4,0,86.3,53.6,23,2.7,11
Burlington,480000,481,297,61.7,14.6,58.4,29.9,14.8,1.9,7
Cambridge,490000,"1,012",595,58.8,19.5,47,24.8,10.6,2.3,9
Canton,500000,490,407,83.1,45.5,66.7,23.9,32.4,2.2,4
Cape Cod Regional Vocational Technical,8150000,274,119,43.4,34.7,38.3,27.4,32.8,0.7,28
Carver,520000,187,131,70.1,20.9,64.7,25.1,20.9,0,0
Central Berkshire,6350000,267,175,65.5,20.6,58.1,12,16.1,0.7,0
Chelmsford,560000,733,685,93.5,10.9,93.3,15.1,26.6,2,6
Chelsea,570000,746,412,55.2,14.1,48.7,9.7,5.4,1.1,3
Chicopee,610000,"1,150",488,42.4,17.5,34,9.1,12.3,0,4
City on a Hill Charter Public School Circuit Street (District),4370000,80,65,81.3,20,76.3,13.8,36.3,0,11
City on a Hill Charter Public School Dudley Square (District),35040000,109,82,75.2,8.3,74.3,14.7,21.1,0,5
City on a Hill Charter Public School New Bedford (District),35070000,64,25,39.1,0,37.5,0,14.1,0,0
Clinton,640000,208,92,44.2,17.8,37,13,4.3,0,1
Codman Academy Charter Public (District),4380000,69,32,46.4,37.7,44.9,37.7,0,0,7
Cohasset,650000,212,193,91,35.4,72.6,23.1,33,0,6
Community Charter School of Cambridge (District),4360000,103,87,84.5,21.4,59.2,35,35,0,15
Concord-Carlisle,6400000,663,548,82.7,1.7,78.4,21.7,0.8,3,10
Danvers,710000,473,320,67.7,24.5,59.4,15.2,37.2,1.1,4
Dartmouth,720000,525,323,61.5,13.7,42.7,7.2,11.2,4.8,4
Dedham,730000,351,241,68.7,18.8,66.4,18.8,26.8,0.9,7
Dennis-Yarmouth,6450000,417,154,36.9,17.7,16.3,4.8,23.3,1.7,6
Dighton-Rehoboth,6500000,413,277,67.1,22.8,63.2,12.6,27.4,5.1,9
Douglas,770000,196,93,47.4,20.4,40.3,18.9,13.3,0,6
Dover-Sherborn,6550000,316,315,99.7,78.2,98.4,59.5,66.8,41.1,99
