2018 Advanced Course Completion Report (District)  - Asian,,,,,,,,,,
District Name,District Code,#_11_12_student_asian,# _advanced_students_asian,%_complete_advanced_asian,%_ELA_asian,%_math_asian,%_science_tech_asian,%_history_socialscience_asian,%_arts_asian,%_other_subjects_asian
Abby Kelley Foster Charter Public (District),04450000,          11,          11, 100.0,  54.5, 100.0,  54.5,  72.7,  63.6,  55.0
Abington,00010000,           4,,,,,,,,
Academy Of the Pacific Rim Charter Public (District),04120000,           1,,,,,,,,
Acton-Boxborough,06000000,         277,         242,  87.4,  12.6,  80.9,  46.2,  46.9,   0.0,  14.0
Adams-Cheshire,06030000,           4,,,,,,,,
Advanced Math and Science Academy Charter (District),04300000,          38,          38, 100.0,  36.8, 100.0,  65.8,  52.6,   5.3,  24.0
Agawam,00050000,          14,          10,  71.4,  42.9,  57.1,  50.0,  28.6,   0.0,   0.0
Amesbury,00070000,           4,,,,,,,,
Amherst-Pelham,06050000,          46,          41,  89.1,   0.0,  78.3,  43.5,   6.5,   0.0,  26.0
Andover,00090000,         131,         125,  95.4,  41.2,  94.7,  67.9,   9.9,   0.0,  21.0
Arlington,00100000,          75,          53,  70.7,   0.0,  62.7,  33.3,  29.3,   0.0,  12.0
Ashburnham-Westminster,06100000,           4,,,,,,,,
Ashland,00140000,          34,          27,  79.4,  26.5,  79.4,  41.2,  44.1,   0.0,  18.0
Assabet Valley Regional Vocational Technical,08010000,           1,,,,,,,,
Athol-Royalston,06150000,           1,,,,,,,,
Atlantis Charter (District),04910000,           4,,,,,,,,
Attleboro,00160000,          35,          25,  71.4,  17.1,  60.0,  20.0,  31.4,   0.0,   0.0
Auburn,00170000,          17,          13,  76.5,  23.5,  76.5,  47.1,  17.6,   0.0,   6.0
Avon,00180000,           4,,,,,,,,
Ayer Shirley School District,06160000,           5,,,,,,,,
Barnstable,00200000,          25,          17,  68.0,  28.0,  64.0,  28.0,  40.0,   0.0,  20.0
Bedford,00230000,          44,          32,  72.7,   0.0,  70.5,  43.2,   0.0,   0.0,  16.0
Belchertown,00240000,           5,,,,,,,,
Bellingham,00250000,           7,           7, 100.0,  57.1, 100.0,  42.9,  42.9,   0.0,   0.0
Belmont,00260000,         116,         107,  92.2,  10.3,  85.3,  77.6,  59.5,   4.3,  26.0
Berkshire Arts and Technology Charter Public (District),04140000,           3,,,,,,,,
Berkshire Hills,06180000,           6,           4,  66.7,  16.7,  66.7,  50.0,   0.0,   0.0,   0.0
