2018 Advanced Course Completion Report (District)  - African American/Black,,,,,,,,,,
District Name,District Code,#_11_12_student_black,# _advanced_students_black,%_complete_advanced_black,%_ELA_black,%_math_black,%_science_tech_black,%_history_socialscience_black,%_arts_black,%_other_subjects_black
Abby Kelley Foster Charter Public (District),04450000,          71,          57,  80.3,  35.2,  63.4,  31.0,  28.2,  25.4,  23.0
Abington,00010000,           7,           6,  85.7,  14.3,  85.7,  14.3,  14.3,   0.0,   0.0
Academy Of the Pacific Rim Charter Public (District),04120000,          44,          38,  86.4,   0.0,  84.1,  38.6,  31.8,   0.0,  27.0
Acton-Boxborough,06000000,          19,           6,  31.6,   0.0,  31.6,  26.3,   0.0,   0.0,   0.0
Adams-Cheshire,06030000,           6,           3,  50.0,  16.7,  50.0,   0.0,   0.0,   0.0,   0.0
Advanced Math and Science Academy Charter (District),04300000,           7,           6,  85.7,  28.6,  85.7,  42.9,  28.6,   0.0,  43.0
Agawam,00050000,           9,           4,  44.4,  22.2,  22.2,  22.2,  33.3,   0.0,   0.0
Amesbury,00070000,           4,,,,,,,,
Amherst-Pelham,06050000,          36,          20,  55.6,   0.0,  55.6,   5.6,   0.0,   0.0,   0.0
Andover,00090000,          19,          14,  73.7,  15.8,  68.4,  31.6,   5.3,   0.0,  11.0
Arlington,00100000,          30,           9,  30.0,   0.0,  30.0,   0.0,  10.0,   0.0,   0.0
Ashburnham-Westminster,06100000,           2,,,,,,,,
Ashland,00140000,           7,           4,  57.1,  14.3,  57.1,  14.3,  14.3,   0.0,   0.0
Assabet Valley Regional Vocational Technical,08010000,           3,,,,,,,,
Athol-Royalston,06150000,           3,,,,,,,,
Atlantis Charter (District),04910000,           7,           2,  28.6,   0.0,  28.6,   0.0,   0.0,   0.0,   0.0
Attleboro,00160000,          54,          20,  37.0,   5.6,  35.2,   5.6,   9.3,   0.0,   2.0
Auburn,00170000,          11,           7,  63.6,  18.2,  36.4,  27.3,  18.2,   9.1,   0.0
