2018 Advanced Course Completion Report (District)  - Students with disabilities,,,,,,,,,,
District Name,District Code,#_11_12_student_disabled,# _advanced_students_disabled,%_complete_advanced_disabled,%_ELA_disabled,%_math_disabled,%_science_tech_disabled,%_history_socialscience_disabled,%_arts_disabled,%_other_subjects_disabled
Abby Kelley Foster Charter Public (District),04450000,          18,           7,  38.9,   5.6,  22.2,   0.0,   5.6,   5.6,  22.0
Abington,00010000,          20,           5,  25.0,   0.0,  25.0,   0.0,   0.0,   0.0,   0.0
Academy Of the Pacific Rim Charter Public (District),04120000,          24,          14,  58.3,   0.0,  58.3,  16.7,  12.5,   0.0,   8.0
Acton-Boxborough,06000000,          95,          18,  18.9,   1.1,  17.9,   7.4,   6.3,   0.0,   1.0
Adams-Cheshire,06030000,          30,           9,  30.0,   0.0,  26.7,   0.0,   3.3,   0.0,   0.0
Advanced Math and Science Academy Charter (District),04300000,           6,           3,  50.0,  16.7,  50.0,  16.7,  16.7,   0.0,   0.0
Agawam,00050000,          71,           5,   7.0,   2.8,   7.0,   1.4,   1.4,   0.0,   1.0
Amesbury,00070000,          60,          60, 100.0,  86.7,  93.3,  88.3,  90.0,  61.7, 100.0
Amherst-Pelham,06050000,          83,          30,  36.1,   0.0,  32.5,   3.6,   1.2,   0.0,   2.0
Andover,00090000,         129,          55,  42.6,   7.0,  40.3,   5.4,   3.1,   0.8,   5.0
Arlington,00100000,          66,          18,  27.3,   0.0,  24.2,   9.1,   6.1,   0.0,   2.0
Ashburnham-Westminster,06100000,          40,           2,   5.0,   2.5,   2.5,   0.0,   0.0,   0.0,   0.0
Ashland,00140000,          52,          22,  42.3,   0.0,  38.5,   0.0,   0.0,   0.0,   4.0
Assabet Valley Regional Vocational Technical,08010000,         161,          96,  59.6,  16.1,  56.5,  14.9,  16.1,   5.6,  16.0
Athol-Royalston,06150000,          41,           3,   7.3,   0.0,   7.3,   0.0,   0.0,   0.0,   0.0
Atlantis Charter (District),04910000,          18,           1,   5.6,   0.0,   5.6,   0.0,   0.0,   0.0,   0.0
Attleboro,00160000,         119,          28,  23.5,   0.0,  16.0,  10.1,   0.0,   0.0,   1.0
Auburn,00170000,          28,           0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0
Avon,00180000,          12,           3,  25.0,   0.0,  25.0,   8.3,   0.0,   0.0,   0.0
Ayer Shirley School District,06160000,          27,           3,  11.1,   3.7,  11.1,   0.0,   3.7,   0.0,   0.0
Barnstable,00200000,          81,          10,  12.3,   1.2,   8.6,   0.0,   3.7,   0.0,   0.0
Baystate Academy Charter Public School (District),35020000,          13,          11,  84.6,   0.0,   0.0,  84.6,   0.0,   0.0,   0.0
Bedford,00230000,          68,           4,   5.9,   0.0,   4.4,   1.5,   0.0,   0.0,   0.0
Belchertown,00240000,          42,           2,   4.8,   0.0,   4.8,   0.0,   0.0,   0.0,   0.0
Bellingham,00250000,          63,          17,  27.0,   1.6,  27.0,   3.2,   1.6,   0.0,   0.0
Belmont,00260000,          42,          11,  26.2,   0.0,  16.7,  16.7,   7.1,   0.0,   2.0
Berkshire Arts and Technology Charter Public (District),04140000,          16,           7,  43.8,  18.8,  25.0,  18.8,  12.5,   0.0,   6.0
Berkshire Hills,06180000,          29,           2,   6.9,   0.0,   6.9,   0.0,   0.0,   0.0,   0.0
Berlin-Boylston,06200000,          15,           4,  26.7,   0.0,  26.7,   0.0,   0.0,   0.0,   0.0
Beverly,00300000,          89,          13,  14.6,   1.1,  11.2,   1.1,   2.2,   1.1,   0.0
Billerica,00310000,          50,          20,  40.0,   0.0,  40.0,   0.0,   0.0,   0.0,   0.0
Blackstone Valley Regional Vocational Technical,08050000,          37,           6,  16.2,   0.0,  13.5,   5.4,   2.7,   0.0,   0.0
Blackstone-Millville,06220000,          30,           1,   3.3,   0.0,   3.3,   0.0,   0.0,   0.0,   0.0
Blue Hills Regional Vocational Technical,08060000,         103,          63,  61.2,  18.4,  53.4,  23.3,  18.4,   2.9,  13.0
Boston,00350000,"       1,423",         334,  23.5,   2.9,  20.1,   3.8,   1.1,   0.4,   3.0
Boston Collegiate Charter (District),04490000,          20,          20, 100.0,  10.0, 100.0,  15.0,  20.0,   0.0,   0.0
Boston Day and Evening Academy Charter (District),04240000,          71,           1,   1.4,   0.0,   1.4,   0.0,   0.0,   0.0,   0.0
Boston Green Academy Horace Mann Charter School (District),04110000,          40,          11,  27.5,   5.0,  20.0,   7.5,   0.0,   0.0,   0.0
Boston Preparatory Charter Public (District),04160000,          30,          29,  96.7,  13.3,  80.0,  63.3,   3.3,   0.0,   0.0
Bourne,00360000,          35,           3,   8.6,   0.0,   8.6,   0.0,   0.0,   0.0,   0.0
Braintree,00400000,         154,          62,  40.3,   0.0,  40.3,   2.6,   2.6,   0.0,   1.0
Bridgewater-Raynham,06250000,          64,           5,   7.8,   0.0,   7.8,   0.0,   0.0,   0.0,   0.0
Bristol County Agricultural,09100000,          24,           0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0
Bristol-Plymouth Regional Vocational Technical,08100000,         106,          28,  26.4,  15.1,  26.4,  14.2,  14.2,   0.0,  14.0
Brockton,00440000,         285,          37,  13.0,   1.4,  11.6,   0.4,   0.4,   0.4,   3.0
Brookline,00460000,         146,         108,  74.0,   0.0,  73.3,  28.1,   0.7,   0.0,   1.0
Burlington,00480000,          25,           3,  12.0,   0.0,  12.0,   4.0,   0.0,   0.0,   0.0
Cambridge,00490000,         160,          29,  18.1,   5.6,  13.1,   2.5,   0.0,   0.0,   1.0
Canton,00500000,          41,           8,  19.5,   7.3,  12.2,   2.4,   7.3,   0.0,   0.0
Cape Cod Regional Vocational Technical,08150000,          54,          12,  22.2,  20.4,  20.4,  18.5,  18.5,   1.9,  20.0
Carver,00520000,          27,           5,  18.5,   0.0,  18.5,   0.0,   3.7,   0.0,   0.0
Central Berkshire,06350000,          21,           1,   4.8,   0.0,   4.8,   4.8,   4.8,   0.0,   0.0
Chelmsford,00560000,          94,          67,  71.3,   0.0,  70.2,   0.0,   2.1,   0.0,   2.0
