2018 Advanced Course Completion Report (District)  - High Needs,,,,,,,,,,,
District Name,District Code,#_11_12_student_highneeds,# _advanced_students_highneeds,%_complete_advanced_highneeds,%_ELA_highneeds,%_math_highneeds,%_science_tech_highneeds,%_history_socialscience_highneeds,%_arts_highneeds,%_other_subjects_highneeds,
Abby Kelley Foster Charter Public (District),04450000,          69,          44,  63.8,  18.8,  43.5,  17.4,  23.2,  21.7,  30.0,
Abington,00010000,          76,          47,  61.8,   3.9,  61.8,   3.9,   9.2,   0.0,   0.0,
Academy Of the Pacific Rim Charter Public (District),04120000,          48,          38,  79.2,   0.0,  77.1,  31.3,  20.8,   0.0,  19.0,
Acton-Boxborough,06000000,         153,          44,  28.8,   0.7,  26.1,  13.7,   9.2,   0.0,   3.0,
Adams-Cheshire,06030000,          76,          32,  42.1,  14.5,  36.8,   1.3,   7.9,   0.0,   0.0,
Advanced Math and Science Academy Charter (District),04300000,          20,          17,  85.0,   5.0,  85.0,  15.0,  20.0,   0.0,  15.0,
Agawam,00050000,         193,          82,  42.5,  21.2,  26.4,  25.9,  10.4,   0.0,   1.0,
Amesbury,00070000,          98,          98, 100.0,  79.6,  91.8,  85.7,  86.7,  55.1,  92.0,
Amherst-Pelham,06050000,         170,          87,  51.2,   0.0,  47.6,   9.4,   2.4,   0.0,   6.0,
Andover,00090000,         176,          95,  54.0,   9.1,  52.3,   9.1,   3.4,   0.6,   7.0,
Arlington,00100000,         137,          51,  37.2,   0.0,  34.3,  13.1,  15.3,   0.7,   5.0,
Ashburnham-Westminster,06100000,          88,          25,  28.4,   9.1,  21.6,   2.3,   2.3,   0.0,   1.0,
Ashland,00140000,          92,          35,  38.0,   1.1,  34.8,   0.0,   2.2,   0.0,   3.0,
Assabet Valley Regional Vocational Technical,08010000,         261,         158,  60.5,  17.2,  55.6,  18.4,  16.1,   5.7,  16.0,
Athol-Royalston,06150000,         101,          39,  38.6,   5.9,  34.7,   5.9,   6.9,   0.0,   0.0,
Atlantis Charter (District),04910000,          54,          15,  27.8,  11.1,  18.5,   7.4,   7.4,   0.0,   0.0,
Attleboro,00160000,         334,         132,  39.5,   4.5,  33.8,  11.1,   6.6,   0.0,   1.0,
Auburn,00170000,          85,          24,  28.2,   4.7,  28.2,   5.9,   8.2,   0.0,   0.0,
Avon,00180000,          41,          19,  46.3,  17.1,  41.5,   7.3,   0.0,   0.0,   0.0,
Ayer Shirley School District,06160000,          69,          22,  31.9,   7.2,  23.2,   8.7,  13.0,   0.0,   0.0,
Barnstable,00200000,         271,          83,  30.6,   3.3,  27.7,   3.7,  12.9,   0.0,   4.0,
Baystate Academy Charter Public School (District),35020000,          47,          44,  93.6,  21.3,   0.0,  93.6,   0.0,   0.0,   0.0,
Bedford,00230000,          99,          13,  13.1,   0.0,  12.1,   4.0,   0.0,   0.0,   1.0,
Belchertown,00240000,          71,          18,  25.4,   2.8,  12.7,   7.0,   5.6,   0.0,   0.0,
Bellingham,00250000,         102,          39,  38.2,   4.9,  37.3,   6.9,   2.9,   0.0,   0.0,
Belmont,00260000,          95,          49,  51.6,   1.1,  43.2,  35.8,  20.0,   2.1,   5.0,
Berkshire Arts and Technology Charter Public (District),04140000,          34,          23,  67.6,  47.1,  52.9,  44.1,  20.6,   0.0,  12.0,
