2018 Advanced Course Completion Report (District)  - Hispanic or Latino,,,,,,,,,,,
District Name,District Code,#_11_12_student_hispanic,# _advanced_students_hispanic,%_complete_advanced_hispanic,%_ELA_hispanic,%_math_hispanic,%_science_tech_hispanic,%_history_socialscience_hispanic,%_arts_hispanic,%_other_subjects_hispanic,
Abby Kelley Foster Charter Public (District),04450000,          41,          30,  73.2,  12.2,  46.3,  19.5,  24.4,  34.1,  46.0,
Abington,00010000,          24,          11,  45.8,   0.0,  45.8,   0.0,   4.2,   0.0,   0.0,
Academy Of the Pacific Rim Charter Public (District),04120000,          23,          20,  87.0,   0.0,  87.0,  30.4,  21.7,   0.0,  30.0,
Acton-Boxborough,06000000,          35,          12,  34.3,   0.0,  20.0,  20.0,   8.6,   0.0,  11.0,
Adams-Cheshire,06030000,           3,,,,,,,,,
Advanced Math and Science Academy Charter (District),04300000,           8,           7,  87.5,  25.0,  75.0,  62.5,  12.5,   0.0,  50.0,
Agawam,00050000,          31,          12,  38.7,  12.9,  25.8,  29.0,  12.9,   0.0,   0.0,
Amesbury,00070000,          18,          18, 100.0,  50.0,  77.8,  72.2,  77.8,  38.9,  89.0,
Amherst-Pelham,06050000,          74,          38,  51.4,   0.0,  44.6,  14.9,   1.4,   0.0,   7.0,
Andover,00090000,          37,          19,  51.4,  13.5,  51.4,   8.1,   2.7,   0.0,  11.0,
Arlington,00100000,          45,          25,  55.6,   0.0,  51.1,  15.6,  28.9,   0.0,   9.0,
Ashburnham-Westminster,06100000,           7,           6,  85.7,  28.6,  71.4,   0.0,   0.0,   0.0,  14.0,
Ashland,00140000,          33,          12,  36.4,   0.0,  30.3,   6.1,   6.1,   0.0,  12.0,
Assabet Valley Regional Vocational Technical,08010000,          73,          39,  53.4,  15.1,  49.3,  17.8,  12.3,   8.2,  11.0,
Athol-Royalston,06150000,          17,           9,  52.9,  11.8,  47.1,   5.9,   5.9,   0.0,   0.0,
Atlantis Charter (District),04910000,          17,           4,  23.5,  11.8,  17.6,   0.0,   5.9,   0.0,   0.0,
Attleboro,00160000,         100,          50,  50.0,   6.0,  41.0,  14.0,  12.0,   0.0,   0.0,
Auburn,00170000,          22,           9,  40.9,   9.1,  31.8,   4.5,  22.7,   0.0,   0.0,
Avon,00180000,           6,           4,  66.7,  16.7,  66.7,   0.0,   0.0,   0.0,   0.0,
Ayer Shirley School District,06160000,          14,           8,  57.1,  14.3,  42.9,  21.4,  14.3,   0.0,   0.0,
Barnstable,00200000,          78,          25,  32.1,   3.8,  30.8,   3.8,  11.5,   0.0,  10.0,
Baystate Academy Charter Public School (District),35020000,          40,          39,  97.5,  22.5,   0.0,  97.5,   0.0,   0.0,   0.0,
Bedford,00230000,          30,          15,  50.0,   0.0,  50.0,   6.7,   0.0,   0.0,   3.0,
Belchertown,00240000,          11,           7,  63.6,  18.2,  27.3,  27.3,  18.2,   9.1,   9.0,
Bellingham,00250000,          17,          10,  58.8,  11.8,  47.1,  11.8,   0.0,   0.0,   0.0,
Belmont,00260000,          18,          12,  66.7,   0.0,  55.6,  50.0,  27.8,   0.0,  11.0,
Berkshire Arts and Technology Charter Public (District),04140000,           4,,,,,,,,,
Berkshire Hills,06180000,          16,           6,  37.5,  18.8,  31.3,  12.5,  18.8,   0.0,   0.0,
Berlin-Boylston,06200000,           2,,,,,,,,,
Beverly,00300000,          54,          20,  37.0,   5.6,  33.3,   7.4,   1.9,   1.9,   2.0,
Billerica,00310000,          25,          17,  68.0,   0.0,  64.0,   8.0,   8.0,   0.0,   0.0,
