2018 Advanced Course Completion Report (District)  - Economically Disadvantaged,,,,,,,,,,
District Name,District Code,#_11_12_student_lowincome,# _advanced_students_lowincome,%_complete_advanced_lowincome,%_ELA_lowincome,%_math_lowincome,%_science_tech_lowincome,%_history_socialscience_lowincome,%_arts_lowincome,%_other_subjects_lowincome
Abby Kelley Foster Charter Public (District),04450000,          61,          40,  65.6,  21.3,  44.3,  19.7,  24.6,  24.6,  30.0
Abington,00010000,          65,          45,  69.2,   4.6,  69.2,   4.6,  10.8,   0.0,   0.0
Academy Of the Pacific Rim Charter Public (District),04120000,          38,          31,  81.6,   0.0,  78.9,  34.2,  23.7,   0.0,  21.0
Acton-Boxborough,06000000,          63,          25,  39.7,   0.0,  36.5,  22.2,  12.7,   0.0,   3.0
Adams-Cheshire,06030000,          67,          29,  43.3,  16.4,  37.3,   1.5,   9.0,   0.0,   0.0
Advanced Math and Science Academy Charter (District),04300000,          13,          13, 100.0,   0.0, 100.0,  15.4,  23.1,   0.0,  23.0
Agawam,00050000,         145,          77,  53.1,  27.6,  31.7,  33.8,  13.1,   0.0,   1.0
Amesbury,00070000,          60,          60, 100.0,  75.0,  88.3,  81.7,  88.3,  48.3,  87.0
Amherst-Pelham,06050000,         125,          70,  56.0,   0.0,  52.8,  11.2,   3.2,   0.0,   7.0
Andover,00090000,          64,          43,  67.2,  10.9,  65.6,  12.5,   3.1,   0.0,   9.0
Arlington,00100000,          74,          35,  47.3,   0.0,  44.6,  14.9,  23.0,   1.4,   8.0
Ashburnham-Westminster,06100000,          53,          22,  41.5,  13.2,  32.1,   3.8,   3.8,   0.0,   2.0
Ashland,00140000,          49,          14,  28.6,   2.0,  26.5,   0.0,   4.1,   0.0,   2.0
Assabet Valley Regional Vocational Technical,08010000,         132,          79,  59.8,  16.7,  53.8,  18.9,  14.4,   6.1,  14.0
Athol-Royalston,06150000,          80,          36,  45.0,   7.5,  40.0,   7.5,   8.8,   0.0,   0.0
Atlantis Charter (District),04910000,          47,          14,  29.8,  12.8,  19.1,   8.5,   8.5,   0.0,   0.0
Attleboro,00160000,         269,         115,  42.8,   5.6,  36.8,  11.9,   7.4,   0.0,   0.0
Auburn,00170000,          60,          24,  40.0,   6.7,  40.0,   8.3,  11.7,   0.0,   0.0
Avon,00180000,          33,          18,  54.5,  21.2,  48.5,   6.1,   0.0,   0.0,   0.0
Ayer Shirley School District,06160000,          47,          20,  42.6,  10.6,  29.8,  10.6,  19.1,   0.0,   0.0
Barnstable,00200000,         208,          74,  35.6,   3.8,  32.7,   4.8,  15.9,   0.0,   5.0
Baystate Academy Charter Public School (District),35020000,          45,          42,  93.3,  22.2,   0.0,  93.3,   0.0,   0.0,   0.0
Bedford,00230000,          39,           7,  17.9,   0.0,  17.9,   7.7,   0.0,   0.0,   3.0
Belchertown,00240000,          41,          16,  39.0,   4.9,  17.1,  12.2,   9.8,   0.0,   0.0
Bellingham,00250000,          56,          25,  44.6,   8.9,  42.9,   8.9,   5.4,   0.0,   0.0
Belmont,00260000,          50,          29,  58.0,   2.0,  48.0,  42.0,  24.0,   2.0,   8.0
Berkshire Arts and Technology Charter Public (District),04140000,          26,          20,  76.9,  53.8,  61.5,  50.0,  23.1,   0.0,  12.0
Berkshire Hills,06180000,          71,          28,  39.4,   9.9,  23.9,   5.6,   4.2,  12.7,   0.0
Berlin-Boylston,06200000,          17,           8,  47.1,  11.8,  47.1,   5.9,  17.6,   0.0,   0.0
Beverly,00300000,         144,          43,  29.9,   5.6,  26.4,   6.3,   1.4,   4.2,   0.0
Billerica,00310000,          83,          51,  61.4,   2.4,  55.4,   6.0,  13.3,   0.0,   1.0
Blackstone Valley Regional Vocational Technical,08050000,          75,          46,  61.3,  28.0,  45.3,  26.7,   5.3,   0.0,   5.0
Blackstone-Millville,06220000,          37,          11,  29.7,  16.2,  24.3,   2.7,   2.7,   0.0,   0.0
