2018 Advanced Course Completion Report (District)  - Male,,,,,,,,,,
District Name,District Code,#_11_12_student_male,# _advanced_students_male,%_complete_advanced_male,%_ELA_male,%_math_male,%_science_tech_male,%_history_socialscience_male,%_arts_male,%_other_subjects_male
Abby Kelley Foster Charter Public (District),4450000,79,53,67.1,21.5,57,26.6,27.8,26.6,29
Abington,10000,109,84,77.1,4.6,76.1,2.8,7.3,0,0
Academy Of the Pacific Rim Charter Public (District),4120000,34,26,76.5,0,73.5,32.4,23.5,0,26
Acton-Boxborough,6000000,489,307,62.8,5.1,55,32.9,28.8,0,5
Adams-Cheshire,6030000,81,46,56.8,21,54.3,2.5,11.1,0,0
Advanced Math and Science Academy Charter (District),4300000,112,105,93.8,15.2,89.3,44.6,29.5,0,18
Agawam,50000,301,168,55.8,18.6,37.5,37.5,18.6,0,0
Amesbury,70000,179,179,100,57,91.6,77.7,79.3,47.5,88
Amherst-Pelham,6050000,245,197,80.4,0,73.5,31.4,6.5,0,17
Andover,90000,402,328,81.6,15.7,80.8,31.6,8.5,0,16
Arlington,100000,310,231,74.5,0,69.4,30.6,37.1,0,7
Ashburnham-Westminster,6100000,169,92,54.4,16,48.5,12.4,4.7,0.6,2
Ashland,140000,172,105,61,4.7,58.1,18,16.3,0.6,11
Assabet Valley Regional Vocational Technical,8010000,298,204,68.5,26.5,63.4,29.5,27.9,7,26
Athol-Royalston,6150000,87,39,44.8,11.5,42.5,9.2,5.7,0,0
Atlantis Charter (District),4910000,42,20,47.6,7.1,40.5,14.3,9.5,0,0
Attleboro,160000,457,241,52.7,6.6,46.8,16.6,13.8,0,3
Auburn,170000,167,90,53.9,10.8,46.1,19.8,20.4,0,5
Avon,180000,41,21,51.2,22,48.8,7.3,0,0,0
Ayer Shirley School District,6160000,97,51,52.6,13.4,46.4,16.5,6.2,0,0
Barnstable,200000,361,206,57.1,14.1,51,13.6,32.1,0,9
Baystate Academy Charter Public School (District),35020000,26,24,92.3,34.6,0,92.3,0,0,0
Bedford,230000,211,107,50.7,0,50.2,16.1,0,0,5
Belchertown,240000,183,97,53,6,33.9,15.8,14.2,0.5,10
Bellingham,250000,165,96,58.2,9.7,57,13.9,8.5,0,0
Belmont,260000,309,252,81.6,7.4,74.4,64.7,46.9,1.9,17
Berkshire Arts and Technology Charter Public (District),4140000,29,19,65.5,51.7,55.2,41.4,20.7,0,17
Berkshire Hills,6180000,136,68,50,19.9,41.2,22.8,8.1,0,3
Berlin-Boylston,6200000,73,47,64.4,15.1,63,15.1,23.3,0,0
Beverly,300000,285,153,53.7,6,48.8,9.5,6.7,1.8,2
Billerica,310000,275,188,68.4,5.5,67.3,18.2,18.9,0,5
Blackstone Valley Regional Vocational Technical,8050000,302,194,64.2,23.2,54.6,27.2,2,0,4
Blackstone-Millville,6220000,91,34,37.4,11,36.3,5.5,7.7,0,0
Blue Hills Regional Vocational Technical,8060000,229,170,74.2,41,60.7,49.8,40.6,5.2,21
Boston,350000,"4,204","1,984",47.2,10,40.8,13.4,5.7,0.8,5
Boston Collegiate Charter (District),4490000,57,56,98.2,17.5,98.2,28.1,56.1,0,0
Boston Day and Evening Academy Charter (District),4240000,140,10,7.1,0,7.1,0,0,0,0
Boston Green Academy Horace Mann Charter School (District),4110000,61,32,52.5,23,39.3,24.6,0,0,0
Boston Preparatory Charter Public (District),4160000,62,62,100,41.9,95.2,67.7,24.2,0,0
Bourne,360000,105,58,55.2,12.4,54.3,14.3,14.3,0,0
