2018 Advanced Course Completion Report (District)  - White,,,,,,,,,,
District Name,District Code,#_11_12_student_white,# _advanced_students_white,%_complete_advanced_white,%_ELA_white,%_math_white,%_science_tech_white,%_history_socialscience_white,%_arts_white,%_other_subjects_white
Abby Kelley Foster Charter Public (District),04450000,          46,          38,  82.6,  50.0,  67.4,  50.0,  52.2,  41.3,  41.0
Abington,00010000,         195,         165,  84.6,  13.3,  84.1,   5.6,  15.9,   0.0,   0.0
Academy Of the Pacific Rim Charter Public (District),04120000,           7,           4,  57.1,   0.0,  57.1,  42.9,   0.0,   0.0,  14.0
Acton-Boxborough,06000000,         582,         348,  59.8,   3.4,  49.3,  28.7,  28.0,   0.0,   6.0
Adams-Cheshire,06030000,         156,          99,  63.5,  33.3,  59.0,   7.7,   9.6,   0.0,   0.0
Advanced Math and Science Academy Charter (District),04300000,         153,         143,  93.5,  22.9,  87.6,  47.7,  31.4,   0.7,  14.0
Agawam,00050000,         496,         317,  63.9,  31.7,  42.5,  45.4,  21.0,   0.0,   0.0
Amesbury,00070000,         272,         272, 100.0,  59.2,  94.5,  74.6,  79.0,  55.5,  83.0
Amherst-Pelham,06050000,         259,         230,  88.8,   0.0,  81.1,  35.5,   9.7,   0.0,  23.0
Andover,00090000,         659,         568,  86.2,  25.8,  85.1,  30.8,   8.3,   0.5,  13.0
Arlington,00100000,         486,         383,  78.8,   0.0,  73.3,  32.3,  43.4,   1.4,  11.0
Ashburnham-Westminster,06100000,         324,         189,  58.3,  22.5,  47.8,  10.2,   4.9,   2.2,   3.0
Ashland,00140000,         275,         179,  65.1,   8.7,  62.2,  16.4,  16.7,   1.1,   8.0
Assabet Valley Regional Vocational Technical,08010000,         431,         302,  70.1,  25.8,  62.9,  33.9,  25.1,   7.2,  23.0
Athol-Royalston,06150000,         150,          76,  50.7,  17.3,  44.0,  15.3,  10.7,   0.0,   0.0
Atlantis Charter (District),04910000,          73,          35,  47.9,  12.3,  38.4,  17.8,  17.8,   0.0,   0.0
Attleboro,00160000,         625,         386,  61.8,  13.6,  54.6,  19.7,  21.0,   0.0,   2.0
Auburn,00170000,         307,         179,  58.3,  13.0,  48.5,  19.2,  24.4,   0.3,   3.0
