2018 Advanced Course Completion Report (District)  - Male,,,,,,,,,,,
District Name,District Code,male # Grade 11 and 12 Students,male # Students Completing Advanced,male % Students Completing Advanced,male % ELA,male % Math,male % Science and Technology,male % History and Social Sciences,male % Arts,male % All Other Subjects,male Ch 74 Secondary Cooperative Program
Abby Kelley Foster Charter Public (District),04450000,          79,          53,  67.1,  21.5,  57.0,  26.6,  27.8,  26.6,  29.0,   0.0
Abington,00010000,         109,          84,  77.1,   4.6,  76.1,   2.8,   7.3,   0.0,   0.0,   0.0
Academy Of the Pacific Rim Charter Public (District),04120000,          34,          26,  76.5,   0.0,  73.5,  32.4,  23.5,   0.0,  26.0,   0.0
Acton-Boxborough,06000000,         489,         307,  62.8,   5.1,  55.0,  32.9,  28.8,   0.0,   5.0,   0.0
Adams-Cheshire,06030000,          81,          46,  56.8,  21.0,  54.3,   2.5,  11.1,   0.0,   0.0,   0.0
Advanced Math and Science Academy Charter (District),04300000,         112,         105,  93.8,  15.2,  89.3,  44.6,  29.5,   0.0,  18.0,   0.0
Agawam,00050000,         301,         168,  55.8,  18.6,  37.5,  37.5,  18.6,   0.0,   0.0,   0.7
Amesbury,00070000,         179,         179, 100.0,  57.0,  91.6,  77.7,  79.3,  47.5,  88.0,   0.0
Amherst-Pelham,06050000,         245,         197,  80.4,   0.0,  73.5,  31.4,   6.5,   0.0,  17.0,   0.0
Andover,00090000,         402,         328,  81.6,  15.7,  80.8,  31.6,   8.5,   0.0,  16.0,   0.0
Arlington,00100000,         310,         231,  74.5,   0.0,  69.4,  30.6,  37.1,   0.0,   7.0,   0.0
Ashburnham-Westminster,06100000,         169,          92,  54.4,  16.0,  48.5,  12.4,   4.7,   0.6,   2.0,   0.0
Ashland,00140000,         172,         105,  61.0,   4.7,  58.1,  18.0,  16.3,   0.6,  11.0,   0.0
Assabet Valley Regional Vocational Technical,08010000,         298,         204,  68.5,  26.5,  63.4,  29.5,  27.9,   7.0,  26.0,  25.5
Athol-Royalston,06150000,          87,          39,  44.8,  11.5,  42.5,   9.2,   5.7,   0.0,   0.0,   0.0
Atlantis Charter (District),04910000,          42,          20,  47.6,   7.1,  40.5,  14.3,   9.5,   0.0,   0.0,   0.0
Attleboro,00160000,         457,         241,  52.7,   6.6,  46.8,  16.6,  13.8,   0.0,   3.0,   0.0
Auburn,00170000,         167,          90,  53.9,  10.8,  46.1,  19.8,  20.4,   0.0,   5.0,   0.0
Avon,00180000,          41,          21,  51.2,  22.0,  48.8,   7.3,   0.0,   0.0,   0.0,   0.0
Ayer Shirley School District,06160000,          97,          51,  52.6,  13.4,  46.4,  16.5,   6.2,   0.0,   0.0,   0.0
Barnstable,00200000,         361,         206,  57.1,  14.1,  51.0,  13.6,  32.1,   0.0,   9.0,   0.0
Baystate Academy Charter Public School (District),35020000,          26,          24,  92.3,  34.6,   0.0,  92.3,   0.0,   0.0,   0.0,   0.0
Bedford,00230000,         211,         107,  50.7,   0.0,  50.2,  16.1,   0.0,   0.0,   5.0,   0.0
Belchertown,00240000,         183,          97,  53.0,   6.0,  33.9,  15.8,  14.2,   0.5,  10.0,   0.0
Bellingham,00250000,         165,          96,  58.2,   9.7,  57.0,  13.9,   8.5,   0.0,   0.0,   0.0
Belmont,00260000,         309,         252,  81.6,   7.4,  74.4,  64.7,  46.9,   1.9,  17.0,   0.0
Berkshire Arts and Technology Charter Public (District),04140000,          29,          19,  65.5,  51.7,  55.2,  41.4,  20.7,   0.0,  17.0,   0.0
Berkshire Hills,06180000,         136,          68,  50.0,  19.9,  41.2,  22.8,   8.1,   0.0,   3.0,   0.0
Berlin-Boylston,06200000,          73,          47,  64.4,  15.1,  63.0,  15.1,  23.3,   0.0,   0.0,   0.0
Beverly,00300000,         285,         153,  53.7,   6.0,  48.8,   9.5,   6.7,   1.8,   2.0,   0.0
Billerica,00310000,         275,         188,  68.4,   5.5,  67.3,  18.2,  18.9,   0.0,   5.0,   0.0
