2017-18 Advanced Placement Participation - All Subjects - Asian,,,,,,,,,
District Name,District Code,test_takers_asian,tests_taken_asian,one_test_asian,two_tests_asian,three_tests_asian,four_tests_asian,five_ormore_tests_asian,
Abington,00010000,       2,,,,,,,
Academy Of the Pacific Rim Charter Public (District),04120000,       1,,,,,,,
Acton-Boxborough,06000000,     249,     637,      63,      62,      71,      32,      21,
Adams-Cheshire,06030000,       2,,,,,,,
Advanced Math and Science Academy Charter (District),04300000,      53,      96,      24,      18,       8,       3,       0,
Agawam,00050000,       8,,,,,,,
Amesbury,00070000,       1,,,,,,,
Amherst-Pelham,06050000,      32,      53,      17,      10,       4,       1,       0,
Andover,00090000,     118,     276,      29,      38,      36,      12,       3,
Arlington,00100000,      44,     101,      17,       9,      11,       3,       4,
Ashburnham-Westminster,06100000,       2,,,,,,,
Ashland,00140000,      34,      84,      12,      10,       4,       2,       6,
Assabet Valley Regional Vocational Technical,08010000,       1,,,,,,,
Atlantis Charter (District),04910000,       2,,,,,,,
Attleboro,00160000,      19,      32,       8,       9,       2,       0,       0,
Auburn,00170000,      12,      26,       4,       3,       4,       1,       0,
Avon,00180000,       4,,,,,,,
Ayer Shirley School District,06160000,       2,,,,,,,
Barnstable,00200000,      19,      45,       6,       5,       5,       1,       2,
Bedford,00230000,      34,      75,       8,      16,       5,       5,       0,
Belchertown,00240000,       3,,,,,,,
Bellingham,00250000,       7,,,,,,,
Belmont,00260000,     138,     348,      44,      31,      26,      26,      11,
Berkshire Arts and Technology Charter Public (District),04140000,       3,,,,,,,
Berkshire Hills,06180000,       3,,,,,,,
Berlin-Boylston,06200000,       1,,,,,,,
Beverly,00300000,       9,,,,,,,
Billerica,00310000,      24,      52,      11,       4,       3,       6,       0,
Blackstone Valley Regional Vocational Technical,08050000,       8,,,,,,,
Blackstone-Millville,06220000,       3,,,,,,,
Boston,00350000,     680,"   1,409",     289,     181,     118,      56,      36,
Boston Collegiate Charter (District),04490000,       5,,,,,,,
Boston Green Academy Horace Mann Charter School (District),04110000,       3,,,,,,,
Braintree,00400000,      78,     173,      31,      17,      17,       8,       5,
Bridgewater-Raynham,06250000,      11,      30,       2,       2,       4,       3,       0,
Bristol-Plymouth Regional Vocational Technical,08100000,       3,,,,,,,
Brockton,00440000,      21,      37,      14,       4,       1,       0,       2,
Brooke Charter School (District),04280000,       1,,,,,,,
Brookline,00460000,     124,     301,      42,      29,      25,      21,       7,
Burlington,00480000,      57,     141,      16,      15,      15,       6,       5,
Cambridge,00490000,      68,     143,      28,      17,      14,       6,       3,
Canton,00500000,      36,     123,       5,       5,       8,      10,       8,
Cape Cod Regional Vocational Technical,08150000,       1,,,,,,,
Central Berkshire,06350000,       3,,,,,,,
Chelmsford,00560000,      65,     141,      23,      19,      14,       7,       2,
Chelsea,00570000,       9,,,,,,,
Chicopee,00610000,      20,      39,      10,       5,       2,       2,       1,
City on a Hill Charter Public School Dudley Square (District),35040000,       2,,,,,,,
Clinton,00640000,       1,,,,,,,
Cohasset,00650000,       5,,,,,,,
Community Charter School of Cambridge (District),04360000,       3,,,,,,,
Concord-Carlisle,06400000,      48,     109,      17,      10,      15,       3,       3,
Danvers,00710000,       7,,,,,,,
Dartmouth,00720000,       1,,,,,,,
Dedham,00730000,      19,      43,       4,       8,       6,       0,       1,
Dennis-Yarmouth,06450000,       9,,,,,,,
Dover-Sherborn,06550000,      26,      71,       7,       5,       6,       5,       3,
Dracut,00790000,      16,      29,       7,       6,       2,       1,       0,
Dudley-Charlton Reg,06580000,      11,      20,       6,       2,       2,       1,       0,
Duxbury,00820000,       7,,,,,,,
East Longmeadow,00870000,      13,      23,       7,       4,       1,       0,       1,
Easthampton,00860000,      10,      12,       9,       0,       1,       0,       0,
Easton,00880000,      19,      56,       5,       3,       5,       2,       4,
Edward M. Kennedy Academy for Health Careers (Horace Mann Charter) (District),04520000,       3,,,,,,,
Essex North Shore Agricultural and Technical School District,08170000,       2,,,,,,,
Everett,00930000,      25,      46,      14,       3,       6,       2,       0,
Excel Academy Charter (District),04100000,       5,,,,,,,
Fairhaven,00940000,       5,,,,,,,
Fall River,00950000,      23,      53,       7,       5,       8,       3,       0,
Falmouth,00960000,       9,,,,,,,
Fitchburg,00970000,      20,      31,      12,       6,       1,       1,       0,
Foxborough,00990000,       9,,,,,,,
Foxborough Regional Charter (District),04460000,      20,      33,       9,       9,       2,       0,       0,
Framingham,01000000,      43,     107,      11,      16,       6,       5,       5,
Franklin,01010000,      43,     111,      13,      10,       7,      10,       3,
Freetown-Lakeville,06650000,       4,,,,,,,
Frontier,06700000,       3,,,,,,,
Gardner,01030000,       5,,,,,,,
Georgetown,01050000,       2,,,,,,,
Gloucester,01070000,       2,,,,,,,
Grafton,01100000,      37,      87,       8,      12,      15,       1,       1,
Granby,01110000,       3,,,,,,,
Greater Fall River Regional Vocational Technical,08210000,       1,,,,,,,
Greater Lowell Regional Vocational Technical,08280000,      14,      14,      14,       0,       0,       0,       0,
Greater New Bedford Regional Vocational Technical,08250000,       2,,,,,,,
Greenfield,01140000,       5,,,,,,,
Groton-Dunstable,06730000,      16,      37,       4,       5,       5,       2,       0,
Hadley,01170000,       1,,,,,,,
Hamilton-Wenham,06750000,       7,,,,,,,
Hampden Charter School of Science East (District),04990000,       2,,,,,,,
Hampden-Wilbraham,06800000,      10,      12,       8,       2,       0,       0,       0,
Hanover,01220000,       5,,,,,,,
Harvard,01250000,      26,      63,       9,       3,       9,       4,       1,
Hatfield,01270000,       2,,,,,,,
Haverhill,01280000,       4,,,,,,,
Hingham,01310000,      11,      25,       3,       4,       2,       2,       0,
Holliston,01360000,      27,      49,      10,      12,       5,       0,       0,
Holyoke,01370000,       4,,,,,,,
Hopedale,01380000,       1,,,,,,,
Hopkinton,01390000,      60,     168,      16,      16,       7,      10,      11,
Hudson,01410000,       7,,,,,,,
Hull,01420000,       1,,,,,,,
Innovation Academy Charter (District),04350000,       2,,,,,,,
Ipswich,01440000,       4,,,,,,,
KIPP Academy Lynn Charter (District),04290000,       8,,,,,,,
King Philip,06900000,      10,      25,       3,       3,       2,       0,       2,
Lawrence,01490000,      14,      19,      11,       1,       2,       0,       0,
Lee,01500000,       2,,,,,,,
Leicester,01510000,       3,,,,,,,
Lenox,01520000,       4,,,,,,,
Leominster,01530000,      13,      29,       7,       0,       3,       2,       1,
Lexington,01550000,     435,     915,     157,     155,      71,      28,      24,
Lincoln-Sudbury,06950000,      37,      62,      19,      12,       5,       1,       0,
Littleton,01580000,       4,,,,,,,
Longmeadow,01590000,      31,      98,       7,       9,       2,       3,      10,
Lowell,01600000,     154,     253,      94,      33,      17,       8,       2,
Lunenburg,01620000,       6,,,,,,,
Lynn,01630000,      75,     159,      33,      18,      11,       8,       5,
Lynnfield,01640000,       9,,,,,,,
Ma Academy for Math and Science,04680000,      24,      53,       7,       6,      10,       1,       0,
Malden,01650000,     165,     378,      54,      47,      34,      24,       6,
Manchester Essex Regional,06980000,       1,,,,,,,
Mansfield,01670000,      17,      38,       7,       4,       1,       5,       0,
Marblehead,01680000,       7,,,,,,,
Marlborough,01700000,      17,      56,       2,       4,       3,       3,       5,
Marshfield,01710000,       4,,,,,,,
Masconomet,07050000,      13,      29,       4,       3,       5,       1,       0,
Mashpee,01720000,       5,,,,,,,
Massachusetts Virtual Academy at Greenfield Commonwealth Virtual District,39010000,       1,,,,,,,
Maynard,01740000,       9,,,,,,,
Medfield,01750000,      25,      60,       7,       7,       7,       2,       2,
Medford,01760000,      30,      51,      14,      13,       1,       2,       0,
Medway,01770000,       9,,,,,,,
Melrose,01780000,      18,      28,      11,       5,       1,       1,       0,
Mendon-Upton,07100000,       6,,,,,,,
Methuen,01810000,      32,      65,      12,      12,       4,       3,       1,
Middleborough,01820000,       2,,,,,,,
Milford,01850000,      20,      40,      10,       3,       4,       3,       0,
Millbury,01860000,       2,,,,,,,
Millis,01870000,       1,,,,,,,
Milton,01890000,      32,      86,       8,       8,       5,       9,       2,
Monomoy Regional School District,07120000,       3,,,,,,,
Monson,01910000,       1,,,,,,,
Mount Greylock,07150000,       1,,,,,,,
Mystic Valley Regional Charter (District),04700000,       1,,,,,,,
Nantucket,01970000,       2,,,,,,,
Nashoba,07250000,       9,,,,,,,
Nashoba Valley Regional Vocational Technical,08520000,       1,,,,,,,
Natick,01980000,      38,      82,      20,       5,       4,       6,       3,
Nauset,06600000,      11,      21,       5,       2,       4,       0,       0,
Needham,01990000,      54,      98,      27,      16,       6,       4,       1,
New Bedford,02010000,      11,      21,       6,       2,       1,       2,       0,
Newburyport,02040000,       2,,,,,,,
Newton,02070000,     238,     540,      83,      62,      52,      31,      10,
North Andover,02110000,      33,      50,      21,       7,       5,       0,       0,
North Attleborough,02120000,      30,      65,      13,       7,       5,       2,       3,
North Middlesex,07350000,       2,,,,,,,
North Reading,02170000,      10,      19,       4,       3,       3,       0,       0,
Northampton,02100000,      11,      19,       7,       2,       0,       2,       0,
Northboro-Southboro,07300000,      70,     183,      23,      16,      13,       8,      10,
Northbridge,02140000,       3,,,,,,,
Northeast Metropolitan Regional Vocational Technical,08530000,       2,,,,,,,
Norton,02180000,       5,,,,,,,
Norwell,02190000,       7,,,,,,,
Norwood,02200000,       8,,,,,,,
Old Rochester,07400000,      12,      29,       3,       4,       3,       1,       1,
Oxford,02260000,       3,,,,,,,
Palmer,02270000,       6,,,,,,,
Peabody,02290000,      17,      33,       5,       9,       2,       1,       0,
Pembroke,02310000,       3,,,,,,,
Pentucket,07450000,       5,,,,,,,
Pioneer Charter School of Science (District),04940000,      12,      22,       4,       6,       2,       0,       0,
Pioneer Charter School of Science II (PCSS-II) (District),35060000,      18,      34,       8,       4,       6,       0,       0,
Pittsfield,02360000,      12,      23,       2,       9,       1,       0,       0,
Plymouth,02390000,      12,      27,       3,       5,       3,       0,       1,
Prospect Hill Academy Charter (District),04870000,      14,      27,       5,       5,       4,       0,       0,
Quabbin,07530000,       1,,,,,,,
Quincy,02430000,     201,     481,      79,      42,      34,      21,      25,
