2017-18 Advanced Placement Participation - All Subjects - Afr. Amer./Black,,,,,,,,,
District Name,District Code,test_takers_black,tests_taken_black,one_test_black,two_tests_black,three_tests_black,four_tests_black,five_ormore_tests_black,
Abington,00010000,       2,,,,,,,
Academy Of the Pacific Rim Charter Public (District),04120000,      18,      30,      10,       4,       4,       0,       0,
Acton-Boxborough,06000000,       1,,,,,,,
Adams-Cheshire,06030000,       3,,,,,,,
Advanced Math and Science Academy Charter (District),04300000,       7,,,,,,,
Agawam,00050000,       3,,,,,,,
Amherst-Pelham,06050000,       1,,,,,,,
Andover,00090000,       9,,,,,,,
Arlington,00100000,       2,,,,,,,
Ashburnham-Westminster,06100000,       1,,,,,,,
Ashland,00140000,       1,,,,,,,
Assabet Valley Regional Vocational Technical,08010000,       1,,,,,,,
Athol-Royalston,06150000,       1,,,,,,,
Atlantis Charter (District),04910000,       1,,,,,,,
Attleboro,00160000,       7,,,,,,,
Auburn,00170000,       7,,,,,,,
Avon,00180000,      10,      15,       6,       3,       1,       0,       0,
Ayer Shirley School District,06160000,       6,,,,,,,
Barnstable,00200000,      11,      17,       8,       2,       0,       0,       1,
Baystate Academy Charter Public School (District),35020000,       5,,,,,,,
Bedford,00230000,       1,,,,,,,
Belchertown,00240000,       5,,,,,,,
Bellingham,00250000,       1,,,,,,,
Belmont,00260000,       5,,,,,,,
Berkshire Arts and Technology Charter Public (District),04140000,       3,,,,,,,
Berkshire Hills,06180000,       2,,,,,,,
Beverly,00300000,       3,,,,,,,
Billerica,00310000,       3,,,,,,,
Blackstone Valley Regional Vocational Technical,08050000,       2,,,,,,,
Blue Hills Regional Vocational Technical,08060000,       3,,,,,,,
Boston,00350000,     812,"   1,320",     426,     289,      73,      23,       1,
Boston Collegiate Charter (District),04490000,      13,      23,       7,       2,       4,       0,       0,
Boston Green Academy Horace Mann Charter School (District),04110000,      28,      47,      11,      15,       2,       0,       0,
Boston Preparatory Charter Public (District),04160000,      52,     106,      17,      21,       9,       5,       0,
Braintree,00400000,       3,,,,,,,
Bridgewater-Raynham,06250000,       9,,,,,,,
Bristol-Plymouth Regional Vocational Technical,08100000,       2,,,,,,,
Brockton,00440000,     166,     245,     110,      37,      15,       4,       0,
Brooke Charter School (District),04280000,      29,      29,      29,       0,       0,       0,       0,
Brookline,00460000,       6,,,,,,,
Burlington,00480000,       6,,,,,,,
Cambridge,00490000,      46,      64,      32,      10,       4,       0,       0,
Canton,00500000,      11,      16,       7,       3,       1,       0,       0,
Cape Cod Regional Vocational Technical,08150000,       4,,,,,,,
Carver,00520000,       1,,,,,,,
Chelmsford,00560000,       5,,,,,,,
Chelsea,00570000,      16,      28,       7,       6,       3,       0,       0,
Chicopee,00610000,       9,,,,,,,
City on a Hill Charter Public School Circuit Street (District),04370000,      21,      30,      16,       1,       4,       0,       0,
City on a Hill Charter Public School Dudley Square (District),35040000,      14,      20,       9,       4,       1,       0,       0,
Clinton,00640000,       2,,,,,,,
Codman Academy Charter Public (District),04380000,       8,,,,,,,
Cohasset,00650000,       2,,,,,,,
Community Charter School of Cambridge (District),04360000,      46,      72,      28,      11,       6,       1,       0,
Concord-Carlisle,06400000,       1,,,,,,,
Danvers,00710000,       4,,,,,,,
Dartmouth,00720000,       2,,,,,,,
Dedham,00730000,      24,      44,      15,       2,       4,       2,       1,
Dennis-Yarmouth,06450000,       6,,,,,,,
Dover-Sherborn,06550000,       1,,,,,,,
Dracut,00790000,       5,,,,,,,
Dudley-Charlton Reg,06580000,       4,,,,,,,
Duxbury,00820000,       1,,,,,,,
East Bridgewater,00830000,       4,,,,,,,
East Longmeadow,00870000,       4,,,,,,,
Easthampton,00860000,       3,,,,,,,
Easton,00880000,      10,      15,       7,       1,       2,       0,       0,
Edward M. Kennedy Academy for Health Careers (Horace Mann Charter) (District),04520000,      19,      30,       8,      11,       0,       0,       0,
Essex North Shore Agricultural and Technical School District,08170000,       1,,,,,,,
Everett,00930000,      51,      90,      26,      16,       5,       3,       1,
Excel Academy Charter (District),04100000,       8,,,,,,,
