2017-18 Advanced Placement Participation - All Subjects - High Needs,,,,,,,,
District Name,District Code,test_takers_highneeds,tests_taken_highneeds,one_test_highneeds,two_tests_highneeds,three_tests_highneeds,four_tests_highneeds,five_ormore_tests_highneeds
Abington,10000,12,26,4,2,6,0,0
Academy Of the Pacific Rim Charter Public (District),4120000,13,20,8,3,2,0,0
Acton-Boxborough,6000000,31,57,15,10,2,4,0
Adams-Cheshire,6030000,20,28,15,2,3,0,0
Advanced Math and Science Academy Charter (District),4300000,15,23,9,5,0,1,0
Agawam,50000,48,82,25,15,5,3,0
Amesbury,70000,6,,,,,,
Amherst-Pelham,6050000,21,31,14,4,3,0,0
Andover,90000,28,46,14,10,4,0,0
Arlington,100000,35,65,20,7,4,2,2
Ashburnham-Westminster,6100000,10,12,8,2,0,0,0
Ashland,140000,10,13,7,3,0,0,0
Assabet Valley Regional Vocational Technical,8010000,23,29,18,4,1,0,0
Athol-Royalston,6150000,19,27,11,8,0,0,0
Atlantis Charter (District),4910000,9,,,,,,
Attleboro,160000,42,69,22,14,5,1,0
Auburn,170000,15,23,8,6,1,0,0
Avon,180000,7,,,,,,
Ayer Shirley School District,6160000,11,18,6,3,2,0,0
Barnstable,200000,62,103,36,19,4,1,2
Baystate Academy Charter Public School (District),35020000,9,,,,,,
Bedford,230000,8,,,,,,
Belchertown,240000,6,,,,,,
Bellingham,250000,14,25,7,3,4,0,0
Belmont,260000,35,70,17,8,5,4,1
Berkshire Arts and Technology Charter Public (District),4140000,19,35,9,6,2,2,0
Berkshire Hills,6180000,7,,,,,,
Berlin-Boylston,6200000,4,,,,,,
Beverly,300000,23,32,17,4,1,1,0
Billerica,310000,16,26,9,5,1,1,0
Blackstone Valley Regional Vocational Technical,8050000,40,58,26,11,2,1,0
Blackstone-Millville,6220000,12,18,8,3,0,1,0
Blue Hills Regional Vocational Technical,8060000,4,,,,,,
Boston,350000,"1,399","2,266",784,416,150,45,4
Boston Collegiate Charter (District),4490000,25,40,13,9,3,0,0
Boston Green Academy Horace Mann Charter School (District),4110000,36,59,15,19,2,0,0
Boston Preparatory Charter Public (District),4160000,28,54,11,10,5,2,0
Bourne,360000,12,22,5,4,3,0,0
Braintree,400000,36,57,24,6,4,1,1
Bridgewater-Raynham,6250000,24,49,8,9,5,2,0
Bristol-Plymouth Regional Vocational Technical,8100000,21,25,17,4,0,0,0
Brockton,440000,122,177,83,27,10,1,1
Brooke Charter School (District),4280000,33,33,33,0,0,0,0
Brookline,460000,58,136,23,16,8,5,6
Burlington,480000,13,19,9,2,2,0,0
Cambridge,490000,62,103,38,12,8,3,1
Canton,500000,24,42,13,6,3,2,0
Cape Cod Regional Vocational Technical,8150000,16,20,12,4,0,0,0
Carver,520000,14,24,8,3,2,1,0
Central Berkshire,6350000,17,31,9,2,6,0,0
Chelmsford,560000,21,31,12,8,1,0,0
Chelsea,570000,131,191,80,42,9,0,0
Chicopee,610000,107,216,45,35,13,9,5
City on a Hill Charter Public School Circuit Street (District),4370000,30,52,15,8,7,0,0
City on a Hill Charter Public School Dudley Square (District),35040000,18,30,9,6,3,0,0
Clinton,640000,14,24,8,2,4,0,0
Codman Academy Charter Public (District),4380000,10,15,6,3,1,0,0
Cohasset,650000,3,,,,,,
Community Charter School of Cambridge (District),4360000,30,48,17,9,3,1,0
Concord-Carlisle,6400000,21,34,12,6,2,1,0
Danvers,710000,26,50,14,5,3,3,1
Dartmouth,720000,28,41,19,6,2,1,0
Dedham,730000,37,65,22,9,2,2,2
Dennis-Yarmouth,6450000,24,53,6,9,7,2,0
Dighton-Rehoboth,6500000,12,17,8,3,1,0,0
Douglas,770000,5,,,,,,
Dover-Sherborn,6550000,12,21,6,5,0,0,1
Dracut,790000,16,26,9,5,1,1,0
Dudley-Charlton Reg,6580000,36,76,12,11,11,1,1
Duxbury,820000,19,28,14,2,2,1,0
East Bridgewater,830000,8,,,,,,
East Longmeadow,870000,31,49,18,9,3,1,0
Easthampton,860000,27,36,19,7,1,0,0
Easton,880000,30,63,15,7,2,2,4
Edward M. Kennedy Academy for Health Careers (Horace Mann Charter) (District),4520000,49,66,33,15,1,0,0
Essex North Shore Agricultural and Technical School District,8170000,8,,,,,,
Everett,930000,126,201,77,29,15,4,1
Excel Academy Charter (District),4100000,46,75,26,12,7,1,0
Fairhaven,940000,15,24,10,1,4,0,0
Fall River,950000,85,164,36,25,18,6,0
Falmouth,960000,16,29,6,7,3,0,0
