2017-18 Advanced Placement Performance - All Subjects - All Students,,,,,,,,,
District Name,District Code,tests_taken_all,score=1_all,score=2_all,score=3_all,score=4_all,score=5_all,%_score_1-2_all,%_score_3-5_all
Abington,00010000,     146,      13,      32,      55,      34,      12,  30.8,  69.2
Academy Of the Pacific Rim Charter Public (District),04120000,      57,      24,      21,      10,       2,       0,  78.9,  21.1
Acton-Boxborough,06000000,"   1,156",       6,      48,     153,     372,     577,   4.7,  95.3
Adams-Cheshire,06030000,     144,      32,      64,      37,      11,       0,  66.7,  33.3
Advanced Math and Science Academy Charter (District),04300000,     352,       3,      27,      75,     100,     147,   8.5,  91.5
Agawam,00050000,     411,      36,     135,     136,      70,      34,  41.6,  58.4
Amesbury,00070000,     127,      14,      24,      33,      36,      20,  29.9,  70.1
Amherst-Pelham,06050000,     231,       7,      29,      60,      65,      70,  15.6,  84.4
Andover,00090000,     883,      26,     127,     231,     247,     252,  17.3,  82.7
Arlington,00100000,     908,      30,     109,     224,     302,     243,  15.3,  84.7
Ashburnham-Westminster,06100000,     163,      11,      60,      48,      31,      13,  43.6,  56.4
Ashland,00140000,     351,       1,       9,      47,     105,     189,   2.8,  97.2
Assabet Valley Regional Vocational Technical,08010000,     142,      49,      41,      35,       6,      11,  63.4,  36.6
Athol-Royalston,06150000,      83,      48,      22,      11,       2,       0,  84.3,  15.7
Atlantis Charter (District),04910000,      56,      23,      22,       7,       3,       1,  80.4,  19.6
Attleboro,00160000,     550,      97,     184,     170,      70,      29,  51.1,  48.9
Auburn,00170000,     327,      54,      94,      98,      64,      17,  45.3,  54.7
Avon,00180000,      44,      11,       9,      17,       6,       1,  45.5,  54.5
Ayer Shirley School District,06160000,     145,       7,      39,      53,      27,      19,  31.7,  68.3
Barnstable,00200000,     888,     148,     197,     247,     182,     114,  38.9,  61.1
Baystate Academy Charter Public School (District),35020000,      14,       9,       5,       0,       0,       0, 100.0,    .0
Bedford,00230000,     271,       5,      23,      66,      85,      92,  10.3,  89.7
Belchertown,00240000,     135,       4,      24,      52,      34,      21,  20.7,  79.3
Bellingham,00250000,     162,      21,      52,      51,      30,       8,  45.1,  54.9
Belmont,00260000,"   1,161",      17,      74,     249,     375,     446,   7.8,  92.2
Berkshire Arts and Technology Charter Public (District),04140000,      78,      17,      31,      15,      11,       4,  61.5,  38.5
Berkshire Hills,06180000,     128,       5,      15,      47,      33,      28,  15.6,  84.4
Berlin-Boylston,06200000,     113,       3,      18,      43,      33,      16,  18.6,  81.4
Beverly,00300000,     355,      25,      88,     120,      78,      44,  31.8,  68.2
Billerica,00310000,     444,      66,     119,     124,      83,      52,  41.7,  58.3
Blackstone Valley Regional Vocational Technical,08050000,     407,      99,     142,     100,      49,      17,  59.2,  40.8
Blackstone-Millville,06220000,     154,      20,      51,      42,      29,      12,  46.1,  53.9
Blue Hills Regional Vocational Technical,08060000,      32,       4,      16,      10,       1,       1,  62.5,  37.5
Boston,00350000,"   5,447","   1,448","   1,205","   1,144",     960,     690,  48.7,  51.3
Boston Collegiate Charter (District),04490000,     223,      44,      62,      61,      42,      14,  47.5,  52.5
Boston Green Academy Horace Mann Charter School (District),04110000,      87,      65,      18,       3,       1,       0,  95.4,   4.6
Boston Preparatory Charter Public (District),04160000,     136,      64,      45,      18,       9,       0,  80.1,  19.9
Bourne,00360000,     154,      36,      35,      41,      35,       7,  46.1,  53.9
Braintree,00400000,     701,      23,      83,     168,     223,     204,  15.1,  84.9
Bridgewater-Raynham,06250000,     534,      47,     174,     164,     119,      30,  41.4,  58.6
Bristol-Plymouth Regional Vocational Technical,08100000,     134,      28,      60,      36,      10,       0,  65.7,  34.3
Brockton,00440000,     484,     151,     156,     109,      49,      19,  63.4,  36.6
Brooke Charter School (District),04280000,      55,      31,      15,       7,       0,       2,  83.6,  16.4
Brookline,00460000,"   1,162",       9,      69,     213,     350,     521,   6.7,  93.3
Burlington,00480000,     462,      42,      90,     135,     115,      80,  28.6,  71.4
Cambridge,00490000,     636,      35,      83,     138,     169,     211,  18.6,  81.4
Canton,00500000,     663,      52,     132,     218,     167,      94,  27.8,  72.2
Cape Cod Regional Vocational Technical,08150000,      49,      12,      28,       7,       2,       0,  81.6,  18.4
Carver,00520000,     199,      39,      43,      59,      44,      14,  41.2,  58.8
Central Berkshire,06350000,     167,      26,      66,      44,      24,       7,  55.1,  44.9
Chelmsford,00560000,     589,      42,     110,     169,     156,     112,  25.8,  74.2
Chelsea,00570000,     309,     100,     106,      59,      30,      14,  66.7,  33.3
Chicopee,00610000,     606,     137,     231,     162,      55,      21,  60.7,  39.3
City on a Hill Charter Public School Circuit Street (District),04370000,      72,      47,      20,       1,       4,       0,  93.1,   6.9
City on a Hill Charter Public School Dudley Square (District),35040000,      52,      29,      22,       1,       0,       0,  98.1,   1.9
Clinton,00640000,      92,      18,      28,      31,       8,       7,  50.0,  50.0
Codman Academy Charter Public (District),04380000,      30,      22,       3,       1,       4,       0,  83.3,  16.7
Cohasset,00650000,     266,       1,      44,      50,      58,     113,  16.9,  83.1
Community Charter School of Cambridge (District),04360000,     119,      46,      36,      20,      13,       4,  68.9,  31.1
Concord-Carlisle,06400000,     616,       7,      37,     115,     215,     242,   7.1,  92.9
Danvers,00710000,     485,      34,     127,     141,     117,      66,  33.2,  66.8
Dartmouth,00720000,     362,      23,      64,     108,     104,      63,  24.0,  76.0
Dedham,00730000,     426,      70,     126,     140,      68,      22,  46.0,  54.0
Dennis-Yarmouth,06450000,     257,      40,      74,      77,      54,      12,  44.4,  55.6
Dighton-Rehoboth,06500000,     364,      35,      73,      95,     110,      51,  29.7,  70.3
Douglas,00770000,     156,      25,      49,      41,      31,      10,  47.4,  52.6
Dover-Sherborn,06550000,     500,       6,      30,     124,     153,     187,   7.2,  92.8
Dracut,00790000,     274,      28,      67,      95,      62,      22,  34.7,  65.3
Dudley-Charlton Reg,06580000,     528,      92,     187,     153,      69,      27,  52.8,  47.2
Duxbury,00820000,     692,      59,     148,     198,     180,     107,  29.9,  70.1
East Bridgewater,00830000,     227,      48,     100,      47,      17,      15,  65.2,  34.8
East Longmeadow,00870000,     246,      29,      48,      73,      49,      47,  31.3,  68.7
Easthampton,00860000,     179,      37,      62,      52,      21,       7,  55.3,  44.7
Easton,00880000,     690,      40,     141,     190,     219,     100,  26.2,  73.8
Edward M. Kennedy Academy for Health Careers (Horace Mann Charter) (District),04520000,     103,      56,      33,       9,       4,       1,  86.4,  13.6
Essex North Shore Agricultural and Technical School District,08170000,      76,       6,      18,      29,      18,       5,  31.6,  68.4
Everett,00930000,     490,     133,     169,     107,      56,      25,  61.6,  38.4
Excel Academy Charter (District),04100000,     189,       6,      30,      54,      50,      49,  19.0,  81.0
Fairhaven,00940000,     177,      19,      50,      60,      27,      21,  39.0,  61.0
Fall River,00950000,     501,      97,     160,     180,      46,      18,  51.3,  48.7
Falmouth,00960000,     241,      24,      47,      58,      70,      42,  29.5,  70.5
Fitchburg,00970000,     515,     297,     117,      62,      25,      14,  80.4,  19.6
Foxborough,00990000,     432,      22,      71,     142,     117,      80,  21.5,  78.5
Foxborough Regional Charter (District),04460000,     201,      25,      60,      60,      40,      16,  42.3,  57.7
Framingham,01000000,     723,       9,      83,     174,     225,     232,  12.7,  87.3
Francis W. Parker Charter Essential (District),04780000,       9,,,,,,,
Franklin,01010000,     932,      80,     152,     239,     253,     208,  24.9,  75.1
Franklin County Regional Vocational Technical,08180000,      68,      33,      23,       8,       4,       0,  82.4,  17.6
Freetown-Lakeville,06650000,     354,      19,      91,     105,      97,      42,  31.1,  68.9
Frontier,06700000,     156,       8,      32,      44,      43,      29,  25.6,  74.4
Gardner,01030000,     218,      47,      77,      50,      32,      12,  56.9,  43.1
Gateway,06720000,      58,      13,      18,      17,       7,       3,  53.4,  46.6
Georgetown,01050000,      76,       0,       7,      24,      23,      22,   9.2,  90.8
Gill-Montague,06740000,      20,       2,       8,       6,       4,       0,  50.0,  50.0
Gloucester,01070000,     237,      32,      66,      78,      45,      16,  41.4,  58.6
Grafton,01100000,     336,      21,      75,     112,      77,      51,  28.6,  71.4
Granby,01110000,      50,       5,      15,      19,       8,       3,  40.0,  60.0
Greater Fall River Regional Vocational Technical,08210000,      30,       2,      13,       3,       7,       5,  50.0,  50.0
