2017-18 Advanced Placement Performance - All Subjects - Asian,,,,,,,,,
District Name,District Code,tests_taken_asian,score=1_asian,score=2_asian,score=3_asian,score=4_asian,score=5_asian,%_score_1-2_asian,%_score_3-5_asian
Abington,00010000,       5,,,,,,,
Academy Of the Pacific Rim Charter Public (District),04120000,       2,,,,,,,
Acton-Boxborough,06000000,     637,       2,      26,      85,     196,     328,   4.4,  95.6
Adams-Cheshire,06030000,       3,,,,,,,
Advanced Math and Science Academy Charter (District),04300000,      96,       0,       9,      16,      31,      40,   9.4,  90.6
Agawam,00050000,      17,       2,       7,       3,       0,       5,  52.9,  47.1
Amesbury,00070000,       1,,,,,,,
Amherst-Pelham,06050000,      53,       1,       7,      16,      17,      12,  15.1,  84.9
Andover,00090000,     276,       3,      38,      52,      79,     104,  14.9,  85.1
Arlington,00100000,     101,       1,      13,      27,      25,      35,  13.9,  86.1
Ashburnham-Westminster,06100000,       3,,,,,,,
Ashland,00140000,      84,       1,       2,      15,      20,      46,   3.6,  96.4
Assabet Valley Regional Vocational Technical,08010000,       3,,,,,,,
Atlantis Charter (District),04910000,       5,,,,,,,
Attleboro,00160000,      32,       8,      12,       8,       3,       1,  62.5,  37.5
Auburn,00170000,      26,       3,       5,      11,       4,       3,  30.8,  69.2
Avon,00180000,       6,,,,,,,
Ayer Shirley School District,06160000,       3,,,,,,,
Barnstable,00200000,      45,      10,      10,      15,       9,       1,  44.4,  55.6
Bedford,00230000,      75,       0,       7,      15,      26,      27,   9.3,  90.7
Belchertown,00240000,       6,,,,,,,
Bellingham,00250000,      15,       1,       5,       3,       5,       1,  40.0,  60.0
Belmont,00260000,     348,       6,      20,      53,      96,     173,   7.5,  92.5
Berkshire Arts and Technology Charter Public (District),04140000,       6,,,,,,,
Berkshire Hills,06180000,       3,,,,,,,
Berlin-Boylston,06200000,       1,,,,,,,
Beverly,00300000,      21,       3,       4,       6,       1,       7,  33.3,  66.7
Billerica,00310000,      52,       8,      12,      12,      11,       9,  38.5,  61.5
Blackstone Valley Regional Vocational Technical,08050000,      11,       2,       3,       4,       2,       0,  45.5,  54.5
Blackstone-Millville,06220000,       5,,,,,,,
Boston,00350000,"   1,409",     206,     249,     335,     342,     277,  32.3,  67.7
Boston Collegiate Charter (District),04490000,      11,       4,       2,       4,       1,       0,  54.5,  45.5
Boston Green Academy Horace Mann Charter School (District),04110000,       4,,,,,,,
Braintree,00400000,     173,       3,      28,      44,      48,      50,  17.9,  82.1
Bridgewater-Raynham,06250000,      30,       1,       8,       8,       8,       5,  30.0,  70.0
Bristol-Plymouth Regional Vocational Technical,08100000,       4,,,,,,,
Brockton,00440000,      37,       8,      14,       6,       5,       4,  59.5,  40.5
Brooke Charter School (District),04280000,       1,,,,,,,
Brookline,00460000,     301,       5,      13,      45,      79,     159,   6.0,  94.0
Burlington,00480000,     141,      20,      30,      42,      25,      24,  35.5,  64.5
Cambridge,00490000,     143,       6,      23,      26,      44,      44,  20.3,  79.7
Canton,00500000,     123,       9,      17,      38,      31,      28,  21.1,  78.9
Cape Cod Regional Vocational Technical,08150000,       1,,,,,,,
Central Berkshire,06350000,       4,,,,,,,
Chelmsford,00560000,     141,      16,      29,      37,      32,      27,  31.9,  68.1
Chelsea,00570000,      14,       3,       5,       5,       1,       0,  57.1,  42.9
Chicopee,00610000,      39,       5,      17,       9,       3,       5,  56.4,  43.6
City on a Hill Charter Public School Dudley Square (District),35040000,       3,,,,,,,
Clinton,00640000,       3,,,,,,,
Cohasset,00650000,       7,,,,,,,
Community Charter School of Cambridge (District),04360000,       7,,,,,,,
Concord-Carlisle,06400000,     109,       2,       5,      22,      36,      44,   6.4,  93.6
Danvers,00710000,      15,       0,       1,       4,       5,       5,   6.7,  93.3
Dartmouth,00720000,       1,,,,,,,
Dedham,00730000,      43,       6,       9,      18,       7,       3,  34.9,  65.1
Dennis-Yarmouth,06450000,      23,       2,      11,       5,       4,       1,  56.5,  43.5
Dover-Sherborn,06550000,      71,       1,       2,       6,      27,      35,   4.2,  95.8
Dracut,00790000,      29,       2,       5,       8,       8,       6,  24.1,  75.9
Dudley-Charlton Reg,06580000,      20,       4,       8,       4,       4,       0,  60.0,  40.0
