2017-18 Advanced Placement Performance - All Subjects - Female,,,,,,,,,
District Name,District Code,tests_taken_female,score=1_female,score=2_female,score=3_female,score=4_female,score=5_female,%_score_1-2_female,%_score_3-5_female
Abington,00010000,     114,       9,      26,      43,      25,      11,  30.7,  69.3
Academy Of the Pacific Rim Charter Public (District),04120000,      40,      14,      15,       9,       2,       0,  72.5,  27.5
Acton-Boxborough,06000000,     578,       3,      27,      79,     191,     278,   5.2,  94.8
Adams-Cheshire,06030000,      90,      24,      37,      24,       5,       0,  67.8,  32.2
Advanced Math and Science Academy Charter (District),04300000,     181,       0,      11,      47,      57,      66,   6.1,  93.9
Agawam,00050000,     249,      27,      81,      83,      43,      15,  43.4,  56.6
Amesbury,00070000,      68,       9,      11,      20,      22,       6,  29.4,  70.6
Amherst-Pelham,06050000,     101,       4,      14,      30,      25,      28,  17.8,  82.2
Andover,00090000,     509,      16,      82,     160,     136,     115,  19.3,  80.7
Arlington,00100000,     521,      20,      68,     141,     165,     127,  16.9,  83.1
Ashburnham-Westminster,06100000,      95,       5,      29,      34,      17,      10,  35.8,  64.2
Ashland,00140000,     197,       1,       5,      24,      59,     108,   3.0,  97.0
Assabet Valley Regional Vocational Technical,08010000,      77,      33,      21,      13,       4,       6,  70.1,  29.9
Athol-Royalston,06150000,      53,      35,      14,       4,       0,       0,  92.5,   7.5
Atlantis Charter (District),04910000,      39,      15,      15,       5,       3,       1,  76.9,  23.1
Attleboro,00160000,     324,      58,     115,     100,      42,       9,  53.4,  46.6
Auburn,00170000,     186,      37,      57,      49,      36,       7,  50.5,  49.5
Avon,00180000,      31,      11,       7,      10,       3,       0,  58.1,  41.9
Ayer Shirley School District,06160000,      93,       4,      27,      34,      17,      11,  33.3,  66.7
Barnstable,00200000,     485,      76,     129,     136,      96,      48,  42.3,  57.7
Baystate Academy Charter Public School (District),35020000,       5,,,,,,,
Bedford,00230000,     133,       1,      10,      34,      46,      42,   8.3,  91.7
Belchertown,00240000,      64,       4,      16,      28,      13,       3,  31.3,  68.8
Bellingham,00250000,      92,      11,      30,      33,      13,       5,  44.6,  55.4
Belmont,00260000,     586,      10,      39,     125,     197,     215,   8.4,  91.6
Berkshire Arts and Technology Charter Public (District),04140000,      46,      12,      21,       8,       4,       1,  71.7,  28.3
Berkshire Hills,06180000,      61,       4,       9,      28,      12,       8,  21.3,  78.7
Berlin-Boylston,06200000,      67,       3,      14,      27,      18,       5,  25.4,  74.6
Beverly,00300000,     239,      20,      63,      86,      47,      23,  34.7,  65.3
Billerica,00310000,     255,      47,      72,      76,      40,      20,  46.7,  53.3
Blackstone Valley Regional Vocational Technical,08050000,     207,      42,      76,      58,      24,       7,  57.0,  43.0
Blackstone-Millville,06220000,     112,      14,      43,      26,      20,       9,  50.9,  49.1
Blue Hills Regional Vocational Technical,08060000,      12,       3,       6,       3,       0,       0,  75.0,  25.0
Boston,00350000,"   3,140",     821,     779,     655,     544,     341,  51.0,  49.0
Boston Collegiate Charter (District),04490000,     152,      30,      46,      35,      28,      13,  50.0,  50.0
Boston Green Academy Horace Mann Charter School (District),04110000,      52,      41,      10,       0,       1,       0,  98.1,   1.9
Boston Preparatory Charter Public (District),04160000,      71,      34,      29,       5,       3,       0,  88.7,  11.3
Bourne,00360000,      86,      21,      22,      20,      19,       4,  50.0,  50.0
Braintree,00400000,     374,      14,      49,      84,     130,      97,  16.8,  83.2
Bridgewater-Raynham,06250000,     336,      32,     114,     103,      73,      14,  43.5,  56.5
Bristol-Plymouth Regional Vocational Technical,08100000,      71,      17,      33,      18,       3,       0,  70.4,  29.6
Brockton,00440000,     287,      80,      94,      68,      35,      10,  60.6,  39.4
Brooke Charter School (District),04280000,      34,      22,       8,       4,       0,       0,  88.2,  11.8
Brookline,00460000,     621,       7,      33,     108,     200,     273,   6.4,  93.6
Burlington,00480000,     277,      25,      54,      82,      65,      51,  28.5,  71.5
Cambridge,00490000,     300,      14,      41,      79,      74,      92,  18.3,  81.7
Canton,00500000,     354,      29,      71,     122,      91,      41,  28.2,  71.8
Cape Cod Regional Vocational Technical,08150000,      25,       7,      15,       3,       0,       0,  88.0,  12.0
Carver,00520000,     102,      25,      29,      27,      18,       3,  52.9,  47.1
Central Berkshire,06350000,     104,      16,      40,      33,      14,       1,  53.8,  46.2
Chelmsford,00560000,     347,      28,      69,     107,      94,      49,  28.0,  72.0
Chelsea,00570000,     203,      60,      76,      42,      19,       6,  67.0,  33.0
Chicopee,00610000,     370,      97,     143,      84,      32,      14,  64.9,  35.1
City on a Hill Charter Public School Circuit Street (District),04370000,      57,      38,      16,       1,       2,       0,  94.7,   5.3
City on a Hill Charter Public School Dudley Square (District),35040000,      34,      15,      18,       1,       0,       0,  97.1,   2.9
Clinton,00640000,      61,      13,      21,      21,       3,       3,  55.7,  44.3
Codman Academy Charter Public (District),04380000,      13,      10,       1,       1,       1,       0,  84.6,  15.4
Cohasset,00650000,     122,       0,      24,      25,      30,      43,  19.7,  80.3
Community Charter School of Cambridge (District),04360000,      62,      28,      21,       8,       5,       0,  79.0,  21.0
Concord-Carlisle,06400000,     343,       5,      20,      64,     129,     125,   7.3,  92.7
Danvers,00710000,     297,      24,      71,      91,      68,      43,  32.0,  68.0
