2017-18 Advanced Placement Performance - All Subjects - High Needs,,,,,,,,,
District Name,District Code,tests_taken_highneeds,score=1_highneeds,score=2_highneeds,score=3_highneeds,score=4_highneeds,score=5_highneeds,%_score_1-2_highneeds,%_score_3-5_highneeds
Abington,00010000,      26,       2,      10,       8,       6,       0,  46.2,  53.8
Academy Of the Pacific Rim Charter Public (District),04120000,      20,       9,       7,       3,       1,       0,  80.0,  20.0
Acton-Boxborough,06000000,      57,       1,       2,       7,      14,      33,   5.3,  94.7
Adams-Cheshire,06030000,      28,       7,       7,      12,       2,       0,  50.0,  50.0
Advanced Math and Science Academy Charter (District),04300000,      23,       1,       3,       5,       6,       8,  17.4,  82.6
Agawam,00050000,      82,       8,      32,      24,      12,       6,  48.8,  51.2
Amesbury,00070000,       9,,,,,,,
Amherst-Pelham,06050000,      31,       2,       2,       8,      13,       6,  12.9,  87.1
Andover,00090000,      46,       0,       9,      10,      14,      13,  19.6,  80.4
Arlington,00100000,      65,       3,       8,      21,      20,      13,  16.9,  83.1
Ashburnham-Westminster,06100000,      12,       1,       6,       5,       0,       0,  58.3,  41.7
Ashland,00140000,      13,       0,       1,       2,       6,       4,   7.7,  92.3
Assabet Valley Regional Vocational Technical,08010000,      29,       9,       8,       8,       1,       3,  58.6,  41.4
Athol-Royalston,06150000,      27,      21,       5,       1,       0,       0,  96.3,   3.7
Atlantis Charter (District),04910000,      15,       8,       5,       1,       1,       0,  86.7,  13.3
Attleboro,00160000,      69,      15,      29,      17,       6,       2,  63.8,  36.2
Auburn,00170000,      23,       5,       9,       7,       2,       0,  60.9,  39.1
Avon,00180000,      11,       5,       2,       3,       1,       0,  63.6,  36.4
Ayer Shirley School District,06160000,      18,       1,       6,       8,       2,       1,  38.9,  61.1
Barnstable,00200000,     103,      24,      28,      28,      16,       7,  50.5,  49.5
Baystate Academy Charter Public School (District),35020000,       9,,,,,,,
Bedford,00230000,      10,       1,       1,       4,       3,       1,  20.0,  80.0
Belchertown,00240000,       7,,,,,,,
Bellingham,00250000,      25,       6,       7,       7,       5,       0,  52.0,  48.0
Belmont,00260000,      70,       4,       4,      13,      23,      26,  11.4,  88.6
Berkshire Arts and Technology Charter Public (District),04140000,      35,       8,      12,       9,       4,       2,  57.1,  42.9
Berkshire Hills,06180000,       8,,,,,,,
Berlin-Boylston,06200000,       7,,,,,,,
Beverly,00300000,      32,       5,      12,       8,       5,       2,  53.1,  46.9
Billerica,00310000,      26,       7,       8,       9,       2,       0,  57.7,  42.3
Blackstone Valley Regional Vocational Technical,08050000,      58,      11,      25,      14,       6,       2,  62.1,  37.9
Blackstone-Millville,06220000,      18,       4,       8,       3,       1,       2,  66.7,  33.3
Blue Hills Regional Vocational Technical,08060000,       4,,,,,,,
Boston,00350000,"   2,266",     857,     551,     424,     271,     163,  62.1,  37.9
Boston Collegiate Charter (District),04490000,      40,      12,      10,       8,       8,       2,  55.0,  45.0
Boston Green Academy Horace Mann Charter School (District),04110000,      59,      46,      10,       3,       0,       0,  94.9,   5.1
Boston Preparatory Charter Public (District),04160000,      54,      21,      20,       9,       4,       0,  75.9,  24.1
Bourne,00360000,      22,       8,       2,       5,       6,       1,  45.5,  54.5
Braintree,00400000,      57,       3,      12,      18,      10,      14,  26.3,  73.7
Bridgewater-Raynham,06250000,      49,       2,      16,      18,      10,       3,  36.7,  63.3
Bristol-Plymouth Regional Vocational Technical,08100000,      25,       4,      14,       7,       0,       0,  72.0,  28.0
Brockton,00440000,     177,      60,      61,      35,      16,       5,  68.4,  31.6
Brooke Charter School (District),04280000,      33,      24,       4,       4,       0,       1,  84.8,  15.2
Brookline,00460000,     136,       2,       9,      19,      33,      73,   8.1,  91.9
Burlington,00480000,      19,       5,       4,       7,       3,       0,  47.4,  52.6
Cambridge,00490000,     103,      14,      25,      26,      25,      13,  37.9,  62.1
Canton,00500000,      42,       6,       9,      11,       7,       9,  35.7,  64.3
Cape Cod Regional Vocational Technical,08150000,      20,       7,      11,       2,       0,       0,  90.0,  10.0
