2017-18 Advanced Placement Performance - All Subjects - Economically Disadvantaged,,,,,,,,,
District Name,District Code,tests_taken_lowincome,score=1_lowincome,score=2_lowincome,score=3_lowincome,score=4_lowincome,score=5_lowincome,%_score_1-2_lowincome,%_score_3-5_lowincome
Abington,10000,26,2,10,8,6,0,46.2,53.8
Academy Of the Pacific Rim Charter Public (District),4120000,19,8,7,3,1,0,78.9,21.1
Acton-Boxborough,6000000,34,1,2,4,9,18,8.8,91.2
Adams-Cheshire,6030000,27,6,7,12,2,0,48.1,51.9
Advanced Math and Science Academy Charter (District),4300000,19,1,3,5,5,5,21.1,78.9
Agawam,50000,82,8,32,24,12,6,48.8,51.2
Amesbury,70000,9,,,,,,,
Amherst-Pelham,6050000,27,2,2,8,12,3,14.8,85.2
Andover,90000,25,0,5,7,8,5,20,80
Arlington,100000,48,1,5,15,16,11,12.5,87.5
Ashburnham-Westminster,6100000,11,1,5,5,0,0,54.5,45.5
Ashland,140000,9,,,,,,,
Assabet Valley Regional Vocational Technical,8010000,23,7,6,6,1,3,56.5,43.5
Athol-Royalston,6150000,27,21,5,1,0,0,96.3,3.7
Atlantis Charter (District),4910000,15,8,5,1,1,0,86.7,13.3
Attleboro,160000,65,13,27,17,6,2,61.5,38.5
Auburn,170000,23,5,9,7,2,0,60.9,39.1
Avon,180000,10,4,2,3,1,0,60,40
Ayer Shirley School District,6160000,16,0,6,7,2,1,37.5,62.5
Barnstable,200000,101,24,28,26,16,7,51.5,48.5
Baystate Academy Charter Public School (District),35020000,9,,,,,,,
Bedford,230000,8,,,,,,,
Belchertown,240000,7,,,,,,,
Bellingham,250000,21,5,6,7,3,0,52.4,47.6
Belmont,260000,49,3,3,11,19,13,12.2,87.8
Berkshire Arts and Technology Charter Public (District),4140000,32,7,11,9,3,2,56.3,43.8
Berkshire Hills,6180000,8,,,,,,,
Berlin-Boylston,6200000,7,,,,,,,
Beverly,300000,27,4,10,6,5,2,51.9,48.1
Billerica,310000,26,7,8,9,2,0,57.7,42.3
Blackstone Valley Regional Vocational Technical,8050000,55,11,22,14,6,2,60,40
Blackstone-Millville,6220000,13,3,7,2,1,0,76.9,23.1
Blue Hills Regional Vocational Technical,8060000,4,,,,,,,
Boston,350000,"2,015",770,493,380,237,135,62.7,37.3
Boston Collegiate Charter (District),4490000,32,7,7,8,8,2,43.8,56.3
Boston Green Academy Horace Mann Charter School (District),4110000,54,44,7,3,0,0,94.4,5.6
Boston Preparatory Charter Public (District),4160000,46,19,16,7,4,0,76.1,23.9
Bourne,360000,22,8,2,5,6,1,45.5,54.5
Braintree,400000,49,3,11,15,8,12,28.6,71.4
Bridgewater-Raynham,6250000,46,2,16,16,9,3,39.1,60.9
Bristol-Plymouth Regional Vocational Technical,8100000,23,3,14,6,0,0,73.9,26.1
Brockton,440000,170,56,60,33,16,5,68.2,31.8
Brooke Charter School (District),4280000,31,22,4,4,0,1,83.9,16.1
Brookline,460000,86,2,5,11,14,54,8.1,91.9
Burlington,480000,19,5,4,7,3,0,47.4,52.6
Cambridge,490000,93,12,22,26,23,10,36.6,63.4
Canton,500000,37,4,9,11,6,7,35.1,64.9
Cape Cod Regional Vocational Technical,8150000,19,6,11,2,0,0,89.5,10.5
Carver,520000,24,6,3,9,4,2,37.5,62.5
Central Berkshire,6350000,28,5,9,5,6,3,50,50
Chelmsford,560000,28,2,10,8,4,4,42.9,57.1
Chelsea,570000,173,63,51,32,17,10,65.9,34.1
Chicopee,610000,211,54,74,60,17,6,60.7,39.3
City on a Hill Charter Public School Circuit Street (District),4370000,47,30,15,0,2,0,95.7,4.3
City on a Hill Charter Public School Dudley Square (District),35040000,28,15,13,0,0,0,100,0
Clinton,640000,24,8,9,6,0,1,70.8,29.2
Codman Academy Charter Public (District),4380000,12,10,1,0,1,0,91.7,8.3
Cohasset,650000,3,,,,,,,
