2017-18 Advanced Placement Performance - All Subjects - Male,,,,,,,,,
District Name,District Code,tests_taken_male,score=1_male,score=2_male,score=3_male,score=4_male,score=5_male,%_score_1-2_male,%_score_3-5_male
Abington,00010000,      32,       4,       6,      12,       9,       1,  31.3,  68.8
Academy Of the Pacific Rim Charter Public (District),04120000,      17,      10,       6,       1,       0,       0,  94.1,   5.9
Acton-Boxborough,06000000,     578,       3,      21,      74,     181,     299,   4.2,  95.8
Adams-Cheshire,06030000,      54,       8,      27,      13,       6,       0,  64.8,  35.2
Advanced Math and Science Academy Charter (District),04300000,     171,       3,      16,      28,      43,      81,  11.1,  88.9
Agawam,00050000,     162,       9,      54,      53,      27,      19,  38.9,  61.1
Amesbury,00070000,      59,       5,      13,      13,      14,      14,  30.5,  69.5
Amherst-Pelham,06050000,     130,       3,      15,      30,      40,      42,  13.8,  86.2
Andover,00090000,     374,      10,      45,      71,     111,     137,  14.7,  85.3
Arlington,00100000,     387,      10,      41,      83,     137,     116,  13.2,  86.8
Ashburnham-Westminster,06100000,      68,       6,      31,      14,      14,       3,  54.4,  45.6
Ashland,00140000,     154,       0,       4,      23,      46,      81,   2.6,  97.4
Assabet Valley Regional Vocational Technical,08010000,      65,      16,      20,      22,       2,       5,  55.4,  44.6
Athol-Royalston,06150000,      30,      13,       8,       7,       2,       0,  70.0,  30.0
Atlantis Charter (District),04910000,      17,       8,       7,       2,       0,       0,  88.2,  11.8
Attleboro,00160000,     226,      39,      69,      70,      28,      20,  47.8,  52.2
Auburn,00170000,     141,      17,      37,      49,      28,      10,  38.3,  61.7
Avon,00180000,      13,       0,       2,       7,       3,       1,  15.4,  84.6
Ayer Shirley School District,06160000,      52,       3,      12,      19,      10,       8,  28.8,  71.2
Barnstable,00200000,     403,      72,      68,     111,      86,      66,  34.7,  65.3
Baystate Academy Charter Public School (District),35020000,       9,,,,,,,
Bedford,00230000,     137,       4,      13,      31,      39,      50,  12.4,  87.6
Belchertown,00240000,      71,       0,       8,      24,      21,      18,  11.3,  88.7
Bellingham,00250000,      70,      10,      22,      18,      17,       3,  45.7,  54.3
Belmont,00260000,     575,       7,      35,     124,     178,     231,   7.3,  92.7
Berkshire Arts and Technology Charter Public (District),04140000,      32,       5,      10,       7,       7,       3,  46.9,  53.1
Berkshire Hills,06180000,      67,       1,       6,      19,      21,      20,  10.4,  89.6
Berlin-Boylston,06200000,      46,       0,       4,      16,      15,      11,   8.7,  91.3
Beverly,00300000,     116,       5,      25,      34,      31,      21,  25.9,  74.1
