2017-18 Enrollment By Grade (District) ,,,,,,,,,,,,,,,,,
District Name,District Code,PK,K,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,SP,Total
Abby Kelley Foster Charter Public (District),4450000,0,117,116,113,117,122,118,115,123,120,101,88,84,91,0,"1,425"
Abington,10000,84,137,155,132,168,151,154,188,178,167,153,130,111,123,3,"2,034"
Academy Of the Pacific Rim Charter Public (District),4120000,0,0,0,0,0,0,80,76,76,81,69,56,48,38,0,524
Acton-Boxborough,6000000,111,352,343,365,388,415,420,420,486,478,427,447,501,452,0,"5,605"
Acushnet,30000,51,108,81,99,105,106,103,114,119,77,0,0,0,0,0,963
Adams-Cheshire,6030000,53,85,79,80,106,111,106,92,92,115,52,64,95,85,6,"1,221"
Advanced Math and Science Academy Charter (District),4300000,0,0,0,0,0,0,0,144,158,159,158,149,121,104,0,993
Agawam,50000,163,233,304,258,272,314,271,300,311,263,318,279,291,277,10,"3,864"
Alma del Mar Charter School (District),4090000,0,50,49,46,47,46,46,46,44,39,0,0,0,0,0,413
Amesbury,70000,53,145,137,165,177,161,167,167,167,176,165,158,147,160,2,"2,147"
Amherst,80000,65,121,138,155,152,159,182,174,0,0,0,0,0,0,0,"1,146"
Amherst-Pelham,6050000,0,0,0,0,0,0,0,0,194,216,241,233,221,228,10,"1,343"
Andover,90000,85,363,398,432,426,462,484,504,508,480,472,427,454,411,18,"5,924"
Argosy Collegiate Charter School (District),35090000,0,0,0,0,0,0,0,103,103,102,90,0,0,0,0,398
Arlington,100000,85,522,555,486,507,499,474,442,415,401,350,321,339,315,0,"5,711"
Ashburnham-Westminster,6100000,65,151,154,170,173,195,184,190,199,184,177,181,161,183,17,"2,384"
Ashland,140000,127,202,221,189,220,211,216,207,186,208,206,207,177,179,0,"2,756"
Assabet Valley Regional Vocational Technical,8010000,0,0,0,0,0,0,0,0,0,0,300,284,275,254,0,"1,113"
Athol-Royalston,6150000,93,124,120,121,115,121,122,107,100,109,95,93,72,102,6,"1,500"
Atlantis Charter (District),4910000,0,107,106,106,106,106,110,110,109,109,75,59,66,43,0,"1,212"
Attleboro,160000,184,425,425,453,418,457,468,466,412,476,457,447,422,427,11,"5,948"
Auburn,170000,109,167,206,186,200,197,180,198,218,216,181,184,191,174,3,"2,610"
Avon,180000,19,48,55,61,53,56,63,59,65,59,39,53,54,39,3,726
Ayer Shirley School District,6160000,66,142,146,131,148,140,154,127,138,105,106,106,109,88,0,"1,706"
Barnstable,200000,135,314,298,319,353,424,433,378,359,391,369,356,383,345,13,"4,870"
