2017-18 Enrollment By Race/Gender Report (District) ,,,,,,,,,,,
District Name,District Code,enroll_aa,enroll_asian,enroll_hispanic,enroll_white,enroll_native,enroll_islander,enroll_multirace,%_enroll_male,%_enroll_female,enroll_not_white
Abby Kelley Foster Charter Public (District),4450000,49.8,4.1,22.3,20.8,0.1,0.1,2.8,46.5,53.5,79.2
Abington,10000,3.1,2,7.9,85.9,0.3,0.1,0.7,50.5,49.5,14.1
Academy Of the Pacific Rim Charter Public (District),4120000,59.7,1.3,27.9,8.8,0,0.2,2.1,49.2,50.8,91.2
Acton-Boxborough,6000000,2.3,32.6,4.5,56.1,0.2,0.1,4.2,51.7,48.3,43.9
Acushnet,30000,0.8,0.1,3.3,93.9,0.1,0,1.8,52.6,47.4,6.1
Adams-Cheshire,6030000,4.4,0.9,2.5,90.3,0.2,0.1,1.6,50.5,49.5,9.7
Advanced Math and Science Academy Charter (District),4300000,1.9,17.4,5.4,68.2,0.2,0,6.8,52.4,47.6,31.8
Agawam,50000,2.3,3,7.8,84.3,0,0.1,2.6,52.1,47.9,15.7
Alma del Mar Charter School (District),4090000,12.8,0.5,50.8,29.3,0.7,0,5.8,45.5,54.5,70.7
Amesbury,70000,1.6,1.1,7.2,86.2,0.2,0.1,3.5,53.5,46.5,13.8
Amherst,80000,9.9,14.4,21.8,45.7,0.3,0,7.9,51.1,48.8,54.3
Amherst-Pelham,6050000,7.1,9.2,16.2,58.2,0.1,0.2,9,51.3,48.6,41.8
Andover,90000,2.1,18.3,5.5,71.3,0.2,0,2.6,50,49.9,28.7
Argosy Collegiate Charter School (District),35090000,10.6,2,18.8,62.1,0.5,0.5,5.5,53,47,37.9
Arlington,100000,3.7,12.5,6.4,72,0.1,0.2,5.2,50.4,49.5,28
Ashburnham-Westminster,6100000,0.6,0.8,4.2,92.6,0,0,1.8,50.1,49.9,7.4
Ashland,140000,2.2,13.9,10.7,69.3,0.6,0,3.3,49.6,50.3,30.7
Assabet Valley Regional Vocational Technical,8010000,0.6,0.4,14.1,82.2,0.4,0,2.3,59.5,40.4,17.8
Athol-Royalston,6150000,1.5,1.1,8.7,85,0,0,3.7,52.3,47.7,15
Atlantis Charter (District),4910000,5,1.7,10.8,78.4,0.1,0,4,46.9,53.1,21.6
Attleboro,160000,5.5,4.7,14.2,68.8,0.3,0.1,6.4,52.6,47.4,31.2
Auburn,170000,1.8,4.1,8.2,82.5,0.1,0,3.4,50,50,17.5
Avon,180000,28.5,4.4,8,54.1,0.6,0,4.4,53.4,46.3,45.9
Ayer Shirley School District,6160000,4.5,2.6,10.3,76.4,0.5,0.4,5.3,51.8,48.2,23.6
Barnstable,200000,7.7,2,12.9,72,0.4,0.2,4.8,51.2,48.8,28
Barnstable Community Horace Mann Charter Public (District),4270000,17.3,3.3,24.1,49.8,0.7,0,4.9,50.8,48.9,50.2
Baystate Academy Charter Public School (District),35020000,25.8,0.9,66.7,5.2,0,0.2,1.1,50.8,49.2,94.8
Bedford,230000,6.1,15.9,5.9,66.8,0,0.1,5.3,50.6,49.3,33.2
Belchertown,240000,1.9,1.8,4.1,89.2,0.3,0.2,2.6,50.8,49.2,10.8
