2017-18 Selected Populations Report (District) ,,,,,,,,,,,
District Name,District Code,enroll_first_not_english,%_enroll_first_not_english,enroll_ELL,%_enroll_ELL,enroll_disabilities,%_enroll_disabilities,enroll_highneeds,%_enroll_high_needs,enroll_low_econ,%_enroll_low_econ
Abby Kelley Foster Charter Public (District),4450000,913,64.1,137,9.6,171,12,751,52.7,568,39.9
Abington,10000,182,8.9,97,4.8,296,14.4,730,35.5,477,23.5
Academy Of the Pacific Rim Charter Public (District),4120000,150,28.6,63,12,137,26.1,333,63.5,207,39.5
Acton-Boxborough,6000000,997,17.8,267,4.8,891,15.6,1419,24.9,334,6
Acushnet,30000,10,1,7,0.7,152,15.6,351,36,248,25.8
Adams-Cheshire,6030000,8,0.7,6,0.5,310,25.3,708,57.9,594,48.6
Advanced Math and Science Academy Charter (District),4300000,237,23.9,94,9.5,53,5.3,200,20.1,67,6.7
Agawam,50000,372,9.6,203,5.3,676,17.3,1635,41.9,1149,29.7
Alma del Mar Charter School (District),4090000,96,23.2,91,22,65,15.7,299,72.4,241,58.4
Amesbury,70000,63,2.9,28,1.3,435,19.9,802,36.7,501,23.3
Amherst,80000,276,24.1,189,16.5,241,21,566,49.3,383,33.4
Amherst-Pelham,6050000,186,13.8,81,6,270,19.9,526,38.8,339,25.2
Andover,90000,776,13.1,254,4.3,1156,19.2,1659,27.6,416,7
Argosy Collegiate Charter School (District),35090000,98,24.6,91,22.9,86,21.6,267,67.1,219,55
Arlington,100000,616,10.8,272,4.8,891,15.3,1488,25.6,481,8.4
Ashburnham-Westminster,6100000,80,3.4,45,1.9,416,17.4,715,29.9,371,15.6
Ashland,140000,553,20.1,118,4.3,466,16.7,833,29.9,364,13.2
Assabet Valley Regional Vocational Technical,8010000,168,15.1,32,2.9,327,29.4,540,48.5,275,24.7
Athol-Royalston,6150000,55,3.7,39,2.6,414,27.1,945,62,761,50.7
Atlantis Charter (District),4910000,229,18.9,112,9.2,145,12,659,54.4,526,43.4
Attleboro,160000,783,13.2,358,6,1027,17.2,2677,44.7,1852,31.1
Auburn,170000,190,7.3,92,3.5,252,9.6,735,28.1,488,18.7
