2017-18 Race/Ethnicity and Gender Staffing Report  - District - All,,,,,,,,,,,,
District Name,District Code,%_staff_aa,%_staff_asian,%_staff_hispanic,%_staff_white,%_staff_native,%_staff_islander,%_staff_multirace,%_staff_female,%_staff_male,staff_FTE,%_staff_notwhite
Abby Kelley Foster Charter Public (District),4450000,3.6,1.4,1.7,92.3,0,0,1.1,79,21,179.8,7.7
Abington,10000,1.2,0.4,1.7,96.7,0,0,0,85.1,14.9,241.7,3.3
Academy Of the Pacific Rim Charter Public (District),4120000,23.3,4.4,5.2,64.1,0,0,3.1,65,35,77.4,35.9
Acton-Boxborough,6000000,0.4,3,0.6,95.7,0.1,0,0.1,86.4,13.6,750.3,4.3
Acushnet,30000,1.7,0,0.8,97.6,0,0,0,84.6,15.4,121,2.4
Adams-Cheshire,6030000,0,0,0.5,99.5,0,0,0,83.9,16.1,197.6,0.5
Advanced Math and Science Academy Charter (District),4300000,0,3.2,1.4,91.3,0,0,4,60.3,39.7,124.1,8.7
Agawam,50000,1.1,0,0.8,98.1,0,0,0,84,16,635.9,1.9
Alma del Mar Charter School (District),4090000,3.8,0,11.3,83,0,1.9,0,71.7,28.3,53,17
Amesbury,70000,0,0,0.5,99.1,0,0,0.4,82.1,17.9,283.1,0.9
Amherst,80000,5.7,3.1,11.8,76.9,0,0,2.4,81.1,18.9,289.7,23.1
Amherst-Pelham,6050000,8.5,0.8,9.6,78.1,0,0,3,65.7,34.3,262.3,21.9
Andover,90000,0.2,1.9,2.3,95.4,0,0.1,0.1,84.8,15.2,885.8,4.6
Argosy Collegiate Charter School (District),35090000,4.3,2.2,0,91.4,0,0,2.2,69.8,30.2,46.4,8.6
Arlington,100000,1.5,2,2,93.4,0,0.1,0.9,81.3,18.7,736.2,6.6
Ashburnham-Westminster,6100000,1.3,0,1.5,96.5,0,0,0.7,78.1,21.9,296.9,3.5
Ashland,140000,0,1.4,0.4,98.2,0,0,0,82.4,17.6,363.7,1.8
Assabet Valley Regional Vocational Technical,8010000,0.6,0.6,4.3,94.4,0,0,0,50.5,49.5,161.5,5.6
Athol-Royalston,6150000,1.5,0,0.5,98,0,0,0,81.2,18.8,202.1,2
Atlantis Charter (District),4910000,0.9,0,0.9,97,0,0,1.2,83,17,167.5,3
