2017-18 Class Size by Gender and Selected Population ,,,,,,,,
District Name,District Code,Number of Classes,Average Class Size,% Class Female,% Class Male,% Class ELL,% Class Disabled,% Class Low Income
Abby Kelley Foster Charter Public (District),4450000,698,19.3,53.6,46.4,9.2,12.2,36.3
Abington,10000,"1,073",21,49.6,50.4,5.6,13.6,22.1
Academy Of the Pacific Rim Charter Public (District),4120000,167,20.9,51.4,48.6,12.7,25.5,34.7
Acton-Boxborough,6000000,"2,179",21.4,48.2,51.8,5,14.8,6
Acushnet,30000,435,19.1,47.7,52.3,0.9,14.2,23.3
Adams-Cheshire,6030000,742,16.6,48.8,51.2,0.6,26,48.2
Advanced Math and Science Academy Charter (District),4300000,489,19.3,46.9,53.1,2.5,5.4,6.6
Agawam,50000,"2,618",15.9,48.2,51.8,5.4,16.3,28.5
Alma del Mar Charter School (District),4090000,131,19,54.8,45.2,22.9,16.1,55.5
Amesbury,70000,"1,136",17.2,46.7,53.3,1.3,20.5,22.3
Amherst,80000,312,20.2,48.4,51.5,17.1,22,34
Amherst-Pelham,6050000,939,14,47.6,52.3,6.8,19.6,24.9
Andover,90000,"2,710",18.2,49.9,50.1,3.9,18.5,6.8
Argosy Collegiate Charter School (District),35090000,135,24.8,46.1,53.9,24.9,23.2,53.4
Arlington,100000,"2,562",18.1,49.5,50.4,4.8,15.7,8.2
Ashburnham-Westminster,6100000,"1,428",18.5,49.8,50.1,1.8,18.5,15.3
Ashland,140000,"1,306",18.4,50.3,49.6,5.2,16.1,12.5
Assabet Valley Regional Vocational Technical,8010000,648,16.6,40.7,59.2,3.2,29.3,22.4
Athol-Royalston,6150000,649,17.4,47,53,2.6,27.8,47.7
Atlantis Charter (District),4910000,502,23.6,53.3,46.7,9.9,13.2,39.9
Attleboro,160000,"2,631",21.6,47.5,52.5,5.9,15.8,29.7
Auburn,170000,"1,271",19,50.1,49.9,4,9.8,17.1
Avon,180000,322,13.7,46.4,53.3,4,16.5,27.8
Ayer Shirley School District,6160000,880,19.2,48.4,51.6,4.1,17.2,24.2
Barnstable,200000,"1,994",17.3,48.7,51.3,10.8,15.5,30.8
Barnstable Community Horace Mann Charter Public (District),4270000,87,20.4,48.5,51.5,20.7,9.7,38.5
Baystate Academy Charter Public School (District),35020000,297,15.8,49.7,50.3,13.2,19,67.8
Bedford,230000,"1,147",16.5,49.3,50.6,5.7,15.8,8.6
Belchertown,240000,"1,167",17.7,49.1,50.9,0.9,18.4,18.4
Bellingham,250000,863,18,48.9,51.1,1.8,19,18.4
Belmont,260000,"1,788",22.3,49.3,50.7,7.5,9.2,6.8
Benjamin Banneker Charter Public (District),4200000,65,23,50.9,49.1,5.1,16.6,50.3
Benjamin Franklin Classical Charter Public (District),4470000,154,24.7,51,49,5.6,12.4,7
Bentley Academy Charter School (District),35110000,146,16.2,50.2,49.8,21.4,18.1,64.4
Berkley,270000,252,20.4,51,49,0.7,15,15.7
Berkshire Arts and Technology Charter Public (District),4140000,138,17.9,49.4,50.6,0.6,22.3,39.1
Berkshire Hills,6180000,887,15.1,48.3,51.7,3.2,17.6,26.8
Berlin,280000,122,14.6,44.4,55.6,3.2,15.9,15.3
Berlin-Boylston,6200000,289,17,45.9,54.1,1.9,15.9,10.7
Beverly,300000,"1,219",19.8,48,52,3.7,20,24.5
Billerica,310000,"2,303",18.1,48.7,51.3,1.7,17.3,15.7
Blackstone Valley Regional Vocational Technical,8050000,679,17.2,49.6,50.4,0.2,8.9,9.4
Blackstone-Millville,6220000,809,18.8,48.7,51.3,2.2,16.4,19.7
Blue Hills Regional Vocational Technical,8060000,427,14.8,44.6,55.4,0.5,25.6,22.2
Boston,350000,"23,675",17.7,48.2,51.8,30,20.1,55.9
Boston Collegiate Charter (District),4490000,247,21,51.4,48.6,3.8,17.6,28.5
Boston Day and Evening Academy Charter (District),4240000,311,15.7,53.7,46.3,6.3,24,56.4
Boston Green Academy Horace Mann Charter School (District),4110000,258,13.7,48.4,51.6,14.9,30,62.1
Boston Preparatory Charter Public (District),4160000,97,36.6,48.5,51.5,16,22.7,37.4
