2017-18 Teacher Salaries Report ,,,,
District Name,District Code,Salary Totals,Average Salary,FTE Count
Abington,00010000,"10,610,746","85,917",    124
Acton-Boxborough,06000000,"31,536,769","84,822",    372
Acushnet,00030000,"5,098,533","76,860",     66
Adams-Cheshire,06030000,"6,775,396","82,426",     82
Agawam,00050000,"24,109,895","74,116",    325
Amesbury,00070000,"12,882,002","76,770",    168
Amherst,00080000,"9,406,729","76,477",    123
Amherst-Pelham,06050000,"9,670,870","84,610",    114
Andover,00090000,"41,150,023","85,092",    484
Arlington,00100000,"30,389,114","75,090",    405
Ashburnham-Westminster,06100000,"11,157,131","69,127",    161
Ashland,00140000,"15,997,243","79,628",    201
Assabet Valley Regional Vocational Technical,08010000,"8,563,439","73,886",    116
Athol-Royalston,06150000,"7,074,113","64,604",    110
Attleboro,00160000,"31,824,218","83,792",    380
Auburn,00170000,"13,339,572","74,150",    180
Avon,00180000,"5,039,595","73,678",     68
Ayer Shirley School District,06160000,"8,601,819","63,017",    137
Barnstable,00200000,"29,864,720","80,672",    370
Bedford,00230000,"21,022,795","89,004",    236
Belchertown,00240000,"11,245,519","67,973",    165
Bellingham,00250000,"12,881,902","74,764",    172
Belmont,00260000,"24,846,861","90,616",    274
Berkley,00270000,"4,652,479","76,647",     61
Berkshire Hills,06180000,"8,195,278","73,632",    111
Berlin,00280000,"1,553,886","86,327",     18
Berlin-Boylston,06200000,"3,416,313","73,468",     47
Beverly,00300000,"24,533,710","74,435",    330
Billerica,00310000,"31,485,547","83,185",    379
Blackstone Valley Regional Vocational Technical,08050000,"7,759,731","76,677",    101
Blackstone-Millville,06220000,"9,236,975","68,881",    134
Blue Hills Regional Vocational Technical,08060000,"6,982,777","81,195",     86
Boston,00350000,"434,326,612","101,811","  4,266"
Bourne,00360000,"12,024,119","80,186",    150
Boxford,00380000,"4,933,186","85,202",     58
Boylston,00390000,"1,551,334","79,150",     20
Braintree,00400000,"34,556,891","79,863",    433
Brewster,00410000,"3,408,220","78,712",     43
Bridgewater-Raynham,06250000,"28,255,049","85,388",    331
Brimfield,00430000,"1,984,445","75,454",     26
Bristol County Agricultural,09100000,"2,492,103","70,003",     36
Bristol-Plymouth Regional Vocational Technical,08100000,"9,193,862","90,893",    101
Brockton,00440000,"97,396,208","96,174","  1,013"
Brookfield,00450000,"1,627,842","68,397",     24
Brookline,00460000,"60,085,735","95,208",    631
Burlington,00480000,"32,063,224","98,474",    326
Cambridge,00490000,"60,295,729","88,191",    684
Canton,00500000,"21,123,612","83,857",    252
Cape Cod Regional Vocational Technical,08150000,"5,203,438","79,080",     66
Carlisle,00510000,"5,719,277","100,691",     57
Carver,00520000,"8,576,088","72,740",    118
Central Berkshire,06350000,"9,199,152","73,652",    125
Chelmsford,00560000,"29,391,399","78,671",    374
Chelsea,00570000,"28,754,484","69,506",    414
Chesterfield-Goshen,06320000,"1,076,614","72,256",     15
Chicopee,00610000,"44,552,709","72,185",    617
Clarksburg,00630000,"923,487","59,580",     16
Clinton,00640000,"10,050,569","66,428",    151
Cohasset,00650000,"10,185,326","89,739",    114
Concord,00670000,"16,855,517","99,501",    169
Concord-Carlisle,06400000,"10,529,788","102,630",    103
Conway,00680000,"840,864","62,751",     13
Danvers,00710000,"21,295,833","78,007",    273
Dartmouth,00720000,"21,184,838","77,109",    275
Dedham,00730000,"19,381,836","79,564",    244
Deerfield,00740000,"2,272,528","57,678",     39
Dennis-Yarmouth,06450000,"21,333,980","74,673",    286
Dighton-Rehoboth,06500000,"16,455,190","72,299",    228
Douglas,00770000,"6,550,786","69,468",     94
Dover,00780000,"3,731,384","89,268",     42
Dover-Sherborn,06550000,"10,159,429","94,331",    108
Dracut,00790000,"15,943,505","76,066",    210
Dudley-Charlton Reg,06580000,"19,208,540","70,594",    272
Duxbury,00820000,"18,922,183","82,702",    229
East Bridgewater,00830000,"11,206,254","72,485",    155
East Longmeadow,00870000,"15,386,470","74,655",    206
Eastham,00850000,"1,868,681","80,201",     23
Easthampton,00860000,"7,882,715","67,605",    117
Easton,00880000,"20,985,465","77,666",    270
Edgartown,00890000,"3,602,688","93,576",     39
Erving,00910000,"1,336,974","73,866",     18
