2017 Chapter 70 Foundation Budget and Net School Spending ,,,,,,,,
District Name,District Code,Required NSS,Actual NSS,Amount Over or Under Required,Actual NSS as % of Required,Foundation Budget,Public Actual NSS as % of Foundation,
Abington,00010000,"20,423,226.00","25,655,945.89","5,232,719.89",126,"19,481,152.11",132,
Acton-Boxborough,06000000,"55,349,562.56","73,981,823.76","18,632,261.20",134,"52,547,574.00",141,
Acushnet,00030000,"13,101,618.00","13,789,567.91","687,949.91",105,"11,862,468.34",116,
Adams-Cheshire,06030000,"15,736,826.00","16,646,495.35","909,669.35",106,"15,296,780.00",109,
Agawam,00050000,"41,841,735.81","56,496,387.00","14,654,651.19",135,"39,809,443.76",142,
Amesbury,00070000,"23,484,900.00","30,947,560.05","7,462,660.05",132,"22,775,372.14",136,
Amherst,00080000,"15,075,059.00","24,095,377.32","9,020,318.32",160,"12,153,334.12",198,
Amherst-Pelham,06050000,"20,888,903.00","28,364,120.00","7,475,217.00",136,"15,535,447.00",183,
Andover,00090000,"58,523,208.00","88,454,710.00","29,931,502.00",151,"58,523,208.19",151,
Arlington,00100000,"52,773,808.00","69,989,280.73","17,215,472.73",133,"51,156,059.77",137,
Ashburnham-Westminster,06100000,"21,718,737.00","23,854,338.48","2,135,601.48",110,"21,190,453.00",113,
Ashland,00140000,"24,958,579.00","32,541,261.69","7,582,682.69",130,"24,958,578.79",130,
Assabet Valley Regional Vocational Technical,08010000,"12,863,586.00","13,506,184.00","642,598.00",105,"12,802,558.00",105,
Athol-Royalston,06150000,"20,165,090.00","21,063,676.36","898,586.36",104,"18,244,828.00",115,
Attleboro,00160000,"68,466,287.00","71,087,780.31","2,621,493.31",104,"68,466,287.28",104,
Auburn,00170000,"23,125,006.00","29,827,715.97","6,702,709.97",129,"23,122,124.42",129,
Avon,00180000,"5,736,312.00","10,446,284.00","4,709,972.00",182,"5,736,311.70",182,
Ayer Shirley School District,06160000,"19,050,296.00","23,914,501.84","4,864,205.84",126,"17,539,418.00",136,
Barnstable,00200000,"57,300,645.00","72,856,261.10","15,555,616.10",127,"57,300,644.84",127,
Bedford,00230000,"26,046,670.37","42,950,786.02","16,904,115.65",165,"25,950,850.37",166,
Belchertown,00240000,"24,955,983.00","28,225,260.25","3,269,277.25",113,"23,089,848.73",122,
Bellingham,00250000,"23,614,134.00","30,069,230.35","6,455,096.35",127,"22,360,509.42",134,
Belmont,00260000,"40,728,661.00","52,925,356.70","12,196,695.70",130,"40,728,661.17",130,
Berkley,00270000,"7,525,571.00","8,503,276.00","977,705.00",113,"6,930,346.84",123,
Berkshire Hills,06180000,"12,295,147.00","20,403,985.16","8,108,838.16",166,"11,414,759.00",179,
Berlin,00280000,"1,717,598.00","3,339,748.00","1,622,150.00",194,"1,517,885.70",220,
Berlin-Boylston,06200000,"5,293,761.00","7,664,700.00","2,370,939.00",145,"5,023,757.00",153,
Beverly,00300000,"44,865,121.00","56,380,475.50","11,515,354.50",126,"44,666,515.99",126,
Billerica,00310000,"53,735,129.05","70,994,653.00","17,259,523.95",132,"49,371,895.51",144,
Blackstone Valley Regional Vocational Technical,08050000,"18,590,161.00","19,590,631.93","1,000,470.93",105,"18,149,119.00",108,
Blackstone-Millville,06220000,"18,960,338.00","20,815,967.50","1,855,629.50",110,"17,055,908.00",122,
Blue Hills Regional Vocational Technical,08060000,"14,506,142.00","16,899,906.99","2,393,764.99",117,"14,501,647.00",117,
