"2017 Per Pupil Expenditures, All Funds ",,,,,,,,
District Name,District Code,In-District Expenditures,Total In-district FTEs,In-District Expenditures per Pupil,Total Expenditures,Total Pupil FTEs,Total Expenditures per Pupil,
Abby Kelley Foster Charter Public (District),04450000,"17,867,690.22","           1,424.9","12,539.48","17,867,690.22","           1,424.9","12,539.48",
Abington,00010000,"25,908,215.00","           1,926.2","13,450.43","29,737,218.00","           2,040.5","14,573.50",
Academy Of the Pacific Rim Charter Public (District),04120000,"9,536,647.00",             520.2,"18,333.50","9,536,647.00",             520.2,"18,333.50",
Acton-Boxborough,06000000,"78,051,554.00","           5,613.9","13,903.27","87,351,122.00","           5,747.5","15,198.11",
Acushnet,00030000,"12,132,993.00",             973.1,"12,468.39","15,868,705.00","           1,279.9","12,398.39",
Adams-Cheshire,06030000,"18,351,967.00","           1,305.4","14,058.50","20,063,858.00","           1,457.0","13,770.66",
Advanced Math and Science Academy Charter (District),04300000,"14,184,129.78",             969.6,"14,628.93","14,184,129.78",             969.6,"14,628.93",
Agawam,00050000,"58,465,241.00","           3,908.8","14,957.34","63,338,234.00","           4,028.9","15,720.97",
Alma del Mar Charter School (District),04090000,"5,009,449.00",             322.4,"15,537.14","5,009,449.00",             322.4,"15,537.14",
Amesbury,00070000,"32,276,226.00","           2,150.5","15,008.71","36,470,023.00","           2,298.7","15,865.50",
Amherst,00080000,"24,659,817.00","           1,155.9","21,333.87","26,744,901.00","           1,265.5","21,133.86",
Amherst-Pelham,06050000,"28,913,607.00","           1,366.0","21,166.62","33,309,299.00","           1,557.8","21,382.27",
Andover,00090000,"97,224,894.00","           6,050.4","16,069.17","105,202,975.00","           6,173.8","17,040.23",
Argosy Collegiate Charter School (District),35090000,"4,167,996.76",             306.4,"13,605.20","4,167,996.76",             306.4,"13,605.20",
Arlington,00100000,"72,530,072.00","           5,537.8","13,097.27","80,996,098.00","           5,694.8","14,222.82",
Ashburnham-Westminster,06100000,"28,819,825.00","           2,343.9","12,295.67","30,116,924.00","           2,434.0","12,373.43",
Ashland,00140000,"35,239,257.00","           2,709.4","13,006.30","38,770,864.00","           2,817.5","13,760.73",
Assabet Valley Regional Vocational Technical,08010000,"22,249,975.00","           1,133.6","19,627.71","22,268,343.00","           1,133.6","19,643.92",
Athol-Royalston,06150000,"21,083,905.00","           1,461.5","14,426.21","25,705,584.00","           1,849.2","13,900.92",
Atlantis Charter (District),04910000,"14,913,235.26","           1,102.9","13,521.46","14,913,235.26","           1,102.9","13,521.46",
Attleboro,00160000,"75,103,895.00","           5,816.8","12,911.55","83,293,574.00","           6,255.4","13,315.47",
Auburn,00170000,"32,574,158.00","           2,506.4","12,996.39","33,957,312.00","           2,562.8","13,250.08",
Avon,00180000,"11,837,628.00",             720.1,"16,438.87","12,484,412.00",             738.5,"16,905.09",
Ayer Shirley School District,06160000,"23,790,086.00","           1,697.1","14,018.08","28,572,903.00","           1,949.1","14,659.54",
Barnstable,00200000,"76,449,601.00","           4,892.5","15,625.88","87,660,049.00","           5,626.6","15,579.58",
Barnstable Community Horace Mann Charter Public (District),04270000,"3,546,493.00",             287.4,"12,339.44","3,546,493.00",             287.4,"12,339.44",
Baystate Academy Charter Public School (District),35020000,"5,617,293.00",             386.4,"14,537.04","5,617,293.00",             386.4,"14,537.04",
Bedford,00230000,"42,272,869.00","           2,616.5","16,156.27","47,900,758.00","           2,683.2","17,852.10",
Belchertown,00240000,"29,670,130.00","           2,334.2","12,711.05","32,684,038.00","           2,509.4","13,024.64",
Bellingham,00250000,"32,156,315.00","           2,264.8","14,198.30","36,585,033.00","           2,489.5","14,695.74",
Belmont,00260000,"53,960,673.00","           4,444.3","12,141.55","61,803,711.00","           4,550.5","13,581.74",
Benjamin Banneker Charter Public (District),04200000,"7,597,056.44",             345.9,"21,964.88","7,597,056.44",             345.9,"21,964.88",
Benjamin Franklin Classical Charter Public (District),04470000,"6,024,793.79",             448.1,"13,444.97","6,024,793.79",             448.1,"13,444.97",
Bentley Academy Charter School (District),35110000,"4,121,501.00",             256.7,"16,058.58","4,121,501.00",             256.7,"16,058.58",
Berkley,00270000,"10,737,944.00",             932.9,"11,510.28","10,822,731.00",             943.9,"11,465.97",
Berkshire Arts and Technology Charter Public (District),04140000,"5,885,009.46",             348.9,"16,868.82","5,885,009.46",             348.9,"16,868.82",
Berkshire Hills,06180000,"24,617,372.00","           1,264.1","19,474.23","27,087,042.00","           1,393.2","19,442.32",
Berlin,00280000,"3,654,889.00",             191.7,"19,065.67","3,853,074.00",             202.0,"19,074.62",
Berlin-Boylston,06200000,"8,061,523.00",             587.0,"13,733.43","9,762,616.00",             637.4,"15,316.31",
Beverly,00300000,"58,544,427.00","           4,552.6","12,859.56","66,163,191.00","           4,738.1","13,964.08",
Billerica,00310000,"74,891,636.00","           4,874.6","15,363.65","81,966,761.00","           5,155.4","15,899.20",
Blackstone Valley Regional Vocational Technical,08050000,"23,488,964.00","           1,227.6","19,134.05","23,513,435.00","           1,231.6","19,091.78",
Blackstone-Millville,06220000,"22,682,330.00","           1,738.9","13,044.07","25,032,321.00","           1,874.5","13,354.13",
Blue Hills Regional Vocational Technical,08060000,"19,739,585.00",             896.0,"22,030.79","19,739,585.00",             896.0,"22,030.79",
Boston,00350000,"1,131,250,380.00","          54,447.7","20,776.83","1,365,321,554.00","          67,586.3","20,201.16",
Boston Collegiate Charter (District),04490000,"12,028,365.40",             675.7,"17,801.51","12,028,365.40",             675.7,"17,801.51",
Boston Day and Evening Academy Charter (District),04240000,"4,027,256.00",             392.4,"10,263.96","4,027,256.00",             392.4,"10,263.96",
Boston Green Academy Horace Mann Charter School (District),04110000,"8,118,884.00",             481.0,"16,878.20","8,118,884.00",             481.0,"16,878.20",
Boston Preparatory Charter Public (District),04160000,"8,288,459.00",             412.3,"20,103.08","8,288,459.00",             412.3,"20,103.08",
Boston Renaissance Charter Public (District),04810000,"18,971,697.72",             947.2,"20,028.98","18,971,697.72",             947.2,"20,028.98",
Bourne,00360000,"29,541,793.00","           1,944.8","15,190.14","34,252,071.00","           2,220.8","15,423.30",
Boxford,00380000,"12,860,665.00",             762.4,"16,868.66","13,261,148.00",             769.0,"17,244.67",
Boylston,00390000,"3,690,537.00",             298.4,"12,367.75","4,268,305.00",             329.1,"12,969.63",
Braintree,00400000,"79,909,835.00","           5,838.5","13,686.71","86,462,381.00","           5,948.3","14,535.65",
Brewster,00410000,"9,571,951.00",             490.5,"19,514.68","9,982,918.00",             520.7,"19,172.11",
Bridge Boston Charter School (District),04170000,"5,390,608.00",             269.6,"19,993.35","5,390,608.00",             269.6,"19,993.35",
Bridgewater-Raynham,06250000,"65,855,947.00","           5,365.5","12,273.96","72,851,377.00","           5,589.9","13,032.68",
Brimfield,00430000,"4,091,063.00",             290.6,"14,077.99","4,507,419.00",             300.6,"14,994.74",
Bristol County Agricultural,09100000,"8,976,849.00",             453.3,"19,803.33","8,976,849.00",             453.3,"19,803.33",
Bristol-Plymouth Regional Vocational Technical,08100000,"24,537,223.00","           1,329.8","18,451.81","24,595,673.00","           1,341.5","18,334.46",
Brockton,00440000,"241,743,187.00","          16,895.2","14,308.39","263,839,103.00","          17,994.3","14,662.37",
Brooke Charter School (District),04280000,"29,949,082.00","           1,599.8","18,720.42","29,949,082.00","           1,599.8","18,720.42",
Brookfield,00450000,"3,668,889.00",             328.0,"11,185.64","3,773,722.00",             332.8,"11,339.31",
Brookline,00460000,"146,378,463.00","           7,711.6","18,981.59","151,978,958.00","           7,782.8","19,527.54",
Burlington,00480000,"66,817,171.00","           3,511.7","19,027.02","74,614,292.00","           3,621.0","20,605.99",
Cambridge,00490000,"182,112,162.00","           6,800.7","26,778.44","212,707,498.00","           7,427.4","28,638.22",
Canton,00500000,"48,987,186.00","           3,323.1","14,741.41","53,950,364.00","           3,391.3","15,908.46",
Cape Cod Lighthouse Charter (District),04320000,"3,977,180.00",             242.9,"16,372.40","3,977,180.00",             242.9,"16,372.40",
Cape Cod Regional Vocational Technical,08150000,"15,592,665.00",             612.7,"25,449.10","15,610,198.00",             615.6,"25,357.70",
Carlisle,00510000,"11,615,587.00",             587.9,"19,757.76","12,153,317.00",             597.9,"20,326.67",
Carver,00520000,"22,836,665.00","           1,611.4","14,171.94","24,927,662.00","           1,680.4","14,834.36",
Central Berkshire,06350000,"26,534,999.00","           1,621.7","16,362.46","28,163,272.00","           1,835.5","15,343.65",
Chelmsford,00560000,"65,514,283.00","           4,978.3","13,159.97","75,606,265.00","           5,240.2","14,428.13",
Chelsea,00570000,"87,322,464.00","           6,301.5","13,857.41","109,091,340.00","           7,280.3","14,984.46",
Chesterfield-Goshen,06320000,"2,461,497.00",             142.0,"17,334.49","2,590,099.00",             160.1,"16,178.01",
Chicopee,00610000,"110,253,567.00","           7,673.3","14,368.47","116,342,992.00","           8,112.3","14,341.55",
Christa McAuliffe Charter Public (District),04180000,"6,487,600.00",             394.4,"16,449.43","6,487,600.00",             394.4,"16,449.43",
City on a Hill Charter Public School Circuit Street (District),04370000,"7,263,417.07",             278.5,"26,080.65","7,263,417.07",             278.5,"26,080.65",
City on a Hill Charter Public School Dudley Square (District),35040000,"5,105,287.97",             274.3,"18,610.77","5,105,287.97",             274.3,"18,610.77",
City on a Hill Charter Public School New Bedford (District),35070000,"3,253,162.17",             176.4,"18,443.14","3,253,162.17",             176.4,"18,443.14",
Clarksburg,00630000,"2,646,581.00",             177.0,"14,952.43","3,196,835.00",             228.3,"14,002.78",
Clinton,00640000,"23,135,764.00","           1,875.2","12,337.76","29,648,487.00","           2,193.3","13,517.75",
Codman Academy Charter Public (District),04380000,"7,316,432.18",             357.4,"20,470.24","7,316,432.18",             357.4,"20,470.24",
Cohasset,00650000,"24,189,250.00","           1,588.6","15,226.77","26,012,209.00","           1,609.1","16,165.69",
Collegiate Charter School of Lowell (District),35030000,"7,387,291.37",             640.4,"11,535.83","7,387,291.37",             640.4,"11,535.83",
Community Charter School of Cambridge (District),04360000,"6,747,082.00",             369.6,"18,255.50","6,747,082.00",             369.6,"18,255.50",
Community Day Charter Public School - Gateway (District),04260000,"4,285,741.00",             280.0,"15,308.80","4,285,741.00",             280.0,"15,308.80",
Community Day Charter Public School - Prospect (District),04400000,"6,673,697.00",             399.9,"16,686.63","6,673,697.00",             399.9,"16,686.63",
Community Day Charter Public School - R. Kingman Webster (District),04310000,"4,234,494.00",             279.9,"15,131.02","4,234,494.00",             279.9,"15,131.02",
Concord,00670000,"38,478,746.00","           2,115.7","18,187.24","41,369,542.00","           2,157.7","19,172.98",
Concord-Carlisle,06400000,"25,564,256.00","           1,273.8","20,069.29","29,342,568.00","           1,324.8","22,148.68",
Conservatory Lab Charter (District),04390000,"7,508,335.57",             443.6,"16,925.21","7,508,335.57",             443.6,"16,925.21",
Conway,00680000,"2,761,807.00",             142.9,"19,326.85","2,973,093.00",             162.7,"18,273.47",
Danvers,00710000,"52,327,813.00","           3,522.5","14,855.31","57,208,656.00","           3,632.8","15,747.81",
Dartmouth,00720000,"46,466,923.00","           3,652.0","12,723.69","50,354,508.00","           3,722.4","13,527.43",
Dedham,00730000,"49,472,912.00","           2,672.2","18,513.93","54,285,378.00","           2,764.2","19,638.73",
Deerfield,00740000,"5,960,239.00",             408.2,"14,601.27","6,416,201.00",             443.9,"14,454.16",
Dennis-Yarmouth,06450000,"52,577,368.00","           2,987.7","17,597.94","61,476,523.00","           3,542.8","17,352.52",
