2018 Advanced Course Completion Report (District)  - Female,,,,,,,,,,
District Name,District Code,#_11_12_student_female,# _advanced_students_female,%_complete_advanced_female,%_ELA_female,%_math_female,%_science_tech_female,%_history_socialscience_female,%_arts_female,%_other_subjects_female
Abby Kelley Foster Charter Public (District),04450000,          96,          87,  90.6,  44.8,  65.6,  40.6,  43.8,  40.6,  41.0
Abington,00010000,         124,         105,  84.7,  20.2,  84.7,   8.1,  21.8,   0.0,   0.0
Academy Of the Pacific Rim Charter Public (District),04120000,          46,          42,  91.3,   0.0,  91.3,  37.0,  30.4,   0.0,  30.0
Acton-Boxborough,06000000,         466,         330,  70.8,   7.7,  60.7,  34.5,  36.5,   0.0,  12.0
Adams-Cheshire,06030000,          89,          60,  67.4,  43.8,  60.7,  11.2,   7.9,   0.0,   0.0
Advanced Math and Science Academy Charter (District),04300000,         109,         104,  95.4,  37.6,  90.8,  56.0,  36.7,   3.7,  17.0
Agawam,00050000,         261,         184,  70.5,  44.8,  47.1,  52.1,  23.0,   0.0,   1.0
Amesbury,00070000,         131,         131, 100.0,  62.6,  96.9,  71.0,  78.6,  64.9,  79.0
Amherst-Pelham,06050000,         210,         162,  77.1,   0.0,  68.6,  26.7,   6.7,   0.0,  19.0
Andover,00090000,         462,         414,  89.6,  37.4,  88.1,  39.8,   8.4,   0.6,  13.0
Arlington,00100000,         352,         258,  73.3,   0.0,  67.6,  29.5,  41.2,   2.0,  13.0
Ashburnham-Westminster,06100000,         174,         109,  62.6,  29.3,  48.3,   7.5,   4.6,   3.4,   5.0
Ashland,00140000,         189,         122,  64.6,  14.3,  61.9,  16.4,  19.6,   1.6,   8.0
Assabet Valley Regional Vocational Technical,08010000,         228,         153,  67.1,  20.6,  58.3,  34.2,  17.1,   7.0,  15.0
Athol-Royalston,06150000,          85,          48,  56.5,  21.2,  45.9,  18.8,  14.1,   0.0,   0.0
Atlantis Charter (District),04910000,          63,          26,  41.3,  17.5,  31.7,  14.3,  15.9,   0.0,   0.0
Attleboro,00160000,         403,         269,  66.7,  18.1,  57.8,  20.8,  25.6,   0.0,   1.0
Auburn,00170000,         199,         125,  62.8,  16.6,  51.8,  21.1,  27.6,   1.0,   1.0
Avon,00180000,          48,          29,  60.4,  31.3,  52.1,  20.8,   0.0,   0.0,   0.0
Ayer Shirley School District,06160000,         100,          60,  60.0,  36.0,  45.0,  24.0,  27.0,   0.0,   0.0
Barnstable,00200000,         376,         215,  57.2,  19.1,  49.7,   9.0,  36.4,   0.8,  11.0
Baystate Academy Charter Public School (District),35020000,          30,          29,  96.7,  20.0,   0.0,  96.7,   0.0,   0.0,   0.0
Bedford,00230000,         211,         100,  47.4,   0.0,  46.4,  17.1,   0.0,   0.0,  10.0
Belchertown,00240000,         162,          84,  51.9,   9.9,  29.0,  22.2,  16.0,   0.0,   3.0
Bellingham,00250000,         124,          87,  70.2,  27.4,  67.7,  17.7,  10.5,   0.0,   0.0
Belmont,00260000,         328,         290,  88.4,  15.2,  80.2,  74.1,  50.9,   4.9,  13.0
Berkshire Arts and Technology Charter Public (District),04140000,          39,          32,  82.1,  61.5,  71.8,  61.5,  25.6,   0.0,  10.0
Berkshire Hills,06180000,         134,          81,  60.4,  26.9,  44.8,  22.4,   5.2,  13.4,   1.0
Berlin-Boylston,06200000,          82,          58,  70.7,  25.6,  68.3,  12.2,  26.8,   0.0,   0.0
Beverly,00300000,         322,         221,  68.6,  21.7,  61.5,  22.4,   7.8,   7.1,   2.0
Billerica,00310000,         283,         229,  80.9,   6.0,  75.6,  22.6,  30.4,   0.0,  10.0
Blackstone Valley Regional Vocational Technical,08050000,         299,         201,  67.2,  34.1,  50.2,  22.7,   5.0,   0.0,   1.0
Blackstone-Millville,06220000,         104,          65,  62.5,  40.4,  50.0,  14.4,  19.2,   1.0,   0.0
Blue Hills Regional Vocational Technical,08060000,         194,         154,  79.4,  42.8,  58.2,  45.4,  41.2,   5.2,  17.0
Boston,00350000,"       3,986","       2,245",  56.3,  19.6,  46.1,  16.7,   8.2,   1.6,  10.0
Boston Collegiate Charter (District),04490000,          93,          93, 100.0,  37.6, 100.0,  45.2,  52.7,   0.0,   0.0
Boston Day and Evening Academy Charter (District),04240000,         166,           9,   5.4,   0.0,   5.4,   0.0,   0.0,   0.0,   0.0
Boston Green Academy Horace Mann Charter School (District),04110000,          58,          43,  74.1,  37.9,  63.8,  27.6,   0.0,   0.0,   0.0
Boston Preparatory Charter Public (District),04160000,          49,          48,  98.0,  65.3,  93.9,  71.4,  38.8,   0.0,   0.0
Bourne,00360000,         116,          64,  55.2,  15.5,  54.3,  14.7,  21.6,   0.0,   0.0
Braintree,00400000,         402,         289,  71.9,   9.2,  70.4,  17.9,  31.3,   0.2,  11.0
Bridgewater-Raynham,06250000,         393,         259,  65.9,  31.0,  54.5,  28.5,  13.7,   1.8,   0.0
Bristol County Agricultural,09100000,         161,          30,  18.6,   0.0,  18.6,   0.0,   0.0,   0.0,   0.0
Bristol-Plymouth Regional Vocational Technical,08100000,         248,         138,  55.6,  31.0,  52.8,  20.6,  20.6,   0.0,  21.0
Brockton,00440000,"       1,209",         542,  44.8,  14.5,  40.3,   6.0,  10.8,   2.4,  11.0
Brookline,00460000,         495,         461,  93.1,   0.0,  86.1,  57.8,  26.9,   3.2,  14.0
Burlington,00480000,         261,         172,  65.9,  20.7,  62.1,  34.9,  18.4,   0.4,   5.0
Cambridge,00490000,         477,         301,  63.1,  22.9,  51.6,  24.5,  11.3,   3.4,   8.0
Canton,00500000,         239,         208,  87.0,  52.7,  68.6,  24.3,  34.3,   2.9,   5.0
Cape Cod Regional Vocational Technical,08150000,          92,          42,  45.7,  39.1,  34.8,  25.0,  34.8,   0.0,  25.0
Carver,00520000,         100,          71,  71.0,  23.0,  64.0,  30.0,  19.0,   0.0,   0.0
Central Berkshire,06350000,         145,          98,  67.6,  26.2,  59.3,  12.4,  14.5,   0.7,   0.0
Chelmsford,00560000,         367,         350,  95.4,  14.7,  95.4,  16.9,  35.1,   2.7,   2.0
Chelsea,00570000,         366,         215,  58.7,  20.5,  50.5,  10.1,   7.4,   1.6,   4.0
Chicopee,00610000,         554,         292,  52.7,  24.9,  40.6,  11.4,  14.6,   0.0,   5.0
City on a Hill Charter Public School Circuit Street (District),04370000,          52,          44,  84.6,  28.8,  76.9,  21.2,  46.2,   0.0,   6.0
City on a Hill Charter Public School Dudley Square (District),35040000,          65,          48,  73.8,  10.8,  72.3,  15.4,  24.6,   0.0,   5.0
City on a Hill Charter Public School New Bedford (District),35070000,          33,          14,  42.4,   0.0,  42.4,   0.0,  12.1,   0.0,   0.0
Clinton,00640000,         116,          55,  47.4,  22.4,  43.1,  13.8,   5.2,   0.0,   2.0
Codman Academy Charter Public (District),04380000,          28,           9,  32.1,  25.0,  28.6,  25.0,   0.0,   0.0,   7.0
Cohasset,00650000,          91,          81,  89.0,  42.9,  74.7,  19.8,  22.0,   0.0,   8.0
Community Charter School of Cambridge (District),04360000,          47,          44,  93.6,  23.4,  55.3,  38.3,  42.6,   0.0,  15.0
Concord-Carlisle,06400000,         347,         290,  83.6,   2.0,  78.7,  24.2,   0.9,   4.3,  10.0
Danvers,00710000,         233,         170,  73.0,  40.3,  61.4,  16.7,  44.2,   2.1,   6.0
