2018 Advanced Course Completion Report (District)  - White,,,,,,,,,,,
District Name,District Code,#_11_12_student_white,# _advanced_students_white,%_complete_advanced_white,%_ELA_white,%_math_white,%_science_tech_white,%_history_socialscience_white,%_arts_white,%_other_subjects_white,%_completedadvanced_nonwhite
Abby Kelley Foster Charter Public (District),4450000,46,38,82.6,50,67.4,50,52.2,41.3,41,17.4
Abington,10000,195,165,84.6,13.3,84.1,5.6,15.9,0,0,15.4
Academy Of the Pacific Rim Charter Public (District),4120000,7,4,57.1,0,57.1,42.9,0,0,14,42.9
Acton-Boxborough,6000000,582,348,59.8,3.4,49.3,28.7,28,0,6,40.2
Adams-Cheshire,6030000,156,99,63.5,33.3,59,7.7,9.6,0,0,36.5
Advanced Math and Science Academy Charter (District),4300000,153,143,93.5,22.9,87.6,47.7,31.4,0.7,14,6.5
Agawam,50000,496,317,63.9,31.7,42.5,45.4,21,0,0,36.1
Amesbury,70000,272,272,100,59.2,94.5,74.6,79,55.5,83,0
Amherst-Pelham,6050000,259,230,88.8,0,81.1,35.5,9.7,0,23,11.2
Andover,90000,659,568,86.2,25.8,85.1,30.8,8.3,0.5,13,13.8
Arlington,100000,486,383,78.8,0,73.3,32.3,43.4,1.4,11,21.2
Ashburnham-Westminster,6100000,324,189,58.3,22.5,47.8,10.2,4.9,2.2,3,41.7
Ashland,140000,275,179,65.1,8.7,62.2,16.4,16.7,1.1,8,34.9
Assabet Valley Regional Vocational Technical,8010000,431,302,70.1,25.8,62.9,33.9,25.1,7.2,23,29.9
Athol-Royalston,6150000,150,76,50.7,17.3,44,15.3,10.7,0,0,49.3
Atlantis Charter (District),4910000,73,35,47.9,12.3,38.4,17.8,17.8,0,0,52.1
Attleboro,160000,625,386,61.8,13.6,54.6,19.7,21,0,2,38.2
Auburn,170000,307,179,58.3,13,48.5,19.2,24.4,0.3,3,41.7
Avon,180000,36,21,58.3,30.6,52.8,19.4,0,0,0,41.7
Ayer Shirley School District,6160000,142,84,59.2,26.1,47.2,20.4,19,0,0,40.8
Barnstable,200000,536,353,65.9,20.1,57.5,13.1,41.2,0.6,10,34.1
Baystate Academy Charter Public School (District),35020000,1,,,,,,,,,100
Bedford,230000,290,143,49.3,0,48.3,15.5,0,0,8,50.7
Belchertown,240000,312,161,51.6,7.7,31.7,18.3,14.4,0,7,48.4
Bellingham,250000,256,159,62.1,17.2,60.9,14.8,9.4,0,0,37.9
Belmont,260000,445,384,86.3,13.5,78.4,71.7,50.3,3.6,13,13.7
Berkshire Arts and Technology Charter Public (District),4140000,52,40,76.9,57.7,67.3,55.8,25,0,15,23.1
Berkshire Hills,6180000,232,130,56,23.7,43.5,22.8,5.2,7.8,2,44
Berlin-Boylston,6200000,140,94,67.1,20.7,65.7,12.9,25,0,0,32.9
Beverly,300000,495,320,64.6,15.4,58.2,17,7.1,4.8,2,35.4
Billerica,310000,474,361,76.2,5.3,72.6,20.5,25.7,0,8,23.8
Blackstone Valley Regional Vocational Technical,8050000,570,368,64.6,27.5,51.4,24.4,3.5,0,2,35.4
Blackstone-Millville,6220000,182,95,52.2,26.9,45.1,10.4,14.3,0.5,0,47.8
Blue Hills Regional Vocational Technical,8060000,261,205,78.5,44.4,65.5,48.7,43.3,6.1,23,21.5
Boston,350000,"1,001",686,68.5,21.2,59.9,19.8,13.5,1.3,10,31.5
Boston Collegiate Charter (District),4490000,92,92,100,30.4,100,41.3,62,0,0,0
Boston Day and Evening Academy Charter (District),4240000,16,1,6.3,0,6.3,0,0,0,0,93.7
Boston Green Academy Horace Mann Charter School (District),4110000,6,4,66.7,33.3,50,33.3,0,0,0,33.3
Boston Preparatory Charter Public (District),4160000,4,,,,,,,,,100
