2017-18 Advanced Placement Participation - All Subjects - All Students,,,,,,,,,
District Name,District Code,test_takers_all,tests_taken_all,one_test_all,two_tests_all,three_tests_all,four_tests_all,five_ormore_tests_all,
Abington,00010000,      79,     146,      36,      21,      20,       2,       0,
Academy Of the Pacific Rim Charter Public (District),04120000,      32,      57,      15,       9,       8,       0,       0,
Acton-Boxborough,06000000,     518,"   1,156",     195,     134,     104,      53,      32,
Adams-Cheshire,06030000,      98,     144,      65,      21,      11,       1,       0,
Advanced Math and Science Academy Charter (District),04300000,     211,     352,     112,      64,      29,       5,       1,
Agawam,00050000,     231,     411,     112,      78,      26,      11,       4,
Amesbury,00070000,      84,     127,      43,      39,       2,       0,       0,
Amherst-Pelham,06050000,     152,     231,      92,      43,      15,       2,       0,
Andover,00090000,     480,     883,     199,     183,      77,      18,       3,
Arlington,00100000,     397,     908,     117,     129,      91,      42,      18,
Ashburnham-Westminster,06100000,     116,     163,      78,      29,       9,       0,       0,
Ashland,00140000,     165,     351,      74,      38,      27,      14,      12,
Assabet Valley Regional Vocational Technical,08010000,      98,     142,      67,      21,       7,       3,       0,
Athol-Royalston,06150000,      53,      83,      25,      26,       2,       0,       0,
Atlantis Charter (District),04910000,      35,      56,      18,      14,       2,       1,       0,
Attleboro,00160000,     340,     550,     185,     103,      49,       3,       0,
Auburn,00170000,     220,     327,     136,      65,      16,       2,       1,
Avon,00180000,      28,      44,      18,       5,       4,       1,       0,
Ayer Shirley School District,06160000,      78,     145,      34,      30,       8,       4,       2,
Barnstable,00200000,     448,     888,     226,      90,      78,      32,      22,
Baystate Academy Charter Public School (District),35020000,      14,      14,      14,       0,       0,       0,       0,
Bedford,00230000,     146,     271,      62,      52,      23,       9,       0,
Belchertown,00240000,      85,     135,      49,      28,       4,       2,       2,
Bellingham,00250000,      95,     162,      48,      27,      20,       0,       0,
Belmont,00260000,     502,"   1,161",     168,     137,     107,      59,      31,
Berkshire Arts and Technology Charter Public (District),04140000,      42,      78,      17,      17,       5,       3,       0,
Berkshire Hills,06180000,      82,     128,      49,      23,       7,       3,       0,
Berlin-Boylston,06200000,      58,     113,      23,      18,      14,       3,       0,
Beverly,00300000,     198,     355,     104,      51,      27,      12,       4,
Billerica,00310000,     221,     444,     104,      54,      32,      19,      12,
Blackstone Valley Regional Vocational Technical,08050000,     274,     407,     158,     101,      13,       2,       0,
Blackstone-Millville,06220000,      96,     154,      51,      34,       9,       2,       0,
Blue Hills Regional Vocational Technical,08060000,      27,      32,      22,       5,       0,       0,       0,
Boston,00350000,"   3,100","   5,447","   1,587",     915,     412,     137,      49,
Boston Collegiate Charter (District),04490000,     109,     223,      32,      47,      23,       7,       0,
Boston Green Academy Horace Mann Charter School (District),04110000,      49,      87,      17,      26,       6,       0,       0,
Boston Preparatory Charter Public (District),04160000,      67,     136,      23,      26,      11,       7,       0,
Bourne,00360000,      75,     154,      22,      28,      24,       1,       0,
Braintree,00400000,     346,     701,     150,      92,      61,      31,      12,
Bridgewater-Raynham,06250000,     290,     534,     126,     103,      44,      15,       2,
Bristol-Plymouth Regional Vocational Technical,08100000,     108,     134,      82,      26,       0,       0,       0,
Brockton,00440000,     334,     484,     231,      69,      25,       7,       2,
Brooke Charter School (District),04280000,      55,      55,      55,       0,       0,       0,       0,
Brookline,00460000,     550,"   1,162",     216,     155,     106,      55,      18,
Burlington,00480000,     240,     462,     115,      62,      39,      15,       9,
Cambridge,00490000,     362,     636,     189,      98,      53,      18,       4,
Canton,00500000,     280,     663,      87,      81,      67,      25,      20,
Cape Cod Regional Vocational Technical,08150000,      37,      49,      25,      12,       0,       0,       0,
Carver,00520000,     103,     199,      48,      27,      17,       9,       2,
Central Berkshire,06350000,      99,     167,      50,      33,      13,       3,       0,
Chelmsford,00560000,     286,     589,     116,      82,      56,      22,      10,
Chelsea,00570000,     206,     309,     120,      69,      17,       0,       0,
Chicopee,00610000,     307,     606,     134,      91,      48,      25,       9,
City on a Hill Charter Public School Circuit Street (District),04370000,      45,      72,      27,       9,       9,       0,       0,
City on a Hill Charter Public School Dudley Square (District),35040000,      31,      52,      14,      13,       4,       0,       0,
Clinton,00640000,      51,      92,      28,       9,      10,       4,       0,
Codman Academy Charter Public (District),04380000,      15,      30,       6,       4,       4,       1,       0,
Cohasset,00650000,     148,     266,      68,      45,      32,       3,       0,
Community Charter School of Cambridge (District),04360000,      74,     119,      42,      21,       9,       2,       0,
Concord-Carlisle,06400000,     313,     616,     133,      94,      59,      19,       8,
Danvers,00710000,     246,     485,     102,      81,      39,      18,       6,
Dartmouth,00720000,     241,     362,     149,      68,      19,       5,       0,
Dedham,00730000,     236,     426,     122,      61,      36,      12,       5,
Dennis-Yarmouth,06450000,     127,     257,      44,      46,      29,       7,       1,
Dighton-Rehoboth,06500000,     181,     364,      78,      52,      31,      14,       6,
Douglas,00770000,      77,     156,      29,      24,      18,       5,       1,
Dover-Sherborn,06550000,     199,     500,      48,      57,      54,      26,      14,
Dracut,00790000,     162,     274,      78,      58,      24,       2,       0,
Dudley-Charlton Reg,06580000,     305,     528,     161,      84,      45,      11,       4,
Duxbury,00820000,     330,     692,     121,     107,      62,      31,       9,
East Bridgewater,00830000,     109,     227,      35,      36,      32,       6,       0,
East Longmeadow,00870000,     166,     246,     114,      33,      11,       7,       1,
Easthampton,00860000,     133,     179,      95,      30,       8,       0,       0,
Easton,00880000,     313,     690,     124,      82,      56,      29,      22,
Edward M. Kennedy Academy for Health Careers (Horace Mann Charter) (District),04520000,      75,     103,      48,      26,       1,       0,       0,
Essex North Shore Agricultural and Technical School District,08170000,      67,      76,      58,       9,       0,       0,       0,
Everett,00930000,     295,     490,     171,      70,      40,      11,       3,
Excel Academy Charter (District),04100000,     123,     189,      74,      33,      15,       1,       0,
Fairhaven,00940000,     112,     177,      69,      26,      13,       3,       1,
Fall River,00950000,     242,     501,      91,      71,      56,      20,       4,
Falmouth,00960000,     121,     241,      48,      41,      21,       7,       4,
Fitchburg,00970000,     270,     515,     130,      65,      51,      18,       6,
Foxborough,00990000,     204,     432,      81,      59,      35,      20,       9,
Foxborough Regional Charter (District),04460000,     129,     201,      75,      37,      16,       1,       0,
Framingham,01000000,     360,     723,     166,      97,      49,      29,      19,
Francis W. Parker Charter Essential (District),04780000,       8,,,,,,,
Franklin,01010000,     468,     932,     204,     142,      66,      38,      18,
Franklin County Regional Vocational Technical,08180000,      58,      68,      49,       8,       1,       0,       0,
Freetown-Lakeville,06650000,     199,     354,      82,      86,      26,       3,       2,
Frontier,06700000,      94,     156,      50,      28,      14,       2,       0,
Gardner,01030000,     113,     218,      64,      21,      13,       6,       9,
Gateway,06720000,      30,      58,      11,      11,       7,       1,       0,
Georgetown,01050000,      55,      76,      38,      14,       2,       1,       0,
Gill-Montague,06740000,      14,      20,       8,       6,       0,       0,       0,
Gloucester,01070000,     128,     237,      61,      41,      14,       9,       3,
Grafton,01100000,     190,     336,      89,      62,      36,       1,       2,
Granby,01110000,      35,      50,      23,       9,       3,       0,       0,
Greater Fall River Regional Vocational Technical,08210000,      22,      30,      16,       4,       2,       0,       0,
Greater Lawrence Regional Vocational Technical,08230000,       9,,,,,,,
Greater Lowell Regional Vocational Technical,08280000,      89,      89,      89,       0,       0,       0,       0,
Greater New Bedford Regional Vocational Technical,08250000,      80,     109,      60,      11,       9,       0,       0,
Greenfield,01140000,      61,     131,      18,      25,      12,       4,       2,
Groton-Dunstable,06730000,     194,     370,      74,      77,      33,       7,       3,
Hadley,01170000,      42,      69,      25,      10,       4,       3,       0,
Hamilton-Wenham,06750000,     175,     382,      71,      40,      35,      23,       6,
Hampden Charter School of Science East (District),04990000,      79,     101,      59,      18,       2,       0,       0,
Hampden-Wilbraham,06800000,     180,     267,     111,      53,      14,       2,       0,
Hampshire,06830000,      64,     112,      30,      22,      10,       2,       0,
Hanover,01220000,     257,     450,     135,      75,      29,      12,       6,
Harvard,01250000,     141,     264,      75,      25,      28,      10,       3,
Hatfield,01270000,      23,      33,      13,      10,       0,       0,       0,
Haverhill,01280000,     263,     457,     143,      72,      28,      15,       5,
Hingham,01310000,     266,     484,     124,      86,      38,      16,       2,
Holbrook,01330000,      33,      69,       9,      13,      10,       1,       0,
Holliston,01360000,     273,     446,     135,     105,      31,       2,       0,
Holyoke,01370000,     205,     420,      71,      70,      47,      17,       0,
Hopedale,01380000,      78,     119,      43,      29,       6,       0,       0,
Hopkinton,01390000,     486,"   1,105",     183,     119,      85,      72,      27,
Hudson,01410000,     179,     304,      92,      63,      13,       9,       2,
Hull,01420000,      49,      97,      23,      10,      10,       6,       0,
Innovation Academy Charter (District),04350000,       6,,,,,,,
Ipswich,01440000,     103,     204,      38,      35,      24,       6,       0,
KIPP Academy Lynn Charter (District),04290000,     208,     336,     120,      52,      32,       4,       0,
King Philip,06900000,     378,     784,     139,     125,      75,      28,      11,
Lawrence,01490000,     244,     294,     203,      34,       5,       2,       0,
Lee,01500000,      42,      70,      22,      13,       6,       1,       0,
Leicester,01510000,     106,     148,      69,      32,       5,       0,       0,
Lenox,01520000,      58,     106,      29,      13,      13,       3,       0,
Leominster,01530000,     223,     492,      88,      57,      39,      27,      12,
Lexington,01550000,     915,"   1,732",     434,     276,     120,      45,      40,
Lincoln-Sudbury,06950000,     258,     406,     155,      66,      29,       8,       0,
Littleton,01580000,      98,     182,      42,      32,      20,       4,       0,
Longmeadow,01590000,     227,     525,      74,      71,      43,      21,      18,
Lowell,01600000,     383,     691,     219,      78,      46,      26,      14,
Ludlow,01610000,     145,     290,      71,      30,      26,      10,       8,
Lunenburg,01620000,     122,     214,      44,      66,      10,       2,       0,
Lynn,01630000,     442,     823,     237,      98,      59,      30,      18,
Lynnfield,01640000,     200,     451,      63,      60,      48,      22,       7,
MATCH Charter Public School (District),04690000,     101,     168,      60,      23,      12,       4,       2,
Ma Academy for Math and Science,04680000,      44,      86,      22,       7,      12,       1,       2,
Malden,01650000,     421,     826,     191,     116,      68,      35,      11,
Manchester Essex Regional,06980000,     145,     325,      49,      48,      21,      19,       8,
Mansfield,01670000,     255,     453,     112,     100,      32,      10,       1,
Marblehead,01680000,     314,     583,     156,      87,      43,      16,      12,
Marlborough,01700000,     259,     532,     114,      68,      41,      21,      15,
Marshfield,01710000,     253,     508,      91,      92,      52,      13,       5,
Martha's Vineyard,07000000,     139,     257,      70,      41,      15,       9,       4,
Masconomet,07050000,     230,     442,      98,      75,      41,      11,       5,
Mashpee,01720000,     134,     225,      79,      28,      19,       7,       1,
Massachusetts Virtual Academy at Greenfield Commonwealth Virtual District,39010000,      10,      13,       7,       3,       0,       0,       0,
Maynard,01740000,     107,     168,      55,      44,       7,       1,       0,
Medfield,01750000,     303,     591,     126,      95,      56,      23,       3,
Medford,01760000,     172,     262,     104,      50,      14,       4,       0,
Medway,01770000,     274,     558,     128,      66,      43,      21,      16,
