2017-18 Advanced Placement Participation - All Subjects - Students w/ Disabilities,,,,,,,,,
District Name,District Code,test_takers_disabled,tests_taken_disabled,one_test_disabled,two_tests_disabled,three_tests_disabled,four_tests_disabled,five_ormore_tests_disabled,
Academy Of the Pacific Rim Charter Public (District),04120000,       1,,,,,,,
Acton-Boxborough,06000000,       9,,,,,,,
Adams-Cheshire,06030000,       2,,,,,,,
Advanced Math and Science Academy Charter (District),04300000,       2,,,,,,,
Amherst-Pelham,06050000,       3,,,,,,,
Andover,00090000,       8,,,,,,,
Arlington,00100000,      12,      15,      10,       1,       1,       0,       0,
Ashburnham-Westminster,06100000,       1,,,,,,,
Ashland,00140000,       3,,,,,,,
Assabet Valley Regional Vocational Technical,08010000,       5,,,,,,,
Avon,00180000,       1,,,,,,,
Ayer Shirley School District,06160000,       1,,,,,,,
Barnstable,00200000,       2,,,,,,,
Bedford,00230000,       3,,,,,,,
Bellingham,00250000,       2,,,,,,,
Belmont,00260000,       3,,,,,,,
Berkshire Arts and Technology Charter Public (District),04140000,       5,,,,,,,
Beverly,00300000,       4,,,,,,,
Blackstone Valley Regional Vocational Technical,08050000,       3,,,,,,,
Boston,00350000,      84,     117,      57,      21,       6,       0,       0,
Boston Collegiate Charter (District),04490000,       7,,,,,,,
Boston Green Academy Horace Mann Charter School (District),04110000,       4,,,,,,,
Boston Preparatory Charter Public (District),04160000,       6,,,,,,,
Braintree,00400000,       5,,,,,,,
Bristol-Plymouth Regional Vocational Technical,08100000,       2,,,,,,,
Brockton,00440000,       2,,,,,,,
Brooke Charter School (District),04280000,       1,,,,,,,
Brookline,00460000,      14,      25,       7,       4,       2,       1,       0,
Cambridge,00490000,       6,,,,,,,
Canton,00500000,       3,,,,,,,
Cape Cod Regional Vocational Technical,08150000,       1,,,,,,,
Carver,00520000,       1,,,,,,,
Central Berkshire,06350000,       1,,,,,,,
Chelmsford,00560000,       2,,,,,,,
Chelsea,00570000,       2,,,,,,,
Chicopee,00610000,       1,,,,,,,
City on a Hill Charter Public School Circuit Street (District),04370000,       3,,,,,,,
City on a Hill Charter Public School Dudley Square (District),35040000,       1,,,,,,,
Codman Academy Charter Public (District),04380000,       1,,,,,,,
Cohasset,00650000,       2,,,,,,,
Community Charter School of Cambridge (District),04360000,       8,,,,,,,
Concord-Carlisle,06400000,       8,,,,,,,
Danvers,00710000,       5,,,,,,,
Dartmouth,00720000,       5,,,,,,,
Dedham,00730000,       1,,,,,,,
Dighton-Rehoboth,06500000,       2,,,,,,,
Douglas,00770000,       2,,,,,,,
Dover-Sherborn,06550000,       3,,,,,,,
Duxbury,00820000,       1,,,,,,,
East Bridgewater,00830000,       1,,,,,,,
East Longmeadow,00870000,       7,,,,,,,
Easton,00880000,       9,,,,,,,
Edward M. Kennedy Academy for Health Careers (Horace Mann Charter) (District),04520000,       4,,,,,,,
Everett,00930000,       1,,,,,,,
Excel Academy Charter (District),04100000,       4,,,,,,,
Fairhaven,00940000,       3,,,,,,,
Fitchburg,00970000,       4,,,,,,,
Foxborough,00990000,       3,,,,,,,
Foxborough Regional Charter (District),04460000,       1,,,,,,,
Framingham,01000000,       8,,,,,,,
Francis W. Parker Charter Essential (District),04780000,       1,,,,,,,
Franklin,01010000,       9,,,,,,,
Franklin County Regional Vocational Technical,08180000,       5,,,,,,,
Freetown-Lakeville,06650000,       2,,,,,,,
Frontier,06700000,       2,,,,,,,
Gardner,01030000,       1,,,,,,,
Georgetown,01050000,       1,,,,,,,
Gloucester,01070000,       3,,,,,,,
Grafton,01100000,       1,,,,,,,
Greater Lawrence Regional Vocational Technical,08230000,       1,,,,,,,
Greater Lowell Regional Vocational Technical,08280000,       2,,,,,,,
Groton-Dunstable,06730000,       2,,,,,,,
Hamilton-Wenham,06750000,       6,,,,,,,
Hampden Charter School of Science East (District),04990000,       1,,,,,,,
Hampshire,06830000,       2,,,,,,,
Hanover,01220000,       5,,,,,,,
Harvard,01250000,       1,,,,,,,
Hatfield,01270000,       1,,,,,,,
Haverhill,01280000,       1,,,,,,,
Holliston,01360000,       3,,,,,,,
Holyoke,01370000,       6,,,,,,,
Hopedale,01380000,       1,,,,,,,
Hopkinton,01390000,      14,      17,      11,       3,       0,       0,       0,
Hudson,01410000,       4,,,,,,,
Hull,01420000,       2,,,,,,,
Innovation Academy Charter (District),04350000,       1,,,,,,,
Ipswich,01440000,       1,,,,,,,
KIPP Academy Lynn Charter (District),04290000,       8,,,,,,,
King Philip,06900000,       5,,,,,,,
Lawrence,01490000,       4,,,,,,,
Leominster,01530000,       2,,,,,,,
Lexington,01550000,      15,      18,      12,       3,       0,       0,       0,
Lincoln-Sudbury,06950000,       5,,,,,,,
Littleton,01580000,       1,,,,,,,
Longmeadow,01590000,      10,      15,       7,       2,       0,       1,       0,
Lowell,01600000,       2,,,,,,,
Lunenburg,01620000,       2,,,,,,,
Lynn,01630000,       3,,,,,,,
Lynnfield,01640000,       7,,,,,,,
MATCH Charter Public School (District),04690000,       3,,,,,,,
Malden,01650000,       6,,,,,,,
Manchester Essex Regional,06980000,       3,,,,,,,
Marblehead,01680000,       5,,,,,,,
Marlborough,01700000,       2,,,,,,,
Marshfield,01710000,       3,,,,,,,
Martha's Vineyard,07000000,       2,,,,,,,
Masconomet,07050000,       1,,,,,,,
Massachusetts Virtual Academy at Greenfield Commonwealth Virtual District,39010000,       1,,,,,,,
Maynard,01740000,       1,,,,,,,
Medfield,01750000,      11,      17,       7,       2,       2,       0,       0,
Medford,01760000,       4,,,,,,,
Medway,01770000,       3,,,,,,,
Melrose,01780000,       4,,,,,,,
Mendon-Upton,07100000,       4,,,,,,,
Middleborough,01820000,       1,,,,,,,
Milford,01850000,       1,,,,,,,
Millbury,01860000,       1,,,,,,,
Millis,01870000,       1,,,,,,,
Milton,01890000,       5,,,,,,,
Minuteman Regional Vocational Technical,08300000,       6,,,,,,,
Mohawk Trail,07170000,       2,,,,,,,
Monomoy Regional School District,07120000,       1,,,,,,,
Monson,01910000,       1,,,,,,,
Mount Greylock,07150000,       2,,,,,,,
Nantucket,01970000,       5,,,,,,,
Narragansett,07200000,       1,,,,,,,
Nashoba,07250000,       2,,,,,,,
Nashoba Valley Regional Vocational Technical,08520000,      16,      21,      13,       1,       2,       0,       0,
Natick,01980000,       8,,,,,,,
Nauset,06600000,       1,,,,,,,
