2017-18 Advanced Placement Participation - All Subjects - Female,,,,,,,,,
District Name,District Code,test_takers_female,tests_taken_female,one_test_female,two_tests_female,three_tests_female,four_tests_female,five_ormore_tests_female,
Abington,00010000,      58,     114,      23,      16,      17,       2,       0,
Academy Of the Pacific Rim Charter Public (District),04120000,      22,      40,      10,       6,       6,       0,       0,
Acton-Boxborough,06000000,     266,     578,     104,      68,      55,      25,      14,
Adams-Cheshire,06030000,      63,      90,      44,      12,       6,       1,       0,
Advanced Math and Science Academy Charter (District),04300000,     107,     181,      53,      36,      16,       2,       0,
Agawam,00050000,     137,     249,      64,      46,      17,       8,       2,
Amesbury,00070000,      45,      68,      23,      21,       1,       0,       0,
Amherst-Pelham,06050000,      68,     101,      41,      22,       4,       1,       0,
Andover,00090000,     298,     509,     133,     126,      32,       7,       0,
Arlington,00100000,     216,     521,      52,      75,      50,      28,      11,
Ashburnham-Westminster,06100000,      72,      95,      52,      17,       3,       0,       0,
Ashland,00140000,      91,     197,      36,      25,      17,       7,       6,
Assabet Valley Regional Vocational Technical,08010000,      51,      77,      30,      17,       3,       1,       0,
Athol-Royalston,06150000,      33,      53,      15,      16,       2,       0,       0,
Atlantis Charter (District),04910000,      25,      39,      14,       9,       1,       1,       0,
Attleboro,00160000,     196,     324,     101,      64,      29,       2,       0,
Auburn,00170000,     121,     186,      68,      44,       7,       1,       1,
Avon,00180000,      18,      31,      10,       4,       3,       1,       0,
Ayer Shirley School District,06160000,      48,      93,      19,      18,       7,       3,       1,
Barnstable,00200000,     259,     485,     138,      56,      38,      18,       9,
Baystate Academy Charter Public School (District),35020000,       5,,,,,,,
Bedford,00230000,      70,     133,      31,      23,       8,       8,       0,
Belchertown,00240000,      40,      64,      21,      16,       2,       0,       1,
Bellingham,00250000,      57,      92,      32,      15,      10,       0,       0,
Belmont,00260000,     268,     586,     102,      73,      52,      25,      16,
Berkshire Arts and Technology Charter Public (District),04140000,      25,      46,       8,      14,       2,       1,       0,
Berkshire Hills,06180000,      42,      61,      26,      13,       3,       0,       0,
Berlin-Boylston,06200000,      35,      67,      12,      14,       9,       0,       0,
Beverly,00300000,     139,     239,      75,      38,      17,       8,       1,
Billerica,00310000,     128,     255,      61,      29,      21,      12,       5,
Blackstone Valley Regional Vocational Technical,08050000,     140,     207,      81,      52,       6,       1,       0,
Blackstone-Millville,06220000,      69,     112,      36,      24,       8,       1,       0,
Blue Hills Regional Vocational Technical,08060000,      10,      12,       8,       2,       0,       0,       0,
Boston,00350000,"   1,800","   3,140",     918,     546,     234,      82,      20,
Boston Collegiate Charter (District),04490000,      72,     152,      18,      32,      18,       4,       0,
Boston Green Academy Horace Mann Charter School (District),04110000,      30,      52,      11,      16,       3,       0,       0,
Boston Preparatory Charter Public (District),04160000,      33,      71,      10,      13,       5,       5,       0,
Bourne,00360000,      40,      86,       9,      16,      15,       0,       0,
Braintree,00400000,     187,     374,      83,      49,      34,      14,       7,
Bridgewater-Raynham,06250000,     186,     336,      81,      69,      27,       9,       0,
Bristol-Plymouth Regional Vocational Technical,08100000,      55,      71,      39,      16,       0,       0,       0,
Brockton,00440000,     205,     287,     141,      48,      14,       2,       0,
Brooke Charter School (District),04280000,      34,      34,      34,       0,       0,       0,       0,
Brookline,00460000,     291,     621,     107,      95,      49,      29,      11,
Burlington,00480000,     148,     277,      71,      41,      25,       7,       4,
Cambridge,00490000,     186,     300,     104,      56,      21,       4,       1,
Canton,00500000,     157,     354,      52,      45,      39,      15,       6,
Cape Cod Regional Vocational Technical,08150000,      20,      25,      15,       5,       0,       0,       0,
Carver,00520000,      56,     102,      25,      19,       9,       3,       0,
Central Berkshire,06350000,      62,     104,      31,      21,       9,       1,       0,
Chelmsford,00560000,     173,     347,      70,      53,      33,      15,       2,
Chelsea,00570000,     134,     203,      75,      49,      10,       0,       0,
Chicopee,00610000,     189,     370,      80,      60,      32,      12,       5,
City on a Hill Charter Public School Circuit Street (District),04370000,      33,      57,      17,       8,       8,       0,       0,
City on a Hill Charter Public School Dudley Square (District),35040000,      19,      34,       7,       9,       3,       0,       0,
Clinton,00640000,      33,      61,      16,       8,       7,       2,       0,
Codman Academy Charter Public (District),04380000,       7,,,,,,,
Cohasset,00650000,      71,     122,      38,      16,      16,       1,       0,
Community Charter School of Cambridge (District),04360000,      40,      62,      25,      10,       3,       2,       0,
Concord-Carlisle,06400000,     183,     343,      84,      56,      29,      12,       2,
Danvers,00710000,     147,     297,      55,      53,      24,      12,       3,
Dartmouth,00720000,     141,     208,      83,      49,       9,       0,       0,
Dedham,00730000,     137,     254,      65,      40,      21,       9,       2,
Dennis-Yarmouth,06450000,      79,     160,      24,      33,      18,       4,       0,
Dighton-Rehoboth,06500000,     113,     226,      49,      33,      18,       9,       4,
Douglas,00770000,      46,      86,      19,      17,       8,       1,       1,
Dover-Sherborn,06550000,     118,     301,      27,      35,      30,      17,       9,
Dracut,00790000,     105,     178,      49,      40,      15,       1,       0,
Dudley-Charlton Reg,06580000,     164,     277,      86,      49,      23,       6,       0,
Duxbury,00820000,     187,     380,      68,      64,      39,      13,       3,
East Bridgewater,00830000,      85,     181,      25,      30,      24,       6,       0,
East Longmeadow,00870000,      89,     123,      67,      14,       5,       2,       1,
Easthampton,00860000,      78,     104,      56,      18,       4,       0,       0,
Easton,00880000,     171,     364,      76,      37,      31,      16,      11,
