2017-18 Advanced Placement Participation - All Subjects - Hispanic/Latino,,,,,,,,
District Name,District Code,test_takers_hispanic,tests_taken_hispanic,one_test_hispanic,two_tests_hispanic,three_tests_hispanic,four_tests_hispanic,five_ormore_tests_hispanic
Abington,10000,4,,,,,,
Academy Of the Pacific Rim Charter Public (District),4120000,8,,,,,,
Acton-Boxborough,6000000,8,,,,,,
Adams-Cheshire,6030000,3,,,,,,
Advanced Math and Science Academy Charter (District),4300000,5,,,,,,
Agawam,50000,8,,,,,,
Amesbury,70000,2,,,,,,
Amherst-Pelham,6050000,12,17,9,2,0,1,0
Andover,90000,10,14,8,1,0,1,0
Arlington,100000,17,39,6,6,2,1,2
Ashburnham-Westminster,6100000,2,,,,,,
Ashland,140000,7,,,,,,
Assabet Valley Regional Vocational Technical,8010000,11,15,7,4,0,0,0
Athol-Royalston,6150000,3,,,,,,
Atlantis Charter (District),4910000,3,,,,,,
Attleboro,160000,24,33,17,5,2,0,0
Auburn,170000,7,,,,,,
Avon,180000,1,,,,,,
Ayer Shirley School District,6160000,5,,,,,,
Barnstable,200000,17,34,9,2,4,1,1
Baystate Academy Charter Public School (District),35020000,8,,,,,,
Bedford,230000,10,16,7,1,1,1,0
Bellingham,250000,8,,,,,,
Belmont,260000,9,,,,,,
Berkshire Arts and Technology Charter Public (District),4140000,1,,,,,,
Berkshire Hills,6180000,3,,,,,,
Beverly,300000,7,,,,,,
Billerica,310000,3,,,,,,
Blackstone Valley Regional Vocational Technical,8050000,10,17,6,2,1,1,0
Blackstone-Millville,6220000,4,,,,,,
Blue Hills Regional Vocational Technical,8060000,2,,,,,,
Boston,350000,780,"1,200",474,211,80,11,4
Boston Collegiate Charter (District),4490000,14,27,3,9,2,0,0
Boston Green Academy Horace Mann Charter School (District),4110000,15,28,4,9,2,0,0
Boston Preparatory Charter Public (District),4160000,12,25,5,3,2,2,0
Bourne,360000,3,,,,,,
Braintree,400000,11,18,6,4,0,1,0
Bristol-Plymouth Regional Vocational Technical,8100000,3,,,,,,
Brockton,440000,34,45,24,9,1,0,0
Brooke Charter School (District),4280000,22,22,22,0,0,0,0
Brookline,460000,42,74,20,13,8,1,0
Burlington,480000,9,,,,,,
Cambridge,490000,23,35,15,5,2,1,0
Canton,500000,6,,,,,,
Cape Cod Regional Vocational Technical,8150000,2,,,,,,
Carver,520000,1,,,,,,
Central Berkshire,6350000,2,,,,,,
Chelmsford,560000,7,,,,,,
Chelsea,570000,158,233,95,51,12,0,0
Chicopee,610000,47,93,23,12,5,5,2
City on a Hill Charter Public School Circuit Street (District),4370000,18,33,7,7,4,0,0
City on a Hill Charter Public School Dudley Square (District),35040000,15,29,4,8,3,0,0
Clinton,640000,12,20,7,2,3,0,0
Codman Academy Charter Public (District),4380000,7,,,,,,
Cohasset,650000,1,,,,,,
Community Charter School of Cambridge (District),4360000,15,27,6,7,1,1,0
Concord-Carlisle,6400000,12,26,5,3,2,1,1
Danvers,710000,8,,,,,,
Dartmouth,720000,5,,,,,,
Dedham,730000,15,23,10,3,1,1,0
Dennis-Yarmouth,6450000,9,,,,,,
Dighton-Rehoboth,6500000,5,,,,,,
Douglas,770000,1,,,,,,
Dover-Sherborn,6550000,3,,,,,,
Dracut,790000,5,,,,,,
Dudley-Charlton Reg,6580000,11,20,6,2,2,1,0
Duxbury,820000,5,,,,,,
East Bridgewater,830000,1,,,,,,
East Longmeadow,870000,7,,,,,,
Easthampton,860000,10,13,7,3,0,0,0
Easton,880000,10,30,2,3,2,0,3
Edward M. Kennedy Academy for Health Careers (Horace Mann Charter) (District),4520000,47,59,35,12,0,0,0
Essex North Shore Agricultural and Technical School District,8170000,7,,,,,,
Everett,930000,119,175,81,23,13,1,1
Excel Academy Charter (District),4100000,96,154,53,29,13,1,0
Fairhaven,940000,3,,,,,,
Fall River,950000,25,51,13,4,3,4,1
Falmouth,960000,4,,,,,,
Fitchburg,970000,100,190,47,27,18,5,3
Foxborough,990000,3,,,,,,
