2017-18 Advanced Placement Participation - All Subjects - Economically Disadvantaged,,,,,,,,,
District Name,District Code,test_takers_lowincome,tests_taken_lowincome,one_test_lowincome,two_tests_lowincome,three_tests_lowincome,four_tests_lowincome,five_ormore_tests_lowincome,
Abington,00010000,      12,      26,       4,       2,       6,       0,       0,
Academy Of the Pacific Rim Charter Public (District),04120000,      12,      19,       7,       3,       2,       0,       0,
Acton-Boxborough,06000000,      16,      34,       5,       7,       1,       3,       0,
Adams-Cheshire,06030000,      19,      27,      14,       2,       3,       0,       0,
Advanced Math and Science Academy Charter (District),04300000,      12,      19,       7,       4,       0,       1,       0,
Agawam,00050000,      48,      82,      25,      15,       5,       3,       0,
Amesbury,00070000,       6,,,,,,,
Amherst-Pelham,06050000,      17,      27,      10,       4,       3,       0,       0,
Andover,00090000,      15,      25,       6,       8,       1,       0,       0,
Arlington,00100000,      21,      48,       8,       6,       3,       2,       2,
Ashburnham-Westminster,06100000,       9,,,,,,,
Ashland,00140000,       7,,,,,,,
Assabet Valley Regional Vocational Technical,08010000,      18,      23,      14,       3,       1,       0,       0,
Athol-Royalston,06150000,      19,      27,      11,       8,       0,       0,       0,
Atlantis Charter (District),04910000,       9,,,,,,,
Attleboro,00160000,      39,      65,      20,      13,       5,       1,       0,
Auburn,00170000,      15,      23,       8,       6,       1,       0,       0,
Avon,00180000,       6,,,,,,,
Ayer Shirley School District,06160000,      10,      16,       6,       2,       2,       0,       0,
Barnstable,00200000,      61,     101,      36,      18,       4,       1,       2,
Baystate Academy Charter Public School (District),35020000,       9,,,,,,,
Bedford,00230000,       6,,,,,,,
Belchertown,00240000,       6,,,,,,,
Bellingham,00250000,      11,      21,       5,       2,       4,       0,       0,
Belmont,00260000,      24,      49,      11,       5,       4,       4,       0,
Berkshire Arts and Technology Charter Public (District),04140000,      17,      32,       8,       5,       2,       2,       0,
Berkshire Hills,06180000,       7,,,,,,,
Berlin-Boylston,06200000,       4,,,,,,,
Beverly,00300000,      18,      27,      12,       4,       1,       1,       0,
Billerica,00310000,      16,      26,       9,       5,       1,       1,       0,
Blackstone Valley Regional Vocational Technical,08050000,      37,      55,      23,      11,       2,       1,       0,
Blackstone-Millville,06220000,       9,,,,,,,
Blue Hills Regional Vocational Technical,08060000,       4,,,,,,,
Boston,00350000,"   1,227","   2,015",     671,     373,     138,      41,       4,
Boston Collegiate Charter (District),04490000,      19,      32,       9,       7,       3,       0,       0,
Boston Green Academy Horace Mann Charter School (District),04110000,      33,      54,      13,      19,       1,       0,       0,
Boston Preparatory Charter Public (District),04160000,      24,      46,      10,       8,       4,       2,       0,
Bourne,00360000,      12,      22,       5,       4,       3,       0,       0,
Braintree,00400000,      30,      49,      19,       6,       3,       1,       1,
Bridgewater-Raynham,06250000,      23,      46,       8,       9,       4,       2,       0,
Bristol-Plymouth Regional Vocational Technical,08100000,      19,      23,      15,       4,       0,       0,       0,
Brockton,00440000,     117,     170,      79,      27,       9,       1,       1,
Brooke Charter School (District),04280000,      31,      31,      31,       0,       0,       0,       0,
Brookline,00460000,      35,      86,      13,      12,       3,       2,       5,
Burlington,00480000,      13,      19,       9,       2,       2,       0,       0,
Cambridge,00490000,      55,      93,      32,      12,       8,       2,       1,
Canton,00500000,      21,      37,      12,       4,       3,       2,       0,
Cape Cod Regional Vocational Technical,08150000,      15,      19,      11,       4,       0,       0,       0,
Carver,00520000,      14,      24,       8,       3,       2,       1,       0,
