2017-18 SAT Performance Report - Asian,,,,,
District Name,District Code,sat_tests_taken_asian,reading_writing_asian,math_asian,math_asian
Abby Kelley Foster Charter Public (District),04450000,       7,,,
Abington,00010000,       4,,,
Acton-Boxborough,06000000,     161,687,,735
Adams-Cheshire,06030000,       1,,,
Advanced Math and Science Academy Charter (District),04300000,      31,652,,713
Agawam,00050000,       4,,,
Amesbury,00070000,       2,,,
Amherst-Pelham,06050000,      26,618,,645
Andover,00090000,      84,628,,668
Arlington,00100000,      51,606,,617
Ashburnham-Westminster,06100000,       2,,,
Ashland,00140000,      22,610,,677
Atlantis Charter (District),04910000,       4,,,
Attleboro,00160000,      23,540,,540
Auburn,00170000,      10,511,,556
Avon,00180000,       3,,,
Ayer Shirley School District,06160000,       3,,,
Barnstable,00200000,      12,576,,571
Bedford,00230000,      25,648,,695
Belchertown,00240000,       3,,,
Bellingham,00250000,       5,,,
Belmont,00260000,      79,637,,695
Berkshire Arts and Technology Charter Public (District),04140000,       1,,,
Berkshire Hills,06180000,       3,,,
Berlin-Boylston,06200000,       2,,,
Beverly,00300000,       9,,,
Billerica,00310000,      26,535,,566
Blackstone Valley Regional Vocational Technical,08050000,       9,,,
Blackstone-Millville,06220000,       2,,,
Blue Hills Regional Vocational Technical,08060000,       1,,,
Boston,00350000,     621,539,,605
Boston Collegiate Charter (District),04490000,       4,,,
Boston Day and Evening Academy Charter (District),04240000,       1,,,
Boston Green Academy Horace Mann Charter School (District),04110000,       3,,,
Boston Preparatory Charter Public (District),04160000,       1,,,
Bourne,00360000,       1,,,
Braintree,00400000,      80,582,,634
Bridgewater-Raynham,06250000,       9,,,
Bristol-Plymouth Regional Vocational Technical,08100000,       5,,,
Brockton,00440000,      31,515,,524
Brookline,00460000,      90,625,,684
Burlington,00480000,      58,580,,609
Cambridge,00490000,      87,582,,606
Canton,00500000,      35,608,,642
Cape Cod Regional Vocational Technical,08150000,       2,,,
Central Berkshire,06350000,       2,,,
Chelmsford,00560000,      56,603,,643
Chelsea,00570000,      10,474,,505
Chicopee,00610000,      19,561,,556
City on a Hill Charter Public School Dudley Square (District),35040000,       2,,,
Clinton,00640000,       4,,,
Cohasset,00650000,       1,,,
Community Charter School of Cambridge (District),04360000,       3,,,
Concord-Carlisle,06400000,      27,634,,700
Danvers,00710000,       9,,,
Dartmouth,00720000,       1,,,
Dedham,00730000,      15,604,,625
Dennis-Yarmouth,06450000,      11,566,,599
Dover-Sherborn,06550000,      17,648,,705
Dracut,00790000,      16,543,,584
Dudley-Charlton Reg,06580000,      11,581,,643
Duxbury,00820000,       5,,,
East Longmeadow,00870000,      13,548,,590
Easthampton,00860000,       4,,,
Easton,00880000,      15,582,,672
Edward M. Kennedy Academy for Health Careers (Horace Mann Charter) (District),04520000,       5,,,
Essex North Shore Agricultural and Technical School District,08170000,       7,,,
Everett,00930000,      32,515,,546
Excel Academy Charter (District),04100000,       4,,,
Fairhaven,00940000,       4,,,
Fall River,00950000,      28,484,,512
Falmouth,00960000,      11,554,,584
Fitchburg,00970000,      25,471,,486
Foxborough,00990000,       6,,,
Foxborough Regional Charter (District),04460000,       9,,,
Framingham,01000000,      43,589,,643
Francis W. Parker Charter Essential (District),04780000,       2,,,
Franklin,01010000,      30,644,,653
Freetown-Lakeville,06650000,       3,,,
Frontier,06700000,       1,,,
Gardner,01030000,       4,,,
Georgetown,01050000,       1,,,
Global Learning Charter Public (District),04960000,       1,,,
Gloucester,01070000,       3,,,
Grafton,01100000,      36,618,,681
Granby,01110000,       3,,,
Greater Fall River Regional Vocational Technical,08210000,       4,,,
Greater Lawrence Regional Vocational Technical,08230000,       2,,,
Greater Lowell Regional Vocational Technical,08280000,      32,466,,507
Greater New Bedford Regional Vocational Technical,08250000,       2,,,
Greenfield,01140000,       5,,,
Groton-Dunstable,06730000,      18,598,,666
Hadley,01170000,       1,,,
Hamilton-Wenham,06750000,       7,,,
Hampden Charter School of Science East (District),04990000,       2,,,
Hampden-Wilbraham,06800000,       8,,,
Hanover,01220000,       6,,,
Harvard,01250000,       9,,,
Hatfield,01270000,       2,,,
Haverhill,01280000,       8,,,
Hingham,01310000,       8,,,
Holbrook,01330000,       2,,,
Holliston,01360000,      11,613,,679
Holyoke,01370000,       1,,,
Hopedale,01380000,       1,,,
Hopkinton,01390000,      29,640,,702
Hudson,01410000,       7,,,
Hull,01420000,       1,,,
Innovation Academy Charter (District),04350000,       9,,,
Ipswich,01440000,       5,,,
KIPP Academy Lynn Charter (District),04290000,       1,,,
King Philip,06900000,       7,,,
Lawrence,01490000,      20,532,,590
Leicester,01510000,       2,,,
Lenox,01520000,       1,,,
Leominster,01530000,      25,539,,540
Lexington,01550000,     233,662,,721
Lincoln-Sudbury,06950000,      30,660,,704
Littleton,01580000,       7,,,
Longmeadow,01590000,      25,643,,674
Lowell,01600000,     261,509,,536
Lunenburg,01620000,       8,,,
Lynn,01630000,      92,502,,521
Lynnfield,01640000,      11,594,,606
Ma Academy for Math and Science,04680000,      25,700,,764
Malden,01650000,     164,522,,596
Manchester Essex Regional,06980000,       1,,,
Mansfield,01670000,      18,632,,684
Marblehead,01680000,       7,,,
Marlborough,01700000,      12,559,,556
Marshfield,01710000,       6,,,
Martha's Vineyard,07000000,       3,,,
Martha's Vineyard Charter (District),04660000,       1,,,
Masconomet,07050000,      13,578,,617
Mashpee,01720000,       1,,,
Massachusetts Virtual Academy at Greenfield Commonwealth Virtual District,39010000,       1,,,
Maynard,01740000,       4,,,
Medfield,01750000,      17,622,,702
Medford,01760000,      42,558,,591
Medway,01770000,       8,,,
Melrose,01780000,       8,,,
Mendon-Upton,07100000,       3,,,
Methuen,01810000,      27,531,,578
Middleborough,01820000,       3,,,
Milford,01850000,      17,580,,608
Millbury,01860000,       1,,,
Millis,01870000,       2,,,
Milton,01890000,      25,585,,655
Minuteman Regional Vocational Technical,08300000,       4,,,
Monomoy Regional School District,07120000,       2,,,
Monson,01910000,       1,,,
Montachusett Regional Vocational Technical,08320000,       2,,,
Mount Greylock,07150000,       1,,,
Mystic Valley Regional Charter (District),04700000,      30,588,,633
Nantucket,01970000,       1,,,
Narragansett,07200000,       1,,,
Nashoba,07250000,       6,,,
Natick,01980000,      28,583,,630
Nauset,06600000,       5,,,
Needham,01990000,      43,644,,673
New Bedford,02010000,      10,497,,509
Newburyport,02040000,       3,,,
Newton,02070000,     209,619,,671
Norfolk County Agricultural,09150000,       2,,,
North Andover,02110000,      37,573,,582
North Attleborough,02120000,      24,594,,634
North Middlesex,07350000,       1,,,
North Reading,02170000,       7,,,
Northampton,02100000,      19,561,,576
Northampton-Smith Vocational Agricultural,04060000,       1,,,
Northboro-Southboro,07300000,      47,661,,688
Northbridge,02140000,       2,,,
Northeast Metropolitan Regional Vocational Technical,08530000,       4,,,
Norton,02180000,       7,,,
Norwell,02190000,       3,,,
Norwood,02200000,      11,549,,596
Old Colony Regional Vocational Technical,08550000,       1,,,
Old Rochester,07400000,      11,611,,611
Oxford,02260000,       3,,,
Palmer,02270000,       6,,,
Pathfinder Regional Vocational Technical,08600000,       1,,,
Peabody,02290000,      13,538,,578
Pembroke,02310000,       4,,,
Pentucket,07450000,       3,,,
Phoenix Academy Public Charter High School Springfield (District),35080000,       1,,,
Pioneer Charter School of Science (District),04940000,       8,,,
Pioneer Charter School of Science II (PCSS-II) (District),35060000,      10,631,,694
Pioneer Valley,07500000,       1,,,
Pioneer Valley Chinese Immersion Charter (District),04970000,       4,,,
Pioneer Valley Performing Arts Charter Public (District),04790000,       1,,,
Pittsfield,02360000,       9,,,
Plymouth,02390000,      11,551,,548
Prospect Hill Academy Charter (District),04870000,      11,573,,574
Quabbin,07530000,       2,,,
Quincy,02430000,     354,536,,600
Ralph C Mahar,07550000,       5,,,
Randolph,02440000,      51,565,,598
Reading,02460000,      15,625,,665
Revere,02480000,      53,532,,566
Rising Tide Charter Public (District),04830000,       6,,,
Rockland,02510000,       1,,,
Rockport,02520000,       1,,,
Sabis International Charter (District),04410000,       6,,,
Salem,02580000,      11,574,,620
Salem Academy Charter (District),04850000,       2,,,
Sandwich,02610000,       3,,,
Saugus,02620000,      13,547,,557
Scituate,02640000,       3,,,
Seekonk,02650000,       6,,,
Sharon,02660000,      80,663,,716
Shawsheen Valley Regional Vocational Technical,08710000,       1,,,
Shrewsbury,02710000,     113,627,,676
Silver Lake,07600000,       5,,,
Somerville,02740000,      42,519,,561
South Hadley,02780000,       3,,,
South Shore Regional Vocational Technical,08730000,       3,,,
Southbridge,02770000,       2,,,
Southeastern Regional Vocational Technical,08720000,       3,,,
Southern Worcester County Regional Vocational Technical,08760000,       2,,,
Southwick-Tolland-Granville Regional School District,07660000,       1,,,
Spencer-E Brookfield,07670000,       2,,,
Springfield,02810000,      90,481,,507
Stoneham,02840000,       7,,,
Stoughton,02850000,      22,539,,563
Sturgis Charter Public (District),04890000,      11,585,,568
Sutton,02900000,       1,,,
Swampscott,02910000,       6,,,
Swansea,02920000,       1,,,
TEC Connections Academy Commonwealth Virtual School District,39020000,       3,,,
Tantasqua,07700000,       3,,,
Taunton,02930000,      21,548,,562
Tewksbury,02950000,      10,511,,582
Tri-County Regional Vocational Technical,08780000,       1,,,
Triton,07730000,       5,,,
Tyngsborough,03010000,      11,534,,573
Upper Cape Cod Regional Vocational Technical,08790000,       2,,,
Uxbridge,03040000,       1,,,
Wachusett,07750000,      27,567,,593
Wakefield,03050000,      17,623,,681
Walpole,03070000,      14,634,,683
Waltham,03080000,      26,531,,546
Ware,03090000,       1,,,
Wareham,03100000,       4,,,
Watertown,03140000,      12,564,,589
Wayland,03150000,      45,625,,669
Webster,03160000,       2,,,
Wellesley,03170000,      57,632,,667
West Boylston,03220000,       2,,,
West Bridgewater,03230000,       3,,,
West Springfield,03320000,      21,523,,555
Westborough,03210000,      64,659,,684
Westfield,03250000,       9,,,
Westford,03260000,      94,674,,718
Weston,03300000,      31,636,,680
Westport,03310000,       1,,,
Westwood,03350000,      17,661,,689
Weymouth,03360000,      19,571,,584
Whitman-Hanson,07800000,       2,,,
Whittier Regional Vocational Technical,08850000,       4,,,
Wilmington,03420000,      22,597,,606
Winchendon,03430000,       2,,,
Winchester,03440000,      50,638,,697
Winthrop,03460000,       4,,,
Woburn,03470000,      28,561,,584
Worcester,03480000,     227,501,,531
State Totals,00000000,"   5,852",576,,619
