2017-18 SAT Performance Report - Female,,,,,
District Name,District Code,sat_tests_taken_female,reading_writing_female,math_female,math_female
Abby Kelley Foster Charter Public (District),04450000,      67,543,,519
Abington,00010000,      87,554,,536
Academy Of the Pacific Rim Charter Public (District),04120000,       1,,,
Acton-Boxborough,06000000,     189,661,,673
Adams-Cheshire,06030000,      53,515,,508
Advanced Math and Science Academy Charter (District),04300000,      78,642,,661
Agawam,00050000,     135,545,,542
Amesbury,00070000,      62,575,,560
Amherst-Pelham,06050000,      91,597,,577
Andover,00090000,     278,602,,594
Arlington,00100000,     196,606,,589
Ashburnham-Westminster,06100000,     118,548,,529
Ashland,00140000,     115,590,,605
Assabet Valley Regional Vocational Technical,08010000,      77,517,,485
Athol-Royalston,06150000,      22,520,,500
Atlantis Charter (District),04910000,      30,528,,487
Attleboro,00160000,     207,554,,536
Auburn,00170000,     104,550,,522
Avon,00180000,      27,511,,484
Ayer Shirley School District,06160000,      58,557,,536
Barnstable,00200000,     188,561,,537
Baystate Academy Charter Public School (District),35020000,      15,437,,440
Bedford,00230000,     116,592,,581
Belchertown,00240000,      70,562,,556
Bellingham,00250000,      71,534,,510
Belmont,00260000,     188,630,,637
Berkshire Arts and Technology Charter Public (District),04140000,      25,566,,514
Berkshire Hills,06180000,      65,600,,548
Berlin-Boylston,06200000,      54,566,,587
Beverly,00300000,     191,569,,546
Billerica,00310000,     167,549,,544
Blackstone Valley Regional Vocational Technical,08050000,     181,553,,530
Blackstone-Millville,06220000,      59,544,,524
Blue Hills Regional Vocational Technical,08060000,      68,500,,487
Boston,00350000,"   2,251",499,,509
Boston Collegiate Charter (District),04490000,      63,559,,556
Boston Day and Evening Academy Charter (District),04240000,      22,456,,444
Boston Green Academy Horace Mann Charter School (District),04110000,      41,434,,428
Boston Preparatory Charter Public (District),04160000,      45,484,,497
Bourne,00360000,      69,544,,530
Braintree,00400000,     263,568,,570
Bridgewater-Raynham,06250000,     247,559,,554
Bristol County Agricultural,09100000,      77,542,,521
Bristol-Plymouth Regional Vocational Technical,08100000,      95,510,,497
Brockton,00440000,     415,504,,480
Brookline,00460000,     248,628,,628
Burlington,00480000,     166,562,,553
Cambridge,00490000,     284,572,,563
Canton,00500000,     154,579,,575
Cape Cod Regional Vocational Technical,08150000,      26,509,,487
Carver,00520000,      55,545,,530
Central Berkshire,06350000,      66,567,,542
Chelmsford,00560000,     212,580,,579
Chelsea,00570000,     145,488,,465
Chicopee,00610000,     187,538,,517
City on a Hill Charter Public School Circuit Street (District),04370000,      17,473,,477
City on a Hill Charter Public School Dudley Square (District),35040000,      19,485,,478
Clinton,00640000,      75,515,,492
Codman Academy Charter Public (District),04380000,      22,429,,391
Cohasset,00650000,      62,593,,578
Community Charter School of Cambridge (District),04360000,      43,487,,513
Concord-Carlisle,06400000,     167,631,,635
Danvers,00710000,     132,549,,534
Dartmouth,00720000,     164,570,,539
Dedham,00730000,      95,559,,571
Dennis-Yarmouth,06450000,     121,553,,519
Dighton-Rehoboth,06500000,      93,577,,547
Douglas,00770000,      54,556,,514
Dover-Sherborn,06550000,      80,635,,629
Dracut,00790000,     127,544,,536
Dudley-Charlton Reg,06580000,     162,559,,559
Duxbury,00820000,     169,604,,582
East Bridgewater,00830000,      75,546,,507
East Longmeadow,00870000,     120,556,,552
Easthampton,00860000,      45,572,,546
Easton,00880000,     215,572,,559
Edward M. Kennedy Academy for Health Careers (Horace Mann Charter) (District),04520000,      89,447,,449
Essex North Shore Agricultural and Technical School District,08170000,     212,532,,494
Everett,00930000,     286,490,,478
Excel Academy Charter (District),04100000,      54,501,,511
Fairhaven,00940000,      98,558,,566
Fall River,00950000,     261,487,,477
Falmouth,00960000,     117,581,,560
Fitchburg,00970000,     174,493,,474
Four Rivers Charter Public (District),04130000,      16,597,,534
Foxborough,00990000,     103,571,,572
Foxborough Regional Charter (District),04460000,      37,567,,535
Framingham,01000000,     248,551,,565
Francis W. Parker Charter Essential (District),04780000,      35,603,,534
Franklin,01010000,     301,579,,565
Franklin County Regional Vocational Technical,08180000,       4,,,
Freetown-Lakeville,06650000,      93,542,,547
Frontier,06700000,      44,580,,544
Gardner,01030000,      68,528,,509
Gateway,06720000,      20,540,,517
Georgetown,01050000,      70,594,,595
Gill-Montague,06740000,      26,556,,530
Global Learning Charter Public (District),04960000,      28,489,,471
Gloucester,01070000,     101,556,,547
Grafton,01100000,     139,584,,580
Granby,01110000,      21,544,,533
Greater Fall River Regional Vocational Technical,08210000,     101,489,,471
Greater Lawrence Regional Vocational Technical,08230000,     134,452,,469
Greater Lowell Regional Vocational Technical,08280000,     102,473,,471
Greater New Bedford Regional Vocational Technical,08250000,     191,496,,474
Greenfield,01140000,      38,570,,545
Groton-Dunstable,06730000,     132,605,,611
Hadley,01170000,      27,572,,532
Hamilton-Wenham,06750000,      94,592,,560
Hampden Charter School of Science East (District),04990000,      26,515,,532
Hampden-Wilbraham,06800000,     185,557,,557
Hampshire,06830000,      42,585,,565
Hanover,01220000,     109,554,,539
Harvard,01250000,      63,633,,604
Hatfield,01270000,      16,573,,552
Haverhill,01280000,     168,558,,545
Hingham,01310000,     180,613,,601
Holbrook,01330000,      23,536,,523
Holliston,01360000,     106,600,,594
Holyoke,01370000,      86,514,,499
Hopedale,01380000,      43,557,,542
Hopkinton,01390000,     152,607,,619
Hudson,01410000,     103,571,,542
