2017-18 SAT Performance Report - Hispanic/Latino,,,,
District Name,District Code,sat_tests_taken_hispanic,reading_writing_hispanic,math_hispanic
Abby Kelley Foster Charter Public (District),4450000,21,502,488
Abington,10000,9,,
Acton-Boxborough,6000000,11,575,567
Adams-Cheshire,6030000,3,,
Advanced Math and Science Academy Charter (District),4300000,4,,
Agawam,50000,6,,
Amesbury,70000,4,,
Amherst-Pelham,6050000,23,569,551
Andover,90000,16,498,506
Arlington,100000,22,588,568
Ashburnham-Westminster,6100000,6,,
Ashland,140000,9,,
Assabet Valley Regional Vocational Technical,8010000,20,476,463
Athol-Royalston,6150000,5,,
Atlantis Charter (District),4910000,6,,
Attleboro,160000,31,517,524
Auburn,170000,13,535,508
Avon,180000,4,,
Ayer Shirley School District,6160000,4,,
Barnstable,200000,17,529,542
Baystate Academy Charter Public School (District),35020000,21,449,451
Bedford,230000,18,603,599
Belchertown,240000,3,,
Bellingham,250000,8,,
Belmont,260000,10,601,609
Berkshire Arts and Technology Charter Public (District),4140000,3,,
Berkshire Hills,6180000,8,,
Beverly,300000,17,525,526
Billerica,310000,8,,
Blackstone Valley Regional Vocational Technical,8050000,7,,
Blackstone-Millville,6220000,2,,
Blue Hills Regional Vocational Technical,8060000,16,499,494
Boston,350000,"1,343",469,482
Boston Collegiate Charter (District),4490000,17,546,546
Boston Day and Evening Academy Charter (District),4240000,13,446,441
Boston Green Academy Horace Mann Charter School (District),4110000,23,409,419
Boston Preparatory Charter Public (District),4160000,18,499,526
Bourne,360000,6,,
Braintree,400000,20,531,530
Bridgewater-Raynham,6250000,1,,
Bristol County Agricultural,9100000,2,,
Bristol-Plymouth Regional Vocational Technical,8100000,14,454,434
Brockton,440000,55,501,495
Brookline,460000,58,558,561
Burlington,480000,10,522,508
Cambridge,490000,65,538,528
Canton,500000,11,547,538
Cape Cod Regional Vocational Technical,8150000,4,,
Central Berkshire,6350000,4,,
Chelmsford,560000,16,600,604
Chelsea,570000,179,478,463
Chicopee,610000,45,503,501
City on a Hill Charter Public School Circuit Street (District),4370000,7,,
City on a Hill Charter Public School Dudley Square (District),35040000,11,486,503
Clinton,640000,29,492,469
Codman Academy Charter Public (District),4380000,10,441,439
Cohasset,650000,2,,
Community Charter School of Cambridge (District),4360000,20,476,520
Concord-Carlisle,6400000,11,591,604
Danvers,710000,6,,
Dartmouth,720000,8,,
Dedham,730000,10,495,506
Dennis-Yarmouth,6450000,17,537,536
Dighton-Rehoboth,6500000,4,,
Douglas,770000,2,,
Dover-Sherborn,6550000,3,,
Dracut,790000,8,,
Dudley-Charlton Reg,6580000,10,573,563
Duxbury,820000,8,,
East Bridgewater,830000,2,,
East Longmeadow,870000,6,,
Easthampton,860000,5,,
Easton,880000,15,557,539
Edward M. Kennedy Academy for Health Careers (Horace Mann Charter) (District),4520000,66,452,468
Essex North Shore Agricultural and Technical School District,8170000,40,526,504
Everett,930000,169,473,474
Excel Academy Charter (District),4100000,72,495,515
Fairhaven,940000,3,,
Fall River,950000,85,446,441
Falmouth,960000,9,,
Fitchburg,970000,137,459,445
Four Rivers Charter Public (District),4130000,3,,
Foxborough,990000,4,,
Foxborough Regional Charter (District),4460000,4,,
Framingham,1000000,55,491,521
Francis W. Parker Charter Essential (District),4780000,3,,
Franklin,1010000,11,557,570
Freetown-Lakeville,6650000,5,,
Frontier,6700000,3,,
Gardner,1030000,10,477,486
Gateway,6720000,1,,
Georgetown,1050000,2,,
Gill-Montague,6740000,2,,
Global Learning Charter Public (District),4960000,11,511,492
Gloucester,1070000,7,,
Grafton,1100000,3,,
Greater Fall River Regional Vocational Technical,8210000,13,475,478
Greater Lawrence Regional Vocational Technical,8230000,162,449,469
Greater Lowell Regional Vocational Technical,8280000,44,474,468
Greater New Bedford Regional Vocational Technical,8250000,59,495,478
Greenfield,1140000,6,,
Groton-Dunstable,6730000,3,,
Hadley,1170000,3,,
Hamilton-Wenham,6750000,5,,
Hampden Charter School of Science East (District),4990000,14,501,552
Hampden-Wilbraham,6800000,16,502,486
Hanover,1220000,1,,
Harvard,1250000,5,,
Hatfield,1270000,1,,
Haverhill,1280000,44,497,476
Hingham,1310000,8,,
Holbrook,1330000,3,,
Holliston,1360000,7,,
Holyoke,1370000,78,478,479
Hopedale,1380000,2,,
Hopkinton,1390000,11,572,573
Hudson,1410000,4,,
Hull,1420000,1,,
