2017-18 SAT Performance Report - Economically Disadvantaged,,,,
District Name,District Code,sat_tests_taken_lowincome,reading_writing_lowincome,math_lowincome
Abby Kelley Foster Charter Public (District),4450000,41,507,501
Abington,10000,37,532,519
Acton-Boxborough,6000000,23,611,640
Adams-Cheshire,6030000,18,527,506
Advanced Math and Science Academy Charter (District),4300000,9,,
Agawam,50000,48,534,556
Amesbury,70000,14,562,587
Amherst-Pelham,6050000,48,535,529
Andover,90000,28,529,555
Arlington,100000,36,568,561
Ashburnham-Westminster,6100000,30,522,522
Ashland,140000,26,538,557
Assabet Valley Regional Vocational Technical,8010000,36,491,479
Athol-Royalston,6150000,12,510,493
Atlantis Charter (District),4910000,16,501,464
Attleboro,160000,78,540,526
Auburn,170000,22,516,516
Avon,180000,15,484,455
Ayer Shirley School District,6160000,19,538,501
Barnstable,200000,59,543,522
Baystate Academy Charter Public School (District),35020000,19,433,454
Bedford,230000,18,536,523
Belchertown,240000,13,541,555
Bellingham,250000,18,517,506
Belmont,260000,24,562,588
Berkshire Arts and Technology Charter Public (District),4140000,11,581,532
Berkshire Hills,6180000,21,563,510
Berlin-Boylston,6200000,6,,
Beverly,300000,44,530,524
Billerica,310000,32,523,525
Blackstone Valley Regional Vocational Technical,8050000,31,551,538
Blackstone-Millville,6220000,11,517,505
Blue Hills Regional Vocational Technical,8060000,23,490,463
Boston,350000,"2,142",465,485
Boston Collegiate Charter (District),4490000,23,550,555
Boston Day and Evening Academy Charter (District),4240000,18,445,450
Boston Green Academy Horace Mann Charter School (District),4110000,49,417,423
Boston Preparatory Charter Public (District),4160000,35,482,513
Bourne,360000,25,541,524
Braintree,400000,76,530,557
Bridgewater-Raynham,6250000,40,530,535
Bristol County Agricultural,9100000,13,490,512
Bristol-Plymouth Regional Vocational Technical,8100000,44,488,478
Brockton,440000,297,490,476
Brookline,460000,73,537,548
Burlington,480000,33,518,534
Cambridge,490000,155,508,520
Canton,500000,34,534,516
Cape Cod Regional Vocational Technical,8150000,13,522,503
Carver,520000,13,578,529
Central Berkshire,6350000,30,530,532
Chelmsford,560000,35,541,554
Chelsea,570000,130,481,465
Chicopee,610000,106,539,527
City on a Hill Charter Public School Circuit Street (District),4370000,10,447,483
City on a Hill Charter Public School Dudley Square (District),35040000,18,482,489
City on a Hill Charter Public School New Bedford (District),35070000,1,,
Clinton,640000,35,505,492
Codman Academy Charter Public (District),4380000,17,448,428
Cohasset,650000,7,,
Community Charter School of Cambridge (District),4360000,37,511,548
Concord-Carlisle,6400000,21,558,578
Danvers,710000,34,508,497
Dartmouth,720000,35,509,490
Dedham,730000,35,500,522
Dennis-Yarmouth,6450000,58,521,506
Dighton-Rehoboth,6500000,15,534,510
Douglas,770000,7,,
Dover-Sherborn,6550000,12,573,570
Dracut,790000,27,530,533
