2017-18 SAT Performance Report - White,,,,,
District Name,District Code,sat_tests_taken_white,reading_writing_white,math_white,math_white
Abby Kelley Foster Charter Public (District),04450000,      33,589,,572
Abington,00010000,     122,551,,533
Acton-Boxborough,06000000,     220,640,,654
Adams-Cheshire,06030000,      69,524,,523
Advanced Math and Science Academy Charter (District),04300000,     103,630,,668
Agawam,00050000,     225,549,,553
Amesbury,00070000,     136,575,,575
Amherst-Pelham,06050000,     115,629,,606
Andover,00090000,     392,596,,592
Arlington,00100000,     301,616,,605
Ashburnham-Westminster,06100000,     195,551,,546
Ashland,00140000,     168,583,,602
Assabet Valley Regional Vocational Technical,08010000,     145,517,,502
Athol-Royalston,06150000,      30,539,,523
Atlantis Charter (District),04910000,      34,544,,508
Attleboro,00160000,     280,564,,555
Auburn,00170000,     159,553,,541
Avon,00180000,      11,526,,502
Ayer Shirley School District,06160000,      79,558,,546
Barnstable,00200000,     286,574,,563
Baystate Academy Charter Public School (District),35020000,       1,,,
Bedford,00230000,     154,596,,584
Belchertown,00240000,     133,570,,565
Bellingham,00250000,     113,538,,538
Belmont,00260000,     242,624,,631
Berkshire Arts and Technology Charter Public (District),04140000,      25,583,,548
Berkshire Hills,06180000,     105,597,,562
Berlin-Boylston,06200000,      89,571,,591
Beverly,00300000,     279,571,,553
Billerica,00310000,     268,550,,556
Blackstone Valley Regional Vocational Technical,08050000,     328,561,,552
Blackstone-Millville,06220000,      85,538,,534
Blue Hills Regional Vocational Technical,08060000,      66,513,,505
Boston,00350000,     595,589,,594
Boston Collegiate Charter (District),04490000,      56,562,,579
Boston Day and Evening Academy Charter (District),04240000,       6,,,
Boston Green Academy Horace Mann Charter School (District),04110000,       5,,,
Boston Preparatory Charter Public (District),04160000,       4,,,
Bourne,00360000,     109,557,,551
Braintree,00400000,     388,572,,579
Bridgewater-Raynham,06250000,     389,556,,563
Bristol County Agricultural,09100000,      88,543,,525
Bristol-Plymouth Regional Vocational Technical,08100000,     144,524,,511
Brockton,00440000,     137,554,,532
Brookline,00460000,     275,648,,655
Burlington,00480000,     199,559,,551
Cambridge,00490000,     211,638,,631
Canton,00500000,     215,580,,587
Cape Cod Regional Vocational Technical,08150000,      45,511,,496
Carver,00520000,      82,556,,548
Central Berkshire,06350000,     115,556,,553
Chelmsford,00560000,     330,578,,583
Chelsea,00570000,      15,535,,495
Chicopee,00610000,     205,548,,535
City on a Hill Charter Public School Circuit Street (District),04370000,       1,,,
City on a Hill Charter Public School New Bedford (District),35070000,       1,,,
Clinton,00640000,      77,531,,515
Cohasset,00650000,     134,597,,596
Community Charter School of Cambridge (District),04360000,       4,,,
Concord-Carlisle,06400000,     241,640,,649
Danvers,00710000,     232,549,,551
Dartmouth,00720000,     244,561,,544
Dedham,00730000,     150,564,,577
Dennis-Yarmouth,06450000,     166,557,,532
Dighton-Rehoboth,06500000,     170,570,,551
Douglas,00770000,      95,560,,534
Dover-Sherborn,06550000,     146,632,,639
Dracut,00790000,     178,552,,556
Dudley-Charlton Reg,06580000,     251,566,,575
Duxbury,00820000,     316,601,,592
East Bridgewater,00830000,     124,538,,511
East Longmeadow,00870000,     190,559,,561
Easthampton,00860000,      68,575,,559
Easton,00880000,     320,571,,566
Edward M. Kennedy Academy for Health Careers (Horace Mann Charter) (District),04520000,       9,,,
Essex North Shore Agricultural and Technical School District,08170000,     256,533,,503
Everett,00930000,     152,506,,501
Excel Academy Charter (District),04100000,       8,,,
Fairhaven,00940000,     137,559,,572
Fall River,00950000,     300,505,,501
Falmouth,00960000,     182,576,,569
Fitchburg,00970000,     138,507,,500
Four Rivers Charter Public (District),04130000,      20,606,,554
Foxborough,00990000,     210,574,,582
Foxborough Regional Charter (District),04460000,      28,621,,581
Framingham,01000000,     323,568,,596
