2017-18  Educator Evaluation Performance (District) - All Educators,,,,,,,,
District Name,District Code,# of Educators to be Evaluated,# Evaluated,% Evaluated,% Exemplary,% Proficient,% Needs Improvement,% Unsatisfactory
Abby Kelley Foster Charter Public (District),4450000,126,126,100,7.9,89.7,2.4,0
Abington,10000,150,150,100,12.7,86,0.7,0.7
Academy Of the Pacific Rim Charter Public (District),4120000,66,66,100,10.6,71.2,18.2,0
Acton-Boxborough,6000000,471,459,97.5,13.1,86.5,0.4,0
Acushnet,30000,89,81,91,7.4,84,8.6,0
Adams-Cheshire,6030000,105,105,100,13.3,84.8,1.9,0
Advanced Math and Science Academy Charter (District),4300000,,,,,,,
Agawam,50000,392,392,100,11.7,88,0.3,0
Alma del Mar Charter School (District),4090000,,,,,,,
Amesbury,70000,207,202,97.6,21.8,74.8,3.5,0
Amherst,80000,165,156,94.5,26.9,69.2,3.2,0.6
Amherst-Pelham,6050000,163,163,100,34.4,64.4,1.2,0
Andover,90000,582,582,100,17.7,80.2,1.9,0.2
Argosy Collegiate Charter School (District),35090000,,,,,,,
Arlington,100000,525,525,100,0,98.1,1.7,0.2
Ashburnham-Westminster,6100000,194,193,99.5,20.2,77.7,2.1,0
Ashland,140000,251,247,98.4,17.4,81.4,1.2,0
Assabet Valley Regional Vocational Technical,8010000,132,131,99.2,10.7,87,2.3,0
Athol-Royalston,6150000,129,126,97.7,2.4,92.9,4,0.8
Atlantis Charter (District),4910000,,,,,,,
Attleboro,160000,469,465,99.1,10.5,85.4,4.1,0
Auburn,170000,218,218,100,8.7,89,1.4,0.9
Avon,180000,80,78,97.5,9,89.7,1.3,0
Ayer Shirley School District,6160000,163,156,95.7,10.9,87.2,1.9,0
Barnstable,200000,482,457,94.8,19.7,78.6,1.5,0.2
Barnstable Community Horace Mann Charter Public (District),4270000,31,29,93.5,20.7,75.9,0,3.4
Baystate Academy Charter Public School (District),35020000,,,,,,,
Bedford,230000,292,292,100,0,97.3,2.4,0.3
Belchertown,240000,211,208,98.6,7.7,90.9,1.4,0
Bellingham,250000,208,208,100,11.5,88,0.5,0
Belmont,260000,354,348,98.3,10.1,87.6,2.3,0
Benjamin Banneker Charter Public (District),4200000,19,19,100,10.5,89.5,0,0
Benjamin Franklin Classical Charter Public (District),4470000,,,,,,,
Bentley Academy Charter School (District),35110000,41,41,100,,,,
Berkley,270000,71,71,100,32.4,66.2,1.4,0
Berkshire Arts and Technology Charter Public (District),4140000,,,,,,,
Berkshire Hills,6180000,140,116,82.9,23.3,75,1.7,0
Berlin,280000,28,28,100,7.1,85.7,7.1,0
Berlin-Boylston,6200000,59,59,100,10.2,88.1,1.7,0
Beverly,300000,400,396,99,12.6,84.8,2.5,0
Billerica,310000,474,445,93.9,19.6,79.3,1.1,0
Blackstone Valley Regional Vocational Technical,8050000,124,121,97.6,25.6,72.7,1.7,0
Blackstone-Millville,6220000,164,162,98.8,18.5,80.2,1.2,0
Blue Hills Regional Vocational Technical,8060000,95,95,100,4.2,94.7,1.1,0
Boston,350000,"4,891","4,428",90.5,20.5,75.9,3.3,0.3
Boston Collegiate Charter (District),4490000,,,,,,,
Boston Day and Evening Academy Charter (District),4240000,30,26,86.7,23.1,76.9,0,0
Boston Green Academy Horace Mann Charter School (District),4110000,55,55,100,20,80,0,0
Boston Preparatory Charter Public (District),4160000,70,70,100,8.6,45.7,38.6,7.1
Boston Renaissance Charter Public (District),4810000,84,84,100,23.8,63.1,13.1,0
Bourne,360000,183,169,92.3,26.6,70.4,3,0
Boxford,380000,79,79,100,8.9,91.1,0,0
Boylston,390000,31,31,100,6.5,90.3,3.2,0
Braintree,400000,511,509,99.6,13.9,84.1,2,0
Brewster,410000,59,59,100,59.3,37.3,3.4,0
Bridge Boston Charter School (District),4170000,,,,,,,
