2017-18  Graduates Attending Institutions of Higher Education (District) - All Students - All Colleges and Universities,,,,,,,,,,,
District Name,District Code,High School Graduates (#),Attending Coll./Univ. (#),Attending Coll./Univ. (%),Private Two-Year (%),Private Four-Year (%),Public Two-Year (%),Public Four-Year (%),MA Community College (%),MA State University (%),Univ.of Mass. (%)
Abby Kelley Foster Charter Public (District),04450000,90,79,87.8,0,24.1,19,57,19,31.6,16.5
Abington,00010000,123,86,69.9,0,31.4,15.1,53.5,15.1,22.1,9.3
Academy Of the Pacific Rim Charter Public (District),04120000,37,33,89.2,0,48.5,0,51.5,0,24.2,27.3
Acton-Boxborough,06000000,450,405,90,0,45.2,6.9,47.9,6.4,3.2,15.3
Acushnet,00030000,1,,,,,,,,,
Adams-Cheshire,06030000,80,53,66.3,1.9,28.3,24.5,45.3,22.6,28.3,5.7
Advanced Math and Science Academy Charter (District),04300000,101,91,90.1,0,41.8,3.3,54.9,2.2,8.8,27.5
Agawam,00050000,275,214,77.8,0,29.4,34.6,36,32.7,16.4,7.5
Amesbury,00070000,137,111,81,0,26.1,27,46.8,24.3,9,21.6
Amherst-Pelham,06050000,220,175,79.5,0,52.6,20,27.4,19.4,0.6,17.7
Andover,00090000,414,365,88.2,0,54.8,8.5,36.7,8.5,2.7,18.1
Arlington,00100000,315,259,82.2,0,48.6,10.8,40.5,10.4,5,18.5
Ashburnham-Westminster,06100000,175,150,85.7,0,26,18.7,55.3,17.3,38,10.7
Ashland,00140000,180,154,85.6,0,35.1,9.7,55.2,9.1,15.6,16.9
Assabet Valley Regional Vocational Technical,08010000,247,122,49.4,0,22.1,32.8,45.1,32,28.7,10.7
Athol-Royalston,06150000,87,46,52.9,0,23.9,50,26.1,50,17.4,4.3
Atlantis Charter (District),04910000,38,32,84.2,0,15.6,40.6,43.8,40.6,12.5,28.1
Attleboro,00160000,417,258,61.9,0,38,22.1,39.1,20.2,12,15.1
Auburn,00170000,162,126,77.8,0,27.8,19.8,52.4,19.8,23,15.9
Avon,00180000,36,33,91.7,0,30.3,18.2,51.5,15.2,12.1,39.4
Ayer Shirley School District,06160000,86,69,80.2,0,17.4,18.8,63.8,17.4,37.7,23.2
Barnstable,00200000,354,252,71.2,0,26.2,29.8,44,29,9.9,16.7
Bedford,00230000,218,180,82.6,0,40,15,45,13.3,7.2,15.6
Belchertown,00240000,166,137,82.5,0.7,37.2,29.9,32.1,27.7,11.7,9.5
Bellingham,00250000,128,73,57,0,37,23.3,39.7,12.3,16.4,12.3
Belmont,00260000,335,277,82.7,0,64.3,5.1,30.7,4.3,4,11.2
