2017-18  Graduates Attending Institutions of Higher Education (District) - Afr. Amer./Black - All Colleges and Universities,,,,
District Name,District Code,Black High School Graduates (#),Black Attending Coll./Univ. (#),Black Attending Coll./Univ. (%)
Abby Kelley Foster Charter Public (District),04450000,35,31,88.6
Abington,00010000,3,,
Academy Of the Pacific Rim Charter Public (District),04120000,21,19,90.5
Acton-Boxborough,06000000,9,,
Adams-Cheshire,06030000,3,,
Advanced Math and Science Academy Charter (District),04300000,3,,
Agawam,00050000,5,,
Amherst-Pelham,06050000,21,11,52.4
Andover,00090000,7,,
Arlington,00100000,13,,
Ashburnham-Westminster,06100000,2,,
Ashland,00140000,3,,
Assabet Valley Regional Vocational Technical,08010000,3,,
Athol-Royalston,06150000,2,,
Atlantis Charter (District),04910000,1,,
Attleboro,00160000,24,13,54.2
Auburn,00170000,5,,
Avon,00180000,18,17,94.4
Ayer Shirley School District,06160000,10,,
Barnstable,00200000,32,23,71.9
Bedford,00230000,17,16,94.1
Belchertown,00240000,4,,
Bellingham,00250000,4,,
Belmont,00260000,15,10,66.7
Berkshire Arts and Technology Charter Public (District),04140000,1,,
Beverly,00300000,7,,
Billerica,00310000,7,,
Blackstone Valley Regional Vocational Technical,08050000,1,,
Blue Hills Regional Vocational Technical,08060000,37,26,70.3
Boston,00350000,1425,891,62.5
Boston Collegiate Charter (District),04490000,11,,
Boston Day and Evening Academy Charter (District),04240000,27,8,29.6
Boston Green Academy Horace Mann Charter School (District),04110000,30,22,73.3
Boston Preparatory Charter Public (District),04160000,38,32,84.2
Bourne,00360000,3,,
Braintree,00400000,17,11,64.7
Bridgewater-Raynham,06250000,15,13,86.7
Bristol-Plymouth Regional Vocational Technical,08100000,8,,
Brockton,00440000,732,452,61.7
Brookline,00460000,32,26,81.3
Burlington,00480000,12,,
Cambridge,00490000,149,111,74.5
Canton,00500000,27,20,74.1
Cape Cod Regional Vocational Technical,08150000,5,,
Carver,00520000,1,,
Central Berkshire,06350000,3,,
Chelmsford,00560000,6,,
Chelsea,00570000,22,17,77.3
Chicopee,00610000,18,7,38.9
City on a Hill Charter Public School Circuit Street (District),04370000,13,,
City on a Hill Charter Public School Dudley Square (District),35040000,27,23,85.2
City on a Hill Charter Public School New Bedford (District),35070000,4,,
Clinton,00640000,4,,
Codman Academy Charter Public (District),04380000,19,13,68.4
Cohasset,00650000,5,,
Community Charter School of Cambridge (District),04360000,33,31,93.9
Concord-Carlisle,06400000,11,,
Danvers,00710000,4,,
Dartmouth,00720000,5,,
Dedham,00730000,17,11,64.7
Dennis-Yarmouth,06450000,15,11,73.3
Dighton-Rehoboth,06500000,1,,
Dover-Sherborn,06550000,2,,
Dracut,00790000,6,,
Dudley-Charlton Reg,06580000,4,,
East Bridgewater,00830000,7,,
East Longmeadow,00870000,7,,
Easthampton,00860000,2,,
Easton,00880000,13,,
