2017-18  Graduates Attending Institutions of Higher Education (District) - Hispanic/Latino - All Colleges and Universities,,,,
District Name,District Code,Hisp High School Graduates (#),Hisp Attending Coll./Univ. (#),Hisp Attending Coll./Univ. (%)
Abby Kelley Foster Charter Public (District),4450000,24,20,83.3
Abington,10000,15,8,53.3
Academy Of the Pacific Rim Charter Public (District),4120000,11,,
Acton-Boxborough,6000000,15,11,73.3
Adams-Cheshire,6030000,1,,
Advanced Math and Science Academy Charter (District),4300000,5,,
Agawam,50000,12,,
Amesbury,70000,3,,
Amherst-Pelham,6050000,25,18,72
Andover,90000,17,16,94.1
Arlington,100000,14,,
Ashburnham-Westminster,6100000,5,,
Ashland,140000,16,12,75
Assabet Valley Regional Vocational Technical,8010000,32,21,65.6
Athol-Royalston,6150000,8,,
Atlantis Charter (District),4910000,7,,
Attleboro,160000,44,20,45.5
Auburn,170000,11,,
Avon,180000,2,,
Ayer Shirley School District,6160000,6,,
Barnstable,200000,32,11,34.4
Bedford,230000,15,13,86.7
Belchertown,240000,4,,
Bellingham,250000,8,,
Belmont,260000,8,,
Berkshire Arts and Technology Charter Public (District),4140000,1,,
Berkshire Hills,6180000,9,,
Beverly,300000,24,13,54.2
Billerica,310000,9,,
Blackstone Valley Regional Vocational Technical,8050000,7,,
Blackstone-Millville,6220000,1,,
Blue Hills Regional Vocational Technical,8060000,23,14,60.9
Boston,350000,1220,744,61
Boston Collegiate Charter (District),4490000,7,,
Boston Day and Evening Academy Charter (District),4240000,27,8,29.6
Boston Green Academy Horace Mann Charter School (District),4110000,18,13,72.2
Boston Preparatory Charter Public (District),4160000,7,,
Bourne,360000,7,,
Braintree,400000,14,,
Bridgewater-Raynham,6250000,1,,
Bristol-Plymouth Regional Vocational Technical,8100000,19,11,57.9
Brockton,440000,118,64,54.2
Brookline,460000,49,34,69.4
Burlington,480000,13,,
Cambridge,490000,64,37,57.8
Canton,500000,11,,
Cape Cod Regional Vocational Technical,8150000,10,,
Carver,520000,1,,
Central Berkshire,6350000,6,,
Chelmsford,560000,12,,
Chelsea,570000,251,141,56.2
Chicopee,610000,141,74,52.5
City on a Hill Charter Public School Circuit Street (District),4370000,14,,
City on a Hill Charter Public School Dudley Square (District),35040000,15,14,93.3
City on a Hill Charter Public School New Bedford (District),35070000,12,,
Clinton,640000,33,17,51.5
Codman Academy Charter Public (District),4380000,6,,
Cohasset,650000,1,,
Community Charter School of Cambridge (District),4360000,12,,
Concord-Carlisle,6400000,19,18,94.7
Danvers,710000,10,,
Dartmouth,720000,5,,
Dedham,730000,17,12,70.6
Dennis-Yarmouth,6450000,22,13,59.1
Dighton-Rehoboth,6500000,10,,
Douglas,770000,1,,
Dover-Sherborn,6550000,4,,
Dracut,790000,12,,
Dudley-Charlton Reg,6580000,18,11,61.1
Duxbury,820000,3,,
East Bridgewater,830000,3,,
East Longmeadow,870000,8,,
Easthampton,860000,8,,
Easton,880000,19,16,84.2
Edward M. Kennedy Academy for Health Careers (Horace Mann Charter) (District),4520000,39,29,74.4
Essex North Shore Agricultural and Technical School District,8170000,35,26,74.3
Everett,930000,173,81,46.8
Fairhaven,940000,10,,
Fall River,950000,94,44,46.8
Falmouth,960000,11,,
Fitchburg,970000,154,59,38.3
Four Rivers Charter Public (District),4130000,1,,
Foxborough,990000,3,,
Foxborough Regional Charter (District),4460000,3,,
Framingham,1000000,84,35,41.7
Francis W. Parker Charter Essential (District),4780000,2,,
Franklin,1010000,9,,
Franklin County Regional Vocational Technical,8180000,3,,
Freetown-Lakeville,6650000,4,,
Frontier,6700000,4,,
Gardner,1030000,13,,
Georgetown,1050000,2,,
Gill-Montague,6740000,1,,
Global Learning Charter Public (District),4960000,5,,
Gloucester,1070000,17,7,41.2
Grafton,1100000,2,,
Granby,1110000,6,,
Greater Fall River Regional Vocational Technical,8210000,30,18,60
Greater Lawrence Regional Vocational Technical,8230000,257,132,51.4
Greater Lowell Regional Vocational Technical,8280000,150,57,38
Greater New Bedford Regional Vocational Technical,8250000,110,44,40
Greenfield,1140000,13,,
Groton-Dunstable,6730000,1,,
Hadley,1170000,1,,
Hamilton-Wenham,6750000,5,,
Hampden Charter School of Science East (District),4990000,10,,
Hampden-Wilbraham,6800000,16,11,68.8
Hampshire,6830000,1,,
Hanover,1220000,2,,
Harvard,1250000,4,,
Haverhill,1280000,103,57,55.3
Hingham,1310000,8,,
Holbrook,1330000,7,,
Holliston,1360000,2,,
Holyoke,1370000,233,111,47.6
Hopedale,1380000,1,,
Hopkinton,1390000,6,,
Hudson,1410000,10,,
Hull,1420000,2,,
Innovation Academy Charter (District),4350000,8,,
Ipswich,1440000,4,,
KIPP Academy Lynn Charter (District),4290000,68,53,77.9
King Philip,6900000,3,,
Lawrence,1490000,707,384,54.3
Lee,1500000,4,,
Leicester,1510000,5,,
Lenox,1520000,3,,
Leominster,1530000,110,57,51.8
Lexington,1550000,22,20,90.9
Lincoln-Sudbury,6950000,18,16,88.9
Littleton,1580000,2,,
Longmeadow,1590000,9,,
Lowell,1600000,128,66,51.6
Lowell Middlesex Academy Charter (District),4580000,5,,
Ludlow,1610000,18,13,72.2
Lunenburg,1620000,4,,
Lynn,1630000,559,278,49.7
Lynnfield,1640000,8,,
MATCH Charter Public School (District),4690000,26,24,92.3
Malden,1650000,107,63,58.9
Mansfield,1670000,11,,
Marblehead,1680000,13,,
Marlborough,1700000,97,41,42.3
Marshfield,1710000,9,,
Martha's Vineyard,7000000,8,,
Masconomet,7050000,9,,
Mashpee,1720000,3,,
Massachusetts Virtual Academy at Greenfield Commonwealth Virtual District,39010000,6,,
Maynard,1740000,11,,
Medfield,1750000,3,,
Medford,1760000,36,26,72.2
Medway,1770000,7,,
Melrose,1780000,11,,
Mendon-Upton,7100000,3,,
Methuen,1810000,142,88,62
Middleborough,1820000,6,,
Milford,1850000,71,33,46.5
Millbury,1860000,2,,
Millis,1870000,5,,
Milton,1890000,8,,
Minuteman Regional Vocational Technical,8300000,14,,
Mohawk Trail,7170000,3,,
Monomoy Regional School District,7120000,5,,
Monson,1910000,2,,
Montachusett Regional Vocational Technical,8320000,39,18,46.2
Mount Greylock,7150000,2,,
Mystic Valley Regional Charter (District),4700000,6,,
Nantucket,1970000,28,11,39.3
Narragansett,7200000,6,,
Nashoba,7250000,13,,
Nashoba Valley Regional Vocational Technical,8520000,8,,
Natick,1980000,19,13,68.4
Nauset,6600000,10,,
Needham,1990000,21,16,76.2
New Bedford,2010000,112,42,37.5
Newburyport,2040000,7,,
Newton,2070000,78,61,78.2
Norfolk County Agricultural,9150000,8,,
North Adams,2090000,3,,
North Andover,2110000,25,20,80
North Attleborough,2120000,19,15,78.9
North Brookfield,2150000,2,,
North Middlesex,7350000,3,,
North Reading,2170000,5,,
Northampton,2100000,23,15,65.2
Northampton-Smith Vocational Agricultural,4060000,16,6,37.5
Northboro-Southboro,7300000,20,11,55
Northbridge,2140000,19,7,36.8
Northeast Metropolitan Regional Vocational Technical,8530000,79,51,64.6
Northern Berkshire Regional Vocational Technical,8510000,2,,
Norton,2180000,4,,
Norwell,2190000,6,,
Norwood,2200000,19,11,57.9
Old Colony Regional Vocational Technical,8550000,1,,
Old Rochester,7400000,1,,
Oxford,2260000,8,,
Palmer,2270000,5,,
Pathfinder Regional Vocational Technical,8600000,11,,
Paulo Freire Social Justice Charter School (District),35010000,54,34,63
Peabody,2290000,55,39,70.9
Pembroke,2310000,1,,
Pentucket,7450000,2,,
Phoenix Academy Public Charter High School Springfield (District),35080000,12,,
Phoenix Charter Academy (District),4930000,11,,
Pioneer Charter School of Science (District),4940000,9,,
Pioneer Charter School of Science II (PCSS-II) (District),35060000,3,,
Pioneer Valley Chinese Immersion Charter (District),4970000,1,,
Pioneer Valley Performing Arts Charter Public (District),4790000,10,,
Pittsfield,2360000,30,15,50
Plymouth,2390000,22,9,40.9
Prospect Hill Academy Charter (District),4870000,13,,
Quabbin,7530000,8,,
Quaboag Regional,7780000,8,,
Quincy,2430000,40,21,52.5
Ralph C Mahar,7550000,10,,
Randolph,2440000,19,10,52.6
Reading,2460000,3,,
Revere,2480000,259,161,62.2
Rising Tide Charter Public (District),4830000,2,,
Rockland,2510000,6,,
Rockport,2520000,2,,
Sabis International Charter (District),4410000,31,26,83.9
Salem,2580000,106,55,51.9
Salem Academy Charter (District),4850000,18,17,94.4
Sandwich,2610000,3,,
Saugus,2620000,17,10,58.8
Seekonk,2650000,4,,
Sharon,2660000,9,,
Shawsheen Valley Regional Vocational Technical,8710000,12,,
Shrewsbury,2710000,36,26,72.2
Silver Lake,7600000,5,,
Sizer School: A North Central Charter Essential (District),4740000,1,,
Somerset Berkley Regional School District,7630000,2,,
Somerville,2740000,128,69,53.9
South Hadley,2780000,9,,
South Middlesex Regional Vocational Technical,8290000,70,38,54.3
South Shore Charter Public (District),4880000,2,,
South Shore Regional Vocational Technical,8730000,3,,
Southbridge,2770000,56,23,41.1
Southeastern Regional Vocational Technical,8720000,32,16,50
Southern Berkshire,7650000,3,,
Southern Worcester County Regional Vocational Technical,8760000,21,10,47.6
Southwick-Tolland-Granville Regional School District,7660000,4,,
Spencer-E Brookfield,7670000,7,,
Springfield,2810000,807,370,45.8
Stoneham,2840000,10,,
Stoughton,2850000,12,,
Sturgis Charter Public (District),4890000,5,,
Sutton,2900000,1,,
Swampscott,2910000,14,,
Swansea,2920000,2,,
TEC Connections Academy Commonwealth Virtual School District,39020000,11,,
Tantasqua,7700000,11,,
Taunton,2930000,40,17,42.5
Tewksbury,2950000,9,,
Tri-County Regional Vocational Technical,8780000,9,,
Tyngsborough,3010000,3,,
Upper Cape Cod Regional Vocational Technical,8790000,1,,
Uxbridge,3040000,9,,
Wachusett,7750000,17,12,70.6
Wakefield,3050000,4,,
Walpole,3070000,16,13,81.3
Waltham,3080000,105,56,53.3
Ware,3090000,3,,
Wareham,3100000,11,,
Watertown,3140000,20,15,75
Wayland,3150000,8,,
Webster,3160000,18,10,55.6
Wellesley,3170000,19,13,68.4
West Boylston,3220000,2,,
West Bridgewater,3230000,1,,
West Springfield,3320000,36,26,72.2
Westborough,3210000,13,,
Westfield,3250000,44,22,50
Westford,3260000,3,,
Weston,3300000,7,,
Westport,3310000,2,,
Westwood,3350000,5,,
Weymouth,3360000,32,20,62.5
Whitman-Hanson,7800000,9,,
Whittier Regional Vocational Technical,8850000,52,31,59.6
Wilmington,3420000,8,,
Winchendon,3430000,4,,
Winchester,3440000,12,,
Winthrop,3460000,12,,
Woburn,3470000,38,19,50
Worcester,3480000,705,331,47
State Totals,0,10549,5875,55.7
