2017-18  Graduates Attending Institutions of Higher Education (District) - Economically Disadvantaged - All Colleges and Universities,,,,
District Name,District Code,Low Income High School Graduates (#),Low Income Attending Coll./Univ. (#),Low Income Attending Coll./Univ. (%)
Abby Kelley Foster Charter Public (District),04450000,44,38,86.4
Abington,00010000,43,27,62.8
Academy Of the Pacific Rim Charter Public (District),04120000,23,20,87
Acton-Boxborough,06000000,51,41,80.4
Acushnet,00030000,1,,
Adams-Cheshire,06030000,37,22,59.5
Advanced Math and Science Academy Charter (District),04300000,14,,
Agawam,00050000,101,77,76.2
Amesbury,00070000,26,17,65.4
Amherst-Pelham,06050000,60,36,60
Andover,00090000,40,34,85
Arlington,00100000,61,49,80.3
Ashburnham-Westminster,06100000,30,26,86.7
Ashland,00140000,26,18,69.2
Assabet Valley Regional Vocational Technical,08010000,92,46,50
Athol-Royalston,06150000,50,25,50
Atlantis Charter (District),04910000,18,14,77.8
Attleboro,00160000,155,68,43.9
Auburn,00170000,35,28,80
Avon,00180000,18,15,83.3
Ayer Shirley School District,06160000,23,16,69.6
Barnstable,00200000,139,75,54
Bedford,00230000,35,27,77.1
Belchertown,00240000,22,13,59.1
Bellingham,00250000,38,14,36.8
Belmont,00260000,40,23,57.5
Berkshire Arts and Technology Charter Public (District),04140000,15,15,100
Berkshire Hills,06180000,40,25,62.5
Berlin-Boylston,06200000,15,8,53.3
Beverly,00300000,84,47,56
Billerica,00310000,49,26,53.1
Blackstone Valley Regional Vocational Technical,08050000,49,35,71.4
Blackstone-Millville,06220000,20,10,50
Blue Hills Regional Vocational Technical,08060000,61,32,52.5
Boston,00350000,2349,1462,62.2
Boston Collegiate Charter (District),04490000,17,14,82.4
Boston Day and Evening Academy Charter (District),04240000,47,17,36.2
Boston Green Academy Horace Mann Charter School (District),04110000,42,33,78.6
Boston Preparatory Charter Public (District),04160000,25,21,84
Bourne,00360000,42,25,59.5
Braintree,00400000,95,72,75.8
Bridgewater-Raynham,06250000,78,51,65.4
Bristol County Agricultural,09100000,25,9,36
Bristol-Plymouth Regional Vocational Technical,08100000,104,47,45.2
