2017-18 Plans of High School Graduates Report (District) ,,,,,,,,,,,,
District Name,District Code,4 Year Private College,4 Year Public College,2 Year Private College,2 Year Public College,Other Post Secondary,Apprenticeship,Work,Military,Other,Unknown,Total Count
Abby Kelley Foster Charter Public (District),04450000,  30.0,  48.9,   0.0,  16.7,   2.2,   0.0,   0.0,   1.1,   1.1,   0.0,      90
Abington,00010000,  25.2,  39.8,   0.0,  12.2,   0.8,   3.3,   8.9,   8.1,   0.0,   1.6,     123
Academy Of the Pacific Rim Charter Public (District),04120000,  40.5,  56.8,   0.0,   0.0,   2.7,   0.0,   0.0,   0.0,   0.0,   0.0,      37
Acton-Boxborough,06000000,  44.0,  45.3,   0.2,   7.3,   0.7,   0.0,   0.9,   0.0,   1.1,   0.4,     450
Acushnet,00030000,,,,,,,,,,,       1
Adams-Cheshire,06030000,  21.3,  30.0,   1.3,  26.3,   2.5,   0.0,  12.5,   2.5,   0.0,   3.8,      80
Advanced Math and Science Academy Charter (District),04300000,  42.6,  51.5,   0.0,   2.0,   0.0,   0.0,   1.0,   0.0,   2.0,   1.0,     101
Agawam,00050000,  28.4,  24.0,   0.0,  29.8,   0.0,   0.0,   8.4,   1.5,   1.8,   6.2,     275
Amesbury,00070000,  21.9,  41.6,   0.7,  26.3,   2.9,   0.0,   4.4,   0.0,   2.2,   0.0,     137
Amherst-Pelham,06050000,  44.1,  25.9,   0.5,  20.9,   1.4,   0.0,   4.5,   0.5,   0.5,   1.8,     220
Andover,00090000,  56.8,  31.4,   0.0,   5.1,   1.4,   0.0,   0.0,   1.2,   1.2,   2.9,     414
Arlington,00100000,  45.4,  39.0,   0.0,   7.0,   1.0,   0.0,   2.5,   1.3,   3.8,   0.0,     315
Ashburnham-Westminster,06100000,  24.0,  52.0,   0.6,  17.1,   0.0,   0.0,   4.0,   1.7,   0.0,   0.6,     175
Ashland,00140000,  38.9,  41.7,   0.0,  11.7,   0.0,   0.0,   6.1,   1.1,   0.0,   0.6,     180
Assabet Valley Regional Vocational Technical,08010000,  15.0,  21.1,   0.0,  22.7,   1.2,   2.4,  32.8,   4.9,   0.0,   0.0,     247
Athol-Royalston,06150000,  17.2,  13.8,   0.0,  34.5,   5.7,   0.0,  17.2,   3.4,   5.7,   2.3,      87
Atlantis Charter (District),04910000,  13.2,  44.7,   0.0,  42.1,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,      38
Attleboro,00160000,  26.1,  28.1,   0.2,  20.4,   3.4,   0.2,  14.4,   4.6,   1.2,   1.4,     417
