2017Staffing Retention Report,,,,,,,,,,
District Name,District Code,Superintendent Total,Superintendent # Retained,Superintendent % Retained,Principal Total,Principal # Retained,Principal % Retained,Teacher Total,Teacher # Retained,Teacher % Retained
Abby Kelley Foster Charter Public (District),04450000,1,1,100.0,       3,       3,100.0,     120,      95,79.2
Abington,00010000,1,1,100.0,       5,       3,60.0,     135,     125,92.6
Academy Of the Pacific Rim Charter Public (District),04120000,1,0,0.0,       2,       2,100.0,      46,      28,60.9
Acton-Boxborough,06000000,1,1,100.0,       8,       8,100.0,     381,     351,92.1
Acushnet,00030000,1,1,100.0,       2,       1,50.0,      70,      63,90.0
Adams-Cheshire,06030000,1,0,0.0,       3,       3,100.0,      94,      84,89.4
Advanced Math and Science Academy Charter (District),04300000,1,1,100.0,       1,       0,0.0,      82,      58,70.7
Agawam,00050000,1,1,100.0,       8,       7,87.5,     321,     295,91.9
Alma del Mar Charter School (District),04090000,1,1,100.0,       1,       0,0.0,      29,      20,69.0
Amesbury,00070000,1,1,100.0,       5,       4,80.0,     171,     153,89.5
Amherst,00080000,1,0,0.0,       3,       2,66.7,     125,     111,88.8
Amherst-Pelham,06050000,1,0,0.0,       2,       1,50.0,     129,     108,83.7
Andover,00090000,1,1,100.0,      10,       8,80.0,     482,     424,88.0
Argosy Collegiate Charter School (District),35090000,1,1,100.0,       1,       1,100.0,      17,       9,52.9
Arlington,00100000,1,1,100.0,      10,       9,90.0,     400,     352,88.0
Ashburnham-Westminster,06100000,1,1,100.0,       4,       4,100.0,     165,     146,88.5
Ashland,00140000,1,1,100.0,       5,       4,80.0,     188,     169,89.9
Assabet Valley Regional Vocational Technical,08010000,1,1,100.0,       1,       1,100.0,     108,      95,88.0
Athol-Royalston,06150000,1,0,0.0,       6,       4,66.7,     101,      85,84.2
Atlantis Charter (District),04910000,1,1,100.0,       3,       3,100.0,      74,      61,82.4
Attleboro,00160000,1,0,0.0,       9,       7,77.8,     393,     338,86.0
Auburn,00170000,1,1,100.0,       5,       5,100.0,     182,     168,92.3
Avon,00180000,1,1,100.0,       2,       1,50.0,      67,      53,79.1
Ayer Shirley School District,06160000,1,1,100.0,       4,       4,100.0,     139,     123,88.5
Barnstable,00200000,1,0,0.0,       8,       8,100.0,     393,     347,88.3
Barnstable Community Horace Mann Charter Public (District),04270000,1,0,0.0,       1,       0,0.0,      26,      20,76.9
Baystate Academy Charter Public School (District),35020000,1,1,100.0,       1,       1,100.0,      29,      20,69.0
Bedford,00230000,1,1,100.0,       4,       3,75.0,     238,     214,89.9
Belchertown,00240000,1,1,100.0,       5,       4,80.0,     174,     167,96.0
Bellingham,00250000,1,1,100.0,       6,       6,100.0,     165,     151,91.5
Belmont,00260000,1,1,100.0,       6,       5,83.3,     275,     239,86.9
Benjamin Banneker Charter Public (District),04200000,1,1,100.0,       1,       1,100.0,      21,      15,71.4
Benjamin Franklin Classical Charter Public (District),04470000,1,1,100.0,       1,       0,0.0,      28,      20,71.4
Bentley Academy Charter School (District),35110000,1,0,0.0,       1,       0,0.0,      30,      19,63.3
Berkley,00270000,1,1,100.0,       2,       2,100.0,      61,      59,96.7
Berkshire Arts and Technology Charter Public (District),04140000,1,1,100.0,       1,       1,100.0,      37,      28,75.7
Berkshire Hills,06180000,1,1,100.0,       3,       3,100.0,     118,     103,87.3
Berlin,00280000,1,1,100.0,       1,       1,100.0,      20,      15,75.0
Berlin-Boylston,06200000,1,1,100.0,       1,       1,100.0,      46,      45,97.8
Beverly,00300000,1,1,100.0,       8,       7,87.5,     328,     290,88.4
Billerica,00310000,1,1,100.0,       9,       7,77.8,     378,     343,90.7
