2017-18  Graduates Attending Institutions of Higher Education (District) - White - All Colleges and Universities,,,,
District Name,District Code,White High School Graduates (#),White Attending Coll./Univ. (#),White Attending Coll./Univ. (%)
Abby Kelley Foster Charter Public (District),04450000,23,21,91.3
Abington,00010000,103,74,71.8
Academy Of the Pacific Rim Charter Public (District),04120000,4,,
Acton-Boxborough,06000000,284,255,89.8
Acushnet,00030000,1,,
Adams-Cheshire,06030000,76,50,65.8
Advanced Math and Science Academy Charter (District),04300000,70,63,90
Agawam,00050000,243,192,79
Amesbury,00070000,128,107,83.6
Amherst-Pelham,06050000,129,108,83.7
Andover,00090000,319,282,88.4
Arlington,00100000,257,211,82.1
Ashburnham-Westminster,06100000,165,141,85.5
Ashland,00140000,134,117,87.3
Assabet Valley Regional Vocational Technical,08010000,203,95,46.8
Athol-Royalston,06150000,76,42,55.3
Atlantis Charter (District),04910000,27,21,77.8
Attleboro,00160000,310,198,63.9
Auburn,00170000,137,103,75.2
Avon,00180000,13,,
Ayer Shirley School District,06160000,64,51,79.7
Barnstable,00200000,260,204,78.5
Bedford,00230000,148,121,81.8
Belchertown,00240000,152,128,84.2
Bellingham,00250000,110,62,56.4
Belmont,00260000,238,200,84
Berkshire Arts and Technology Charter Public (District),04140000,25,24,96
Berkshire Hills,06180000,103,70,68
Berlin-Boylston,06200000,72,57,79.2
Beverly,00300000,278,206,74.1
Billerica,00310000,244,181,74.2
Blackstone Valley Regional Vocational Technical,08050000,285,229,80.4
Blackstone-Millville,06220000,84,56,66.7
Blue Hills Regional Vocational Technical,08060000,138,78,56.5
Boston,00350000,433,323,74.6
Boston Collegiate Charter (District),04490000,50,42,84
Boston Day and Evening Academy Charter (District),04240000,2,,
Boston Green Academy Horace Mann Charter School (District),04110000,3,,
Boston Preparatory Charter Public (District),04160000,2,,
Bourne,00360000,92,69,75
Braintree,00400000,325,269,82.8
Bridgewater-Raynham,06250000,312,245,78.5
Bristol County Agricultural,09100000,104,63,60.6
Bristol-Plymouth Regional Vocational Technical,08100000,239,131,54.8
Brockton,00440000,180,120,66.7
Brookline,00460000,283,214,75.6
Burlington,00480000,163,142,87.1
Cambridge,00490000,197,143,72.6
Canton,00500000,194,168,86.6
Cape Cod Regional Vocational Technical,08150000,115,46,40
Carver,00520000,98,82,83.7
Central Berkshire,06350000,103,77,74.8
Chelmsford,00560000,310,270,87.1
Chelsea,00570000,14,,
Chicopee,00610000,332,208,62.7
City on a Hill Charter Public School Circuit Street (District),04370000,3,,
City on a Hill Charter Public School New Bedford (District),35070000,8,,
Clinton,00640000,66,46,69.7
Cohasset,00650000,86,77,89.5
Concord-Carlisle,06400000,259,224,86.5
Danvers,00710000,209,177,84.7
Dartmouth,00720000,223,187,83.9
Dedham,00730000,111,87,78.4
Dennis-Yarmouth,06450000,137,103,75.2
Dighton-Rehoboth,06500000,182,134,73.6
Douglas,00770000,88,61,69.3
Dover-Sherborn,06550000,137,121,88.3
Dracut,00790000,154,127,82.5
Dudley-Charlton Reg,06580000,257,204,79.4
Duxbury,00820000,272,233,85.7
East Bridgewater,00830000,146,107,73.3
East Longmeadow,00870000,188,165,87.8
Easthampton,00860000,82,49,59.8
Easton,00880000,263,235,89.4
Edward M. Kennedy Academy for Health Careers (Horace Mann Charter) (District),04520000,2,,
Essex North Shore Agricultural and Technical School District,08170000,272,164,60.3
Everett,00930000,147,93,63.3
Fairhaven,00940000,127,101,79.5
