2018 Chapter 70 Foundation Budget and Net School Spending ,,,,,,,,
District Name,District Code,Required NSS,Actual NSS,Amount Over or Under Required,Actual NSS as % of Required,Foundation Budget,Public Actual NSS as % of Foundation,
Abington,00010000,"     $20,560,652.00","     $26,116,522.24","      $5,555,870.24",127,"     $19,699,144.43",133,
Acton-Boxborough,06000000,"     $56,905,169.56","     $76,620,627.90","     $19,715,458.34",135,"     $53,421,566.91",143,
Acushnet,00030000,"     $13,153,816.00","     $14,320,229.06","      $1,166,413.06",109,"     $11,736,546.35",122,
Adams-Cheshire,06030000,"     $15,813,831.00","     $17,364,727.86","      $1,550,896.86",110,"     $15,055,572.52",115,
Agawam,00050000,"     $41,389,204.81","     $58,320,233.05","     $16,931,028.24",141,"     $40,549,530.34",144,
Amesbury,00070000,"     $23,701,824.00","     $32,028,771.09","      $8,326,947.09",135,"     $22,137,199.05",145,
Amherst,00080000,"     $14,872,302.00","     $24,904,806.94","     $10,032,504.94",167,"     $11,871,248.34",210,
Amherst-Pelham,06050000,"     $21,121,666.00","     $28,636,486.57","      $7,514,820.57",136,"     $15,847,416.84",181,
Andover,00090000,"     $59,213,764.00","     $93,423,621.19","     $34,209,857.19",158,"     $59,213,763.71",158,
Arlington,00100000,"     $54,985,998.00","     $74,002,253.03","     $19,016,255.03",135,"     $54,501,493.56",136,
Ashburnham-Westminster,06100000,"     $22,109,678.00","     $25,705,459.95","      $3,595,781.95",116,"     $21,596,182.83",119,
Ashland,00140000,"     $25,477,877.00","     $34,302,374.17","      $8,824,497.17",135,"     $24,948,345.56",137,
Assabet Valley Regional Vocational Technical,08010000,"     $13,483,457.00","     $14,011,313.23","        $527,856.23",104,"     $13,483,457.12",104,
Athol-Royalston,06150000,"     $20,410,093.00","     $21,210,642.55","        $800,549.55",104,"     $18,603,786.77",114,
Attleboro,00160000,"     $69,820,307.00","     $72,576,107.64","      $2,755,800.64",104,"     $69,495,854.73",104,
Auburn,00170000,"     $24,064,548.00","     $31,020,805.33","      $6,956,257.33",129,"     $24,064,548.39",129,
Avon,00180000,"      $5,685,511.00","     $10,386,702.43","      $4,701,191.43",183,"      $5,634,205.66",184,
Ayer Shirley School District,06160000,"     $19,488,820.00","     $24,545,416.05","      $5,056,596.05",126,"     $17,859,764.73",137,
Barnstable,00200000,"     $58,056,833.00","     $75,058,097.69","     $17,001,264.69",129,"     $58,000,134.65",129,
Bedford,00230000,"     $26,915,525.00","     $44,742,991.62","     $17,827,466.62",166,"     $26,915,524.99",166,
Belchertown,00240000,"     $24,976,424.00","     $28,589,778.33","      $3,613,354.33",114,"     $23,338,797.01",122,
Bellingham,00250000,"     $23,852,188.00","     $31,908,983.92","      $8,056,795.92",134,"     $22,943,454.17",139,
Belmont,00260000,"     $42,643,515.00","     $55,816,787.76","     $13,173,272.76",131,"     $42,643,514.60",131,
Berkley,00270000,"      $7,654,531.00","      $8,092,501.00","        $437,970.00",106,"      $7,359,719.10",110,
Berkshire Hills,06180000,"     $12,474,857.00","     $22,058,264.22","      $9,583,407.22",177,"     $11,592,012.39",190,
Berlin,00280000,"      $1,793,484.00","      $3,449,549.43","      $1,656,065.43",192,"      $1,603,891.14",215,
Berlin-Boylston,06200000,"      $5,459,967.00","      $7,834,572.16","      $2,374,605.16",143,"      $5,247,616.05",149,
Beverly,00300000,"     $45,625,191.00","     $58,886,305.34","     $13,261,114.34",129,"     $45,588,032.86",129,
Billerica,00310000,"     $54,611,749.05","     $73,704,540.62","     $19,092,791.57",135,"     $49,374,269.01",149,
