2017-18 Advanced Placement Performance - All Subjects - Afr. Amer./Black,,,,,,,,,
District Name,District Code,tests_taken_black,score=1_black,score=2_black,score=3_black,score=4_black,score=5_black,%_score_1-2_black,%_score_3-5_black
Abington,00010000,       4,,,,,,,
Academy Of the Pacific Rim Charter Public (District),04120000,      30,      13,      12,       4,       1,       0,  83.3,  16.7
Acton-Boxborough,06000000,       2,,,,,,,
Adams-Cheshire,06030000,       4,,,,,,,
Advanced Math and Science Academy Charter (District),04300000,      14,       0,       1,       4,       3,       6,   7.1,  92.9
Agawam,00050000,       5,,,,,,,
Amherst-Pelham,06050000,       1,,,,,,,
Andover,00090000,      11,       0,       4,       7,       0,       0,  36.4,  63.6
Arlington,00100000,       2,,,,,,,
Ashburnham-Westminster,06100000,       2,,,,,,,
Ashland,00140000,       4,,,,,,,
Assabet Valley Regional Vocational Technical,08010000,       3,,,,,,,
Athol-Royalston,06150000,       1,,,,,,,
Atlantis Charter (District),04910000,       1,,,,,,,
Attleboro,00160000,      13,       3,       1,       7,       2,       0,  30.8,  69.2
Auburn,00170000,      10,       5,       1,       3,       1,       0,  60.0,  40.0
Avon,00180000,      15,       7,       6,       2,       0,       0,  86.7,  13.3
Ayer Shirley School District,06160000,      13,       1,       3,       6,       2,       1,  30.8,  69.2
Barnstable,00200000,      17,       5,       6,       3,       2,       1,  64.7,  35.3
Baystate Academy Charter Public School (District),35020000,       5,,,,,,,
Bedford,00230000,       1,,,,,,,
Belchertown,00240000,       6,,,,,,,
Bellingham,00250000,       1,,,,,,,
Belmont,00260000,      11,       0,       2,       6,       3,       0,  18.2,  81.8
Berkshire Arts and Technology Charter Public (District),04140000,       5,,,,,,,
Berkshire Hills,06180000,       2,,,,,,,
Beverly,00300000,       7,,,,,,,
Billerica,00310000,       7,,,,,,,
Blackstone Valley Regional Vocational Technical,08050000,       2,,,,,,,
Blue Hills Regional Vocational Technical,08060000,       3,,,,,,,
Boston,00350000,"   1,320",     633,     350,     220,      87,      30,  74.5,  25.5
Boston Collegiate Charter (District),04490000,      23,       5,       5,       9,       3,       1,  43.5,  56.5
Boston Green Academy Horace Mann Charter School (District),04110000,      47,      37,       8,       2,       0,       0,  95.7,   4.3
Boston Preparatory Charter Public (District),04160000,     106,      51,      37,      11,       7,       0,  83.0,  17.0
Braintree,00400000,       5,,,,,,,
Bridgewater-Raynham,06250000,      17,       1,       7,       7,       2,       0,  47.1,  52.9
Bristol-Plymouth Regional Vocational Technical,08100000,       2,,,,,,,
Brockton,00440000,     245,      93,      86,      47,      17,       2,  73.1,  26.9
Brooke Charter School (District),04280000,      29,      20,       6,       3,       0,       0,  89.7,  10.3
Brookline,00460000,      11,       0,       3,       3,       4,       1,  27.3,  72.7
Burlington,00480000,      13,       1,       3,       6,       1,       2,  30.8,  69.2
Cambridge,00490000,      64,      15,      20,      18,      10,       1,  54.7,  45.3
Canton,00500000,      16,       2,       6,       5,       2,       1,  50.0,  50.0
Cape Cod Regional Vocational Technical,08150000,       5,,,,,,,
Carver,00520000,       1,,,,,,,
Chelmsford,00560000,       9,,,,,,,
Chelsea,00570000,      28,      15,       6,       5,       2,       0,  75.0,  25.0
Chicopee,00610000,      11,       4,       4,       2,       1,       0,  72.7,  27.3
City on a Hill Charter Public School Circuit Street (District),04370000,      30,      26,       4,       0,       0,       0, 100.0,    .0
City on a Hill Charter Public School Dudley Square (District),35040000,      20,      11,       8,       1,       0,       0,  95.0,   5.0
Clinton,00640000,       4,,,,,,,
Codman Academy Charter Public (District),04380000,      14,      13,       1,       0,       0,       0, 100.0,    .0
Cohasset,00650000,       2,,,,,,,
Community Charter School of Cambridge (District),04360000,      72,      36,      26,       5,       4,       1,  86.1,  13.9
Concord-Carlisle,06400000,       1,,,,,,,
Danvers,00710000,       6,,,,,,,
Dartmouth,00720000,       2,,,,,,,
Dedham,00730000,      44,      11,      18,      10,       4,       1,  65.9,  34.1
Dennis-Yarmouth,06450000,       8,,,,,,,
Dover-Sherborn,06550000,       1,,,,,,,
Dracut,00790000,       9,,,,,,,
Dudley-Charlton Reg,06580000,       4,,,,,,,
Duxbury,00820000,       1,,,,,,,
East Bridgewater,00830000,      10,       5,       5,       0,       0,       0, 100.0,    .0
East Longmeadow,00870000,       5,,,,,,,
Easthampton,00860000,       4,,,,,,,
