2017-18 Advanced Placement Performance - All Subjects - Hispanic/Latino,,,,,,,,,
District Name,District Code,tests_taken_hispanic,score=1_hispanic,score=2_hispanic,score=3_hispanic,score=4_hispanic,score=5_hispanic,%_score_1-2_hispanic,%_score_3-5_hispanic
Abington,00010000,       6,,,,,,,
Academy Of the Pacific Rim Charter Public (District),04120000,      15,       7,       4,       3,       1,       0,  73.3,  26.7
Acton-Boxborough,06000000,      17,       0,       0,       1,       3,      13,    .0, 100.0
Adams-Cheshire,06030000,       4,,,,,,,
Advanced Math and Science Academy Charter (District),04300000,      11,       0,       1,       3,       1,       6,   9.1,  90.9
Agawam,00050000,      11,       0,       3,       4,       3,       1,  27.3,  72.7
Amesbury,00070000,       4,,,,,,,
Amherst-Pelham,06050000,      17,       1,       1,       3,       3,       9,  11.8,  88.2
Andover,00090000,      14,       0,       4,       5,       4,       1,  28.6,  71.4
Arlington,00100000,      39,       3,       4,      10,      10,      12,  17.9,  82.1
Ashburnham-Westminster,06100000,       2,,,,,,,
Ashland,00140000,      10,       0,       0,       1,       2,       7,    .0, 100.0
Assabet Valley Regional Vocational Technical,08010000,      15,       8,       1,       2,       2,       2,  60.0,  40.0
Athol-Royalston,06150000,       5,,,,,,,
Atlantis Charter (District),04910000,       4,,,,,,,
Attleboro,00160000,      33,      12,      13,       5,       2,       1,  75.8,  24.2
Auburn,00170000,      11,       0,       5,       6,       0,       0,  45.5,  54.5
Avon,00180000,       1,,,,,,,
Ayer Shirley School District,06160000,       8,,,,,,,
Barnstable,00200000,      34,       6,      11,       5,       4,       8,  50.0,  50.0
Baystate Academy Charter Public School (District),35020000,       8,,,,,,,
Bedford,00230000,      16,       1,       4,       4,       3,       4,  31.3,  68.8
Bellingham,00250000,      10,       1,       4,       5,       0,       0,  50.0,  50.0
Belmont,00260000,      13,       0,       1,       4,       4,       4,   7.7,  92.3
Berkshire Arts and Technology Charter Public (District),04140000,       3,,,,,,,
Berkshire Hills,06180000,       6,,,,,,,
Beverly,00300000,      15,       3,       2,       4,       5,       1,  33.3,  66.7
Billerica,00310000,       4,,,,,,,
Blackstone Valley Regional Vocational Technical,08050000,      17,       4,       3,       6,       2,       2,  41.2,  58.8
Blackstone-Millville,06220000,       6,,,,,,,
Blue Hills Regional Vocational Technical,08060000,       2,,,,,,,
Boston,00350000,"   1,200",     408,     329,     220,     153,      90,  61.4,  38.6
Boston Collegiate Charter (District),04490000,      27,       3,      10,       7,       6,       1,  48.1,  51.9
Boston Green Academy Horace Mann Charter School (District),04110000,      28,      21,       5,       1,       1,       0,  92.9,   7.1
Boston Preparatory Charter Public (District),04160000,      25,      11,       8,       5,       1,       0,  76.0,  24.0
Bourne,00360000,       6,,,,,,,
Braintree,00400000,      18,       1,       2,       4,      10,       1,  16.7,  83.3
Bristol-Plymouth Regional Vocational Technical,08100000,       4,,,,,,,
Brockton,00440000,      45,      11,      11,      12,       7,       4,  48.9,  51.1
Brooke Charter School (District),04280000,      22,      10,       7,       3,       0,       2,  77.3,  22.7
Brookline,00460000,      74,       0,       8,      17,      26,      23,  10.8,  89.2
Burlington,00480000,      14,       0,       3,       3,       4,       4,  21.4,  78.6
Cambridge,00490000,      35,       2,       7,       7,       8,      11,  25.7,  74.3
Canton,00500000,      15,       2,       7,       4,       2,       0,  60.0,  40.0
Cape Cod Regional Vocational Technical,08150000,       3,,,,,,,
Carver,00520000,       3,,,,,,,
Central Berkshire,06350000,       3,,,,,,,
