2017-18 Advanced Placement Performance - All Subjects - White,,,,,,,,,
District Name,District Code,tests_taken_white,score=1_white,score=2_white,score=3_white,score=4_white,score=5_white,%_score_1-2_white,%_score_3-5_white
Abington,00010000,     128,      11,      30,      51,      26,      10,  32.0,  68.0
Academy Of the Pacific Rim Charter Public (District),04120000,       2,,,,,,,
Acton-Boxborough,06000000,     429,       4,      20,      63,     161,     181,   5.6,  94.4
Adams-Cheshire,06030000,     133,      28,      60,      35,      10,       0,  66.2,  33.8
Advanced Math and Science Academy Charter (District),04300000,     213,       3,      15,      48,      57,      90,   8.5,  91.5
Agawam,00050000,     370,      33,     120,     124,      65,      28,  41.4,  58.6
Amesbury,00070000,     121,      13,      22,      33,      34,      19,  28.9,  71.1
Amherst-Pelham,06050000,     148,       5,      18,      37,      43,      45,  15.5,  84.5
Andover,00090000,     556,      22,      79,     162,     158,     135,  18.2,  81.8
Arlington,00100000,     733,      24,      87,     179,     252,     191,  15.1,  84.9
Ashburnham-Westminster,06100000,     155,      11,      57,      44,      30,      13,  43.9,  56.1
Ashland,00140000,     248,       0,       7,      28,      80,     133,   2.8,  97.2
Assabet Valley Regional Vocational Technical,08010000,     114,      38,      37,      32,       2,       5,  65.8,  34.2
Athol-Royalston,06150000,      77,      43,      21,      11,       2,       0,  83.1,  16.9
Atlantis Charter (District),04910000,      44,      18,      16,       6,       3,       1,  77.3,  22.7
Attleboro,00160000,     444,      70,     147,     140,      60,      27,  48.9,  51.1
Auburn,00170000,     266,      46,      81,      73,      54,      12,  47.7,  52.3
Avon,00180000,      22,       3,       2,      11,       5,       1,  22.7,  77.3
Ayer Shirley School District,06160000,     108,       3,      31,      35,      21,      18,  31.5,  68.5
Barnstable,00200000,     765,     124,     164,     215,     161,     101,  37.6,  62.4
Baystate Academy Charter Public School (District),35020000,       1,,,,,,,
Bedford,00230000,     165,       4,      12,      44,      50,      55,   9.7,  90.3
Belchertown,00240000,     122,       3,      22,      47,      31,      19,  20.5,  79.5
Bellingham,00250000,     135,      18,      43,      43,      24,       7,  45.2,  54.8
Belmont,00260000,     752,      10,      51,     174,     263,     254,   8.1,  91.9
Berkshire Arts and Technology Charter Public (District),04140000,      60,      13,      23,      10,      10,       4,  60.0,  40.0
Berkshire Hills,06180000,     112,       4,      12,      40,      31,      25,  14.3,  85.7
