Org Name,Org Code,Org Type,Title I Status,Function,Contact Name,Address 1,Address 2,Town,State,Zip,Phone,Fax
Abby Kelley Foster Charter Public (District),04450000,Charter District,Title I District,Charter School Leader,Heidi Paluk,10 New Bond Street,,Worcester,MA,01606,508-854-8400,508-854-8484
Abington,00010000,Public School District,Title I District,Superintendent,Peter Schafer,1071 Washington St.,,Abington,MA,02351,781-982-2150,781-982-2157
Academy Of the Pacific Rim Charter Public (District),04120000,Charter District,Title I District,Charter School Leader,Spencer Blasdale,1 Westinghouse Plaza Bldg B,,Hyde Park,MA,02136,617-361-0050,617-361-0045
Acton (non-op),00020000,Public School District,Non-Title I District,Superintendent,Peter Light,16 Charter Road,,Acton,MA,01720,978-264-4700,978-264-3340
Acton-Boxborough,06000000,Public School District,Title I District,Superintendent,Peter Light,15 Charter Rd,,Acton,MA,01720,978-264-4700,978-264-3340
Acushnet,00030000,Public School District,Title I District,Superintendent,Paula Bailey,708 Middle Road,Suite 1,Acushnet,MA,02743,508-998-0260,508-998-0262
Adams (non-op),00040000,Public School District,Non-Title I District,Superintendent,Kristen Gordon,191 Church Street,,Cheshire,MA,01225,413-743-2939,413-743-4135
Advanced Math and Science Academy Charter (District),04300000,Charter District,Title I District,Charter School Leader,Ellen Linzey,201 Forest Street,,Marlborough,MA,01752,508-597-2400,508-597-2499
Agawam,00050000,Public School District,Title I District,Superintendent,sheila Hoffman,1305 Springfield St,Suite 1,Feeding Hills,MA,01030,413-821-0548,413-789-1835
Alford (non-op),00060000,Public School District,Non-Title I District,Superintendent,Beth Regulbuto,PO Box 339,,Sheffield,MA,01257,413-229-8778,413-229-2913
Alma del Mar Charter School (District),04090000,Charter District,Title I District,Charter School Leader,Will Gardner,515 Belleville Ave,,New Bedford,MA,02746,508-542-7153,774-762-4680
Amesbury,00070000,Public School District,Title I District,Superintendent,Jared Fulgoni,5 Highland Street,,Amesbury,MA,01913,978-388-0507,978-388-8315
Amherst,00080000,Public School District,Title I District,Superintendent,Michael Morris,170 Chestnut Street,,Amherst,MA,01002,413-362-1810,413-549-6108
Amherst-Pelham,06050000,Public School District,Title I District,Superintendent,Michael Morris,170 Chestnut Street,,Amherst,MA,01002,413-362-1810,413-549-6108
Andover,00090000,Public School District,Title I District,Superintendent,Sheldon Berman,36 Bartlet Street,,Andover,MA,01810,978-623-8501,978-623-8505
Aquinnah (non-op),01040000,Public School District,Non-Title I District,Superintendent,Matthew D'Andrea,4 Pine Street,,Vineyard Haven,MA,02568,508-693-2007,508-693-3190
Argosy Collegiate Charter School (District),35090000,Charter District,Title I District,Charter School Leader,Kristen Pavao,263 Hamlet Street,,Fall River,MA,02724,508-567-4725,774-365-4383
Arlington,00100000,Public School District,Title I District,Superintendent,Kathleen Bodie,869 Massachusetts Avenue,,Arlington,MA,02476,781-316-3523,781-316-3509
Ashburnham (non-op),00110000,Public School District,Non-Title I District,Superintendent,Sandra Rehler,11 Oakmont Drive,,Ashburnham,MA,01430,978-827-1434,978-827-5969
Ashburnham-Westminster,06100000,Public School District,Title I District,Superintendent,Todd Stewart,11 Oakmont Drive,,Ashburnham,MA,01430,978-827-1434,978-827-5969
Ashby (non-op),00120000,Public School District,Non-Title I District,Superintendent,Brad Morgan,23 Main Street,,Townsend,MA,01469,978-597-8713,978-597-6534
Ashfield (non-op),00130000,Public School District,Non-Title I District,Superintendent,Michael Buoniconti,24 Ashfield Road,,Shelburne Falls,MA,01370,413-625-0192,413-625-0196
Ashland,00140000,Public School District,Title I District,Superintendent,James Adams,87 West Union Street,,Ashland,MA,01721,508-881-0150,508-881-0161
Assabet Valley Regional Vocational Technical,08010000,Public School District,Title I District,Superintendent,Ernest Houle,215 Fitchburg Street,,Marlborough,MA,01752,508-485-9430,508-460-3472
Athol (non-op),00150000,Public School District,Non-Title I District,Superintendent,Darcy Fernandes,P.O.Box 968,,Athol,MA,01331,978-249-2400,978-249-2402
Athol-Royalston,06150000,Public School District,Title I District,Superintendent,Darcy Fernandes,1062 Pleasant Street,,Athol,MA,01331,978-249-2400,978-249-2402
Atlantis Charter (District),04910000,Charter District,Title I District,Charter School Leader,Robert Beatty,991 Jefferson St,,Fall River,MA,02721,508-646-6410,508-672-3489
Attleboro,00160000,Public School District,Title I District,Superintendent,David Sawyer,100 Rathbun Willard Drive,,Attleboro,MA,02703,508-222-0012,508-223-1577
Auburn,00170000,Public School District,Title I District,Superintendent,Casey Handfield,5 West Street,,Auburn,MA,01501,508-832-7755,508-832-7757
Avon,00180000,Public School District,Title I District,Superintendent,Christine Godino,1 Patrick Clark Drive,,Avon,MA,02322,508-588-0230,508-559-1081
Ayer (non-op),00190000,Public School District,Non-Title I District,Superintendent,Mary Malone,141 Washington Street,,Ayer,MA,01432,978-772-8600,978-772-7444
Ayer Shirley School District,06160000,Public School District,Title I District,Superintendent,Mary Malone,115 Washington Street,,Ayer,MA,01432,978-772-8600,978-772-1863
Barnstable,00200000,Public School District,Title I District,Superintendent,Meg Mayo-Brown,P O Box 955,,Hyannis,MA,02601,508-862-4953,508-790-6454
Barre (non-op),00210000,Public School District,Non-Title I District,Superintendent,Sheila Muir,872 South Street,,Barre,MA,01005,978-355-4668,978-355-6756
Baystate Academy Charter Public School (District),35020000,Charter District,Title I District,Charter School Leader,Timothy Sneed,2001 Roosevelt Avenue,,Springfield,MA,01104,413-366-5103,413-366-5101
Becket (non-op),00220000,Public School District,Non-Title I District,Superintendent,Laurie Casna,PO Box 299,,Dalton,MA,01227,413-684-0320,413-684-4088
Bedford,00230000,Public School District,Title I District,Superintendent,Philip Conrad,97 McMahon Road,,Bedford,MA,01730,781-275-7588,781-275-0885
Belchertown,00240000,Public School District,Title I District,Superintendent,Brian Cameron,PO Box 841,,Belchertown,MA,01007,413-323-0423,413-323-0448
Bellingham,00250000,Public School District,Title I District,Superintendent,Peter Marano,4 Mechanic Street,,Bellingham,MA,02019,508-883-1706,508-966-2402
Belmont,00260000,Public School District,Title I District,Superintendent,John Phelan,644 Pleasant Street,,Belmont,MA,02478,617-993-5401,617-993-5409
Benjamin Banneker Charter Public (District),04200000,Charter District,Title I District,Charter School Leader,Sherley Bretous-Carre,21 Notre Dame Avenue,,Cambridge,MA,02140,617-497-7771,617-497-4223
Benjamin Franklin Classical Charter Public (District),04470000,Charter District,Title I District,Charter School Leader,Heather Zolnowski,500 Financial Park,,Franklin,MA,02038,508-541-3434,508-541-5396
Bentley Academy Charter School (District),35110000,Charter District,Title I District,Charter School Leader,Sean McCarthy,25 Memorial Drive,,Salem,MA,01970,978-740-1260,978-740-1164
Berkley,00270000,Public School District,Title I District,Superintendent,Thomas Lynch,21 North Main Street,,Berkley,MA,02779,508-822-5220,508-823-1772
Berkshire Arts and Technology Charter Public (District),04140000,Charter District,Title I District,Charter School Leader,James White,1 Commercial Pl,PO Box 267,Adams,MA,01220,413-743-7311,413-743-7327
Berkshire Hills,06180000,Public School District,Title I District,Superintendent,Peter Dillon,50 Main Street,PO Box 617,Stockbridge,MA,01262,413-298-4017,413-298-4672
Berlin (non-op),00280000,Public School District,Non-Title I District,Superintendent,Jeffrey Zanghi,215 Main Street,,Boylston,MA,01505,508-869-2837,508-869-0023
Berlin-Boylston,06200000,Public School District,Title I District,Superintendent,Jeffrey Zanghi,215 Main Street,,Boylston,MA,01505,508-869-2837,508-869-0023
Bernardston (non-op),00290000,Public School District,Non-Title I District,Superintendent,Jonathan Scagel,97 F Sumner Turner Rd,,Northfield,MA,01360,413-498-2911,413-498-0045
Beverly,00300000,Public School District,Title I District,Superintendent,Suzanne Charochak,70 Balch St.,,Beverly,MA,01915,978-921-6100,978-922-6597
Billerica,00310000,Public School District,Title I District,Superintendent,Timothy Piwowar,365 Boston Rd,,Billerica,MA,01821,978-528-7900,978-436-9595
Blackstone (non-op),00320000,Public School District,Non-Title I District,Superintendent,Jason Defalco,175 Lincoln Street,,Blackstone,MA,01504,508-883-4400,508-883-9892
Blackstone Valley Regional Vocational Technical,08050000,Public School District,Title I District,Superintendent,Michael Fitzpatrick,65 Pleasant Street,,Upton,MA,01568,508-529-7758,508-529-3079
Blackstone-Millville,06220000,Public School District,Title I District,Superintendent,Jason Defalco,175 Lincoln Street,,Blackstone,MA,01504,508-883-4400,508-883-9892
Blandford (non-op),00330000,Public School District,Non-Title I District,Superintendent,David Hopson,12 Littleville Road,,Huntington,MA,01050,413-685-1011,413-667-8739
Blue Hills Regional Vocational Technical,08060000,Public School District,Title I District,Superintendent,Jill Rossetti,800 Randolph Street,,Canton,MA,02021,781-828-5800,781-828-3872
Bolton (non-op),00340000,Public School District,Non-Title I District,Superintendent,Brooke Clenchy,50 Mechanic Street,,Bolton,MA,01740,978-779-0539,978-779-6812
Boston,00350000,Public School District,Title I District,Superintendent,Brenda Cassellius,2300 Washington Street,,Roxbury,MA,02119,617-635-9050,617-635-9059
Boston Collegiate Charter (District),04490000,Charter District,Title I District,Charter School Leader,Shannah Varon,11 Mayhew Street,,Dorchester,MA,02125,617-265-1172,617-265-1176
Boston Day and Evening Academy Charter (District),04240000,Charter District,Title I District,Charter School Leader,Alison Hramiec,20 Kearsarge Ave,,Roxbury,MA,02119,617-635-6789,617-635-6380
