2017-18 SAT Performance Report - High Needs,,,,,
District Name,District Code,sat_tests_taken_highneeds,reading_writing_highneeds,math_highneeds,math_highneeds
Abby Kelley Foster Charter Public (District),04450000,      46,504,,496
Abington,00010000,      39,526,,513
Academy Of the Pacific Rim Charter Public (District),04120000,       1,,,
Acton-Boxborough,06000000,      48,589,,614
Adams-Cheshire,06030000,      20,518,,497
Advanced Math and Science Academy Charter (District),04300000,      13,562,,613
Agawam,00050000,      55,517,,541
Amesbury,00070000,      20,537,,556
Amherst-Pelham,06050000,      57,534,,526
Andover,00090000,      78,531,,543
Arlington,00100000,      68,546,,530
Ashburnham-Westminster,06100000,      42,510,,509
Ashland,00140000,      45,503,,529
Assabet Valley Regional Vocational Technical,08010000,      65,486,,477
Athol-Royalston,06150000,      14,509,,488
Atlantis Charter (District),04910000,      18,484,,456
Attleboro,00160000,     100,521,,509
Auburn,00170000,      25,499,,502
Avon,00180000,      18,481,,462
Ayer Shirley School District,06160000,      23,530,,502
Barnstable,00200000,      68,538,,517
Baystate Academy Charter Public School (District),35020000,      21,428,,450
Bedford,00230000,      41,530,,527
Belchertown,00240000,      17,530,,529
Bellingham,00250000,      29,497,,488
Belmont,00260000,      52,546,,580
Berkshire Arts and Technology Charter Public (District),04140000,      13,565,,523
Berkshire Hills,06180000,      23,557,,507
Berlin-Boylston,06200000,      10,513,,563
Beverly,00300000,      63,519,,505
Billerica,00310000,      37,509,,510
Blackstone Valley Regional Vocational Technical,08050000,      47,543,,519
Blackstone-Millville,06220000,      14,516,,514
Blue Hills Regional Vocational Technical,08060000,      36,487,,461
Boston,00350000,"   2,536",459,,480
Boston Collegiate Charter (District),04490000,      34,526,,544
Boston Day and Evening Academy Charter (District),04240000,      25,454,,453
Boston Green Academy Horace Mann Charter School (District),04110000,      55,415,,418
Boston Preparatory Charter Public (District),04160000,      51,480,,497
Bourne,00360000,      28,539,,517
Braintree,00400000,     131,519,,539
Bridgewater-Raynham,06250000,      48,521,,520
Bristol County Agricultural,09100000,      13,490,,512
Bristol-Plymouth Regional Vocational Technical,08100000,      55,491,,480
Brockton,00440000,     349,481,,469
Brookline,00460000,     124,545,,561
Burlington,00480000,      45,501,,524
Cambridge,00490000,     196,505,,512
Canton,00500000,      47,524,,507
Cape Cod Regional Vocational Technical,08150000,      18,498,,482
Carver,00520000,      15,557,,515
Central Berkshire,06350000,      32,531,,536
Chelmsford,00560000,      73,523,,531
Chelsea,00570000,     149,473,,460
Chicopee,00610000,     111,533,,523
City on a Hill Charter Public School Circuit Street (District),04370000,      11,454,,478
City on a Hill Charter Public School Dudley Square (District),35040000,      19,476,,483
City on a Hill Charter Public School New Bedford (District),35070000,       1,,,
Clinton,00640000,      42,491,,482
Codman Academy Charter Public (District),04380000,      25,421,,394
Cohasset,00650000,      21,506,,505
Community Charter School of Cambridge (District),04360000,      48,499,,544
Concord-Carlisle,06400000,      57,562,,570
Danvers,00710000,      45,496,,486
Dartmouth,00720000,      42,502,,484
Dedham,00730000,      44,494,,513
Dennis-Yarmouth,06450000,      67,507,,491
Dighton-Rehoboth,06500000,      21,526,,500
Douglas,00770000,      12,550,,522
Dover-Sherborn,06550000,      31,575,,562
Dracut,00790000,      27,530,,533
Dudley-Charlton Reg,06580000,      47,558,,568
Duxbury,00820000,      40,547,,534
East Bridgewater,00830000,      16,489,,446
East Longmeadow,00870000,      38,528,,534
Easthampton,00860000,      16,543,,518
Easton,00880000,      73,521,,518
Edward M. Kennedy Academy for Health Careers (Horace Mann Charter) (District),04520000,      95,441,,452
Essex North Shore Agricultural and Technical School District,08170000,      86,505,,483
Everett,00930000,     252,470,,465
Excel Academy Charter (District),04100000,      52,468,,493
Fairhaven,00940000,      26,531,,532
Fall River,00950000,     265,458,,458
Falmouth,00960000,      41,531,,532
Fitchburg,00970000,     184,451,,439
Four Rivers Charter Public (District),04130000,       8,,,
Foxborough,00990000,      36,507,,510
Foxborough Regional Charter (District),04460000,      11,527,,510
Framingham,01000000,     133,502,,529
Francis W. Parker Charter Essential (District),04780000,      14,514,,485
Franklin,01010000,      65,503,,496
Franklin County Regional Vocational Technical,08180000,       7,,,
Freetown-Lakeville,06650000,      14,477,,481
Frontier,06700000,       8,,,
Gardner,01030000,      52,472,,474
Gateway,06720000,       8,,,
Georgetown,01050000,      20,534,,548
Gill-Montague,06740000,      10,544,,522
Global Learning Charter Public (District),04960000,      22,460,,468
Gloucester,01070000,      56,516,,518
Grafton,01100000,      25,514,,500
Granby,01110000,       6,,,
Greater Fall River Regional Vocational Technical,08210000,      61,482,,488
Greater Lawrence Regional Vocational Technical,08230000,     124,446,,461
Greater Lowell Regional Vocational Technical,08280000,      74,469,,466
Greater New Bedford Regional Vocational Technical,08250000,     117,490,,472
Greenfield,01140000,      17,568,,559
Groton-Dunstable,06730000,      29,550,,550
Hadley,01170000,       5,,,
Hamilton-Wenham,06750000,      22,555,,535
Hampden Charter School of Science East (District),04990000,      20,521,,542
Hampden-Wilbraham,06800000,      38,487,,462
Hampshire,06830000,      16,518,,534
Hanover,01220000,      48,493,,467
Harvard,01250000,      17,554,,542
Hatfield,01270000,       5,,,
Haverhill,01280000,      55,508,,511
Hingham,01310000,      43,546,,528
Holbrook,01330000,      15,503,,492
Holliston,01360000,      33,556,,572
Holyoke,01370000,      68,488,,490
Hopedale,01380000,      20,516,,512
Hopkinton,01390000,      46,525,,531
Hudson,01410000,      32,501,,505
Hull,01420000,      21,522,,518
Innovation Academy Charter (District),04350000,      26,503,,508
Ipswich,01440000,      17,524,,514
KIPP Academy Lynn Charter (District),04290000,      14,514,,547
King Philip,06900000,      46,527,,527
Kingston,01450000,       1,,,
Lawrence,01490000,     337,453,,467
Lee,01500000,      14,554,,555
Leicester,01510000,      23,480,,495
Lenox,01520000,      13,520,,491
Leominster,01530000,      92,512,,512
Lexington,01550000,     118,565,,600
Lincoln-Sudbury,06950000,      65,534,,531
Littleton,01580000,      28,507,,520
Longmeadow,01590000,      46,519,,527
Lowell,01600000,     268,489,,500
Ludlow,01610000,      24,538,,534
Lunenburg,01620000,      19,553,,533
Lynn,01630000,     287,472,,469
Lynnfield,01640000,      38,507,,499
MATCH Charter Public School (District),04690000,      40,456,,500
Ma Academy for Math and Science,04680000,       2,,,
Malden,01650000,     235,488,,531
Manchester Essex Regional,06980000,      23,549,,550
Mansfield,01670000,      38,517,,518
Marblehead,01680000,      75,538,,517
Marlborough,01700000,      61,503,,499
Marshfield,01710000,      87,532,,520
Martha's Vineyard,07000000,      67,506,,492
Martha's Vineyard Charter (District),04660000,       6,,,
Masconomet,07050000,      63,523,,495
Mashpee,01720000,      26,542,,518
Massachusetts Virtual Academy at Greenfield Commonwealth Virtual District,39010000,      10,526,,460
Maynard,01740000,      15,529,,495
Medfield,01750000,      31,512,,519
Medford,01760000,     111,504,,508
Medway,01770000,      34,529,,502
Melrose,01780000,      73,482,,470
Mendon-Upton,07100000,      34,532,,508
Methuen,01810000,      90,493,,487
Middleborough,01820000,      42,525,,519
Milford,01850000,      72,506,,486
Millbury,01860000,      25,501,,519
Millis,01870000,      18,497,,498
Milton,01890000,      65,515,,527
