"2018 Per Pupil Expenditures, All Funds ",,,,,,,,
District Name,District Code,In-District Expenditures,Total In-district FTEs,In-District Expenditures per Pupil,Total Expenditures,Total Pupil FTEs,Total Expenditures per Pupil,
Abby Kelley Foster Charter Public (District),04450000,"20,082,710.55","           1,424.9","14,094.02","20,082,710.55","           1,424.9","14,094.02",
Abington,00010000,"27,401,268.00","           2,035.6","13,461.03","31,082,174.00","           2,139.6","14,527.10",
Academy Of the Pacific Rim Charter Public (District),04120000,"10,228,767.00",             525.1,"19,478.91","10,228,767.00",             525.1,"19,478.91",
Acton-Boxborough,06000000,"81,006,085.00","           5,632.3","14,382.42","90,445,894.00","           5,761.7","15,697.78",
Acushnet,00030000,"12,335,200.00",             970.4,"12,711.46","16,266,438.00","           1,285.8","12,650.83",
Adams-Cheshire,06030000,"18,900,558.00","           1,202.2","15,721.64","21,089,177.00","           1,418.1","14,871.43",
Advanced Math and Science Academy Charter (District),04300000,"14,976,389.43",             990.2,"15,125.37","14,976,389.43",             990.2,"15,125.37",
Agawam,00050000,"61,066,266.00","           3,840.1","15,902.26","66,245,260.00","           3,955.6","16,747.21",
Alma del Mar Charter School (District),04090000,"6,596,129.50",             408.1,"16,163.81","6,596,129.50",             408.1,"16,163.81",
Amesbury,00070000,"33,209,081.00","           2,122.7","15,644.74","37,327,984.00","           2,268.4","16,455.64",
Amherst,00080000,"25,555,099.00","           1,162.6","21,980.99","27,591,636.00","           1,270.5","21,717.15",
Amherst-Pelham,06050000,"29,334,476.00","           1,341.7","21,863.66","33,478,447.00","           1,511.4","22,150.62",
Andover,00090000,"100,499,377.00","           5,955.0","16,876.47","109,339,466.00","           6,079.2","17,985.83",
Argosy Collegiate Charter School (District),35090000,"5,742,052.87",             397.1,"14,458.87","5,742,052.87",             397.1,"14,458.87",
Arlington,00100000,"76,491,851.00","           5,712.6","13,390.02","85,549,467.00","           5,861.9","14,594.15",
Ashburnham-Westminster,06100000,"29,429,293.00","           2,375.5","12,388.67","30,732,880.00","           2,454.1","12,523.08",
Ashland,00140000,"37,488,089.00","           2,762.3","13,571.33","41,303,476.00","           2,854.5","14,469.60",
Assabet Valley Regional Vocational Technical,08010000,"22,862,408.00","           1,138.8","20,075.88","22,950,059.00","           1,139.8","20,135.16",
Athol-Royalston,06150000,"21,625,737.00","           1,497.8","14,438.33","26,165,146.00","           1,884.0","13,888.08",
Atlantis Charter (District),04910000,"15,453,770.00","           1,209.8","12,774.14","15,453,770.00","           1,209.8","12,774.14",
Attleboro,00160000,"78,205,507.00","           5,881.7","13,296.41","86,732,846.00","           6,349.8","13,659.15",
Auburn,00170000,"34,387,611.00","           2,591.8","13,267.85","35,654,327.00","           2,648.2","13,463.61",
Avon,00180000,"11,523,146.00",             723.6,"15,924.75","12,450,159.00",             744.5,"16,722.85",
Ayer Shirley School District,06160000,"24,145,637.00","           1,693.1","14,261.20","28,813,992.00","           1,943.1","14,828.88",
Barnstable,00200000,"77,871,234.00","           4,833.4","16,111.07","88,673,255.00","           5,625.6","15,762.45",
Barnstable Community Horace Mann Charter Public (District),04270000,"3,769,775.00",             303.1,"12,439.45","3,769,775.00",             303.1,"12,439.45",
Baystate Academy Charter Public School (District),35020000,"7,060,859.00",             440.7,"16,021.92","7,060,859.00",             440.7,"16,021.92",
Bedford,00230000,"46,308,485.00","           2,631.9","17,595.08","50,864,773.00","           2,690.8","18,903.22",
Belchertown,00240000,"30,556,572.00","           2,306.0","13,250.90","33,760,553.00","           2,486.9","13,575.36",
Bellingham,00250000,"34,045,801.00","           2,265.6","15,027.28","38,570,307.00","           2,475.4","15,581.44",
Belmont,00260000,"58,317,102.00","           4,578.9","12,736.05","66,904,968.00","           4,696.3","14,246.31",
Benjamin Banneker Charter Public (District),04200000,"7,929,866.11",             350.6,"22,617.99","7,929,866.11",             350.6,"22,617.99",
Benjamin Franklin Classical Charter Public (District),04470000,"6,434,071.75",             445.2,"14,453.72","6,434,071.75",             445.2,"14,453.72",
Bentley Academy Charter School (District),35110000,"4,149,178.42",             286.0,"14,507.59","4,149,178.42",             286.0,"14,507.59",
Berkley,00270000,"10,481,830.00",             921.7,"11,372.28","10,759,763.00",             933.8,"11,522.56",
Berkshire Arts and Technology Charter Public (District),04140000,"6,098,146.14",             350.7,"17,389.49","6,098,146.14",             350.7,"17,389.49",
Berkshire Hills,06180000,"25,890,990.00","           1,239.4","20,889.94","28,126,287.00","           1,360.8","20,668.93",
Berlin,00280000,"3,858,674.00",             181.1,"21,306.87","3,953,392.00",             187.5,"21,084.76",
Berlin-Boylston,06200000,"8,334,298.00",             588.2,"14,169.16","10,108,002.00",             636.4,"15,883.10",
