2017-18 SAT Performance Report - All Students,,,,
District Name,District Code,sat_tests_taken_all,reading_writing_all,math_all
Abby Kelley Foster Charter Public (District),4450000,119,536,526
Abington,10000,139,550,535
Academy Of the Pacific Rim Charter Public (District),4120000,2,,
Acton-Boxborough,6000000,419,656,684
Adams-Cheshire,6030000,76,522,522
Advanced Math and Science Academy Charter (District),4300000,156,631,676
Agawam,50000,245,548,555
Amesbury,70000,148,571,574
Amherst-Pelham,6050000,193,604,591
Andover,90000,512,600,603
Arlington,100000,404,610,602
Ashburnham-Westminster,6100000,209,549,547
Ashland,140000,211,581,605
Assabet Valley Regional Vocational Technical,8010000,172,513,498
Athol-Royalston,6150000,35,531,515
Atlantis Charter (District),4910000,50,523,494
Attleboro,160000,380,555,546
Auburn,170000,193,551,540
Avon,180000,38,513,497
Ayer Shirley School District,6160000,104,554,551
Barnstable,200000,341,566,557
Baystate Academy Charter Public School (District),35020000,30,443,453
Bedford,230000,229,596,592
Belchertown,240000,146,570,569
Bellingham,250000,131,534,534
Belmont,260000,366,618,638
Berkshire Arts and Technology Charter Public (District),4140000,35,568,533
Berkshire Hills,6180000,120,594,560
Berlin-Boylston,6200000,97,570,592
Beverly,300000,321,565,551
Billerica,310000,315,547,555
Blackstone Valley Regional Vocational Technical,8050000,349,562,552
Blackstone-Millville,6220000,89,537,535
Blue Hills Regional Vocational Technical,8060000,117,505,497
Boston,350000,"4,119",496,513
Boston Collegiate Charter (District),4490000,100,550,561
Boston Day and Evening Academy Charter (District),4240000,35,472,461
Boston Green Academy Horace Mann Charter School (District),4110000,72,431,429
Boston Preparatory Charter Public (District),4160000,101,489,517
Bourne,360000,119,552,545
Braintree,400000,509,570,583
Bridgewater-Raynham,6250000,431,555,561
Bristol County Agricultural,9100000,95,542,525
Bristol-Plymouth Regional Vocational Technical,8100000,169,519,506
Brockton,440000,684,501,488
Brookline,460000,503,622,637
Burlington,480000,293,562,562
Cambridge,490000,558,570,572
Canton,500000,294,576,584
Cape Cod Regional Vocational Technical,8150000,58,504,493
Carver,520000,85,555,546
Central Berkshire,6350000,128,553,546
Chelmsford,560000,423,581,592
Chelsea,570000,222,481,468
Chicopee,610000,286,539,527
City on a Hill Charter Public School Circuit Street (District),4370000,19,473,483
City on a Hill Charter Public School Dudley Square (District),35040000,25,476,484
City on a Hill Charter Public School New Bedford (District),35070000,1,,
Clinton,640000,115,520,505
Codman Academy Charter Public (District),4380000,38,440,418
Cohasset,650000,142,593,591
Community Charter School of Cambridge (District),4360000,93,509,542
Concord-Carlisle,6400000,305,631,644
Danvers,710000,254,548,549
Dartmouth,720000,274,564,546
Dedham,730000,198,558,574
Dennis-Yarmouth,6450000,218,548,529
