2017-18 SAT Performance Report - Afr. Amer./Black,,,,,
District Name,District Code,sat_tests_taken_black,reading_writing_black,math_black,math_black
Abby Kelley Foster Charter Public (District),04450000,      56,511,,500
Abington,00010000,       3,,,
Academy Of the Pacific Rim Charter Public (District),04120000,       2,,,
Acton-Boxborough,06000000,       8,,,
Adams-Cheshire,06030000,       3,,,
Advanced Math and Science Academy Charter (District),04300000,       6,,,
Agawam,00050000,       3,,,
Amesbury,00070000,       1,,,
Amherst-Pelham,06050000,      14,481,,462
Andover,00090000,       9,,,
Arlington,00100000,      12,478,,480
Ashburnham-Westminster,06100000,       1,,,
Ashland,00140000,       7,,,
Assabet Valley Regional Vocational Technical,08010000,       2,,,
Atlantis Charter (District),04910000,       3,,,
Attleboro,00160000,      24,491,,462
Auburn,00170000,       6,,,
Avon,00180000,      19,499,,489
Ayer Shirley School District,06160000,      10,560,,590
Barnstable,00200000,      19,471,,486
Baystate Academy Charter Public School (District),35020000,       8,,,
Bedford,00230000,      19,492,,479
Belchertown,00240000,       5,,,
Bellingham,00250000,       3,,,
Belmont,00260000,      18,498,,516
Berkshire Arts and Technology Charter Public (District),04140000,       4,,,
Berlin-Boylston,06200000,       2,,,
Beverly,00300000,       6,,,
Billerica,00310000,       6,,,
Blackstone Valley Regional Vocational Technical,08050000,       1,,,
Blue Hills Regional Vocational Technical,08060000,      29,487,,469
Boston,00350000,"   1,464",461,,468
Boston Collegiate Charter (District),04490000,      21,523,,532
Boston Day and Evening Academy Charter (District),04240000,      14,454,,439
Boston Green Academy Horace Mann Charter School (District),04110000,      41,431,,430
Boston Preparatory Charter Public (District),04160000,      77,489,,516
Bourne,00360000,       2,,,
Braintree,00400000,      17,507,,506
Bridgewater-Raynham,06250000,      14,522,,509
Bristol-Plymouth Regional Vocational Technical,08100000,       4,,,
Brockton,00440000,     439,483,,470
Brookline,00460000,      39,511,,517
Burlington,00480000,      13,518,,491
Cambridge,00490000,     170,481,,487
Canton,00500000,      23,510,,491
Cape Cod Regional Vocational Technical,08150000,       4,,,
Carver,00520000,       1,,,
Central Berkshire,06350000,       4,,,
Chelmsford,00560000,      10,557,,562
Chelsea,00570000,      16,461,,464
Chicopee,00610000,      11,504,,469
City on a Hill Charter Public School Circuit Street (District),04370000,      10,470,,465
City on a Hill Charter Public School Dudley Square (District),35040000,      12,474,,471
Clinton,00640000,       3,,,
Codman Academy Charter Public (District),04380000,      27,440,,409
Cohasset,00650000,       4,,,
Community Charter School of Cambridge (District),04360000,      60,499,,528
Concord-Carlisle,06400000,      11,517,,517
Danvers,00710000,       5,,,
Dartmouth,00720000,       4,,,
Dedham,00730000,      18,507,,537
Dennis-Yarmouth,06450000,      16,474,,461
Dighton-Rehoboth,06500000,       2,,,
Dover-Sherborn,06550000,       2,,,
Dracut,00790000,       7,,,
Dudley-Charlton Reg,06580000,       5,,,
Duxbury,00820000,       1,,,
East Bridgewater,00830000,       6,,,
East Longmeadow,00870000,       7,,,
Easthampton,00860000,       2,,,
Easton,00880000,      16,541,,529
Edward M. Kennedy Academy for Health Careers (Horace Mann Charter) (District),04520000,      50,454,,453
Essex North Shore Agricultural and Technical School District,08170000,       5,,,
Everett,00930000,     121,466,,462
Excel Academy Charter (District),04100000,      15,468,,487
Fairhaven,00940000,       2,,,
Fall River,00950000,      40,472,,468
Falmouth,00960000,       4,,,
Fitchburg,00970000,      29,462,,438
Foxborough,00990000,      13,515,,499
Foxborough Regional Charter (District),04460000,      24,530,,497
Framingham,01000000,      32,489,,512
Franklin,01010000,       7,,,
Frontier,06700000,       1,,,
Gardner,01030000,       2,,,
Gill-Montague,06740000,       1,,,
Global Learning Charter Public (District),04960000,       7,,,
Gloucester,01070000,       3,,,
Grafton,01100000,       2,,,
Greater Fall River Regional Vocational Technical,08210000,       3,,,
Greater Lawrence Regional Vocational Technical,08230000,       4,,,
Greater Lowell Regional Vocational Technical,08280000,       7,,,
Greater New Bedford Regional Vocational Technical,08250000,      36,459,,446
Groton-Dunstable,06730000,       3,,,
Hampden Charter School of Science East (District),04990000,       9,,,
Hampden-Wilbraham,06800000,       6,,,
Harvard,01250000,       4,,,
Haverhill,01280000,      10,518,,530
Hingham,01310000,       3,,,
Holbrook,01330000,      16,456,,471
Holliston,01360000,       1,,,
Holyoke,01370000,       6,,,
Hopkinton,01390000,       2,,,
Hudson,01410000,       3,,,
Innovation Academy Charter (District),04350000,       3,,,
KIPP Academy Lynn Charter (District),04290000,      14,545,,520
King Philip,06900000,       5,,,
Kingston,01450000,       1,,,
Lawrence,01490000,       9,,,
Leicester,01510000,       7,,,
Lenox,01520000,       1,,,
Leominster,01530000,      42,505,,510
Lexington,01550000,      28,528,,531
Lincoln-Sudbury,06950000,      21,476,,494
Littleton,01580000,       2,,,
Longmeadow,01590000,       4,,,
Lowell,01600000,     102,486,,474
Ludlow,01610000,       2,,,
Lunenburg,01620000,       3,,,
Lynn,01630000,      95,470,,463
Lynnfield,01640000,       3,,,
MATCH Charter Public School (District),04690000,      40,462,,491
Malden,01650000,      95,476,,479
Mansfield,01670000,      10,538,,546
Marblehead,01680000,      13,488,,476
Marlborough,01700000,       7,,,
Marshfield,01710000,       3,,,
Martha's Vineyard,07000000,       7,,,
Masconomet,07050000,       2,,,
Mashpee,01720000,       4,,,
Maynard,01740000,       7,,,
Medfield,01750000,       3,,,
Medford,01760000,      49,486,,483
Medway,01770000,       5,,,
Melrose,01780000,      30,489,,483
Mendon-Upton,07100000,       3,,,
Methuen,01810000,       2,,,
Middleborough,01820000,       4,,,
Milford,01850000,       6,,,
Millis,01870000,       4,,,
Milton,01890000,      58,511,,510
Minuteman Regional Vocational Technical,08300000,       5,,,
Monomoy Regional School District,07120000,       6,,,
Montachusett Regional Vocational Technical,08320000,       3,,,
Mystic Valley Regional Charter (District),04700000,      13,524,,552
Nantucket,01970000,      24,488,,458
Nashoba,07250000,       5,,,
Natick,01980000,      20,491,,481
Nauset,06600000,       6,,,
Needham,01990000,      15,489,,483
New Bedford,02010000,      32,441,,456
Newburyport,02040000,       2,,,
Newton,02070000,      43,523,,519
Norfolk County Agricultural,09150000,       5,,,
North Adams,02090000,       3,,,
North Andover,02110000,      18,493,,491
North Attleborough,02120000,      11,519,,537
Northampton,02100000,       5,,,
Northampton-Smith Vocational Agricultural,04060000,       1,,,
Northboro-Southboro,07300000,       3,,,
Northbridge,02140000,       2,,,
Northeast Metropolitan Regional Vocational Technical,08530000,       9,,,
Norton,02180000,       3,,,
Norwood,02200000,      26,526,,516
Old Rochester,07400000,       4,,,
Oxford,02260000,       3,,,
Palmer,02270000,       1,,,
Peabody,02290000,      13,486,,499
