2017-18 SAT Performance Report - Male,,,,,
District Name,District Code,sat_tests_taken_male,reading_writing_male,math_male,math_male
Abby Kelley Foster Charter Public (District),04450000,      52,527,,534
Abington,00010000,      52,544,,535
Academy Of the Pacific Rim Charter Public (District),04120000,       1,,,
Acton-Boxborough,06000000,     230,652,,693
Adams-Cheshire,06030000,      23,538,,555
Advanced Math and Science Academy Charter (District),04300000,      78,620,,691
Agawam,00050000,     110,552,,571
Amesbury,00070000,      86,568,,583
Amherst-Pelham,06050000,     102,610,,603
Andover,00090000,     233,596,,614
Arlington,00100000,     208,614,,614
Ashburnham-Westminster,06100000,      91,551,,570
Ashland,00140000,      96,571,,605
Assabet Valley Regional Vocational Technical,08010000,      95,510,,508
Athol-Royalston,06150000,      13,548,,539
Atlantis Charter (District),04910000,      20,515,,504
Attleboro,00160000,     173,557,,558
Auburn,00170000,      89,552,,562
Avon,00180000,      11,517,,528
Ayer Shirley School District,06160000,      46,551,,570
Barnstable,00200000,     153,571,,582
Baystate Academy Charter Public School (District),35020000,      15,449,,466
Bedford,00230000,     113,599,,604
Belchertown,00240000,      76,578,,581
Bellingham,00250000,      60,534,,562
Belmont,00260000,     178,606,,640
Berkshire Arts and Technology Charter Public (District),04140000,      10,574,,582
Berkshire Hills,06180000,      55,587,,575
Berlin-Boylston,06200000,      43,575,,599
Beverly,00300000,     130,559,,559
Billerica,00310000,     148,544,,568
Blackstone Valley Regional Vocational Technical,08050000,     168,571,,577
Blackstone-Millville,06220000,      30,522,,557
Blue Hills Regional Vocational Technical,08060000,      49,512,,511
Boston,00350000,"   1,867",493,,519
Boston Collegiate Charter (District),04490000,      37,535,,568
Boston Day and Evening Academy Charter (District),04240000,      13,498,,491
Boston Green Academy Horace Mann Charter School (District),04110000,      31,425,,431
Boston Preparatory Charter Public (District),04160000,      56,494,,532
Bourne,00360000,      50,563,,566
Braintree,00400000,     246,572,,598
Bridgewater-Raynham,06250000,     184,550,,572
Bristol County Agricultural,09100000,      18,539,,542
Bristol-Plymouth Regional Vocational Technical,08100000,      74,531,,518
Brockton,00440000,     269,497,,499
Brookline,00460000,     255,617,,646
Burlington,00480000,     127,562,,574
Cambridge,00490000,     274,568,,581
Canton,00500000,     140,573,,593
Cape Cod Regional Vocational Technical,08150000,      32,500,,498
Carver,00520000,      30,575,,577
Central Berkshire,06350000,      62,538,,550
Chelmsford,00560000,     211,582,,605
Chelsea,00570000,      77,470,,473
Chicopee,00610000,      99,541,,546
City on a Hill Charter Public School Circuit Street (District),04370000,       2,,,
City on a Hill Charter Public School Dudley Square (District),35040000,       6,,,
City on a Hill Charter Public School New Bedford (District),35070000,       1,,,
Clinton,00640000,      40,530,,529
Codman Academy Charter Public (District),04380000,      16,456,,454
Cohasset,00650000,      80,593,,602
Community Charter School of Cambridge (District),04360000,      50,529,,567
Concord-Carlisle,06400000,     137,630,,654
Danvers,00710000,     122,546,,565
Dartmouth,00720000,     110,554,,557
Dedham,00730000,     103,558,,577
Dennis-Yarmouth,06450000,      97,542,,540
Dighton-Rehoboth,06500000,      90,560,,553
Douglas,00770000,      44,564,,563
Dover-Sherborn,06550000,      90,630,,656
Dracut,00790000,      86,557,,584
Dudley-Charlton Reg,06580000,     123,574,,596
Duxbury,00820000,     166,597,,601
East Bridgewater,00830000,      59,522,,513
East Longmeadow,00870000,      99,556,,572
Easthampton,00860000,      35,571,,565
Easton,00880000,     166,566,,582
Edward M. Kennedy Academy for Health Careers (Horace Mann Charter) (District),04520000,      43,464,,484
Essex North Shore Agricultural and Technical School District,08170000,     103,530,,526
Everett,00930000,     193,479,,495
Excel Academy Charter (District),04100000,      47,492,,523
Fairhaven,00940000,      55,546,,574
Fall River,00950000,     217,490,,496
Falmouth,00960000,      97,563,,577
Fitchburg,00970000,     171,471,,469
Four Rivers Charter Public (District),04130000,      10,598,,573
Foxborough,00990000,     131,569,,581
Foxborough Regional Charter (District),04460000,      31,598,,566
Framingham,01000000,     223,561,,610
Francis W. Parker Charter Essential (District),04780000,      33,595,,571
Franklin,01010000,     273,570,,586
Franklin County Regional Vocational Technical,08180000,       8,,,
Freetown-Lakeville,06650000,      75,577,,587
Frontier,06700000,      43,579,,585
Gardner,01030000,      55,508,,506
Gateway,06720000,      12,556,,568
Georgetown,01050000,      60,565,,585
Gill-Montague,06740000,      15,522,,540
Global Learning Charter Public (District),04960000,      18,522,,501
Gloucester,01070000,      95,548,,566
Grafton,01100000,     113,576,,595
Granby,01110000,      15,567,,575
Greater Fall River Regional Vocational Technical,08210000,      76,513,,533
Greater Lawrence Regional Vocational Technical,08230000,      63,456,,477
Greater Lowell Regional Vocational Technical,08280000,      75,515,,527
Greater New Bedford Regional Vocational Technical,08250000,     121,527,,524
Greenfield,01140000,      18,569,,572
Groton-Dunstable,06730000,     122,581,,612
Hadley,01170000,      27,596,,591
Hamilton-Wenham,06750000,      99,596,,599
Hampden Charter School of Science East (District),04990000,      16,538,,582
Hampden-Wilbraham,06800000,     128,557,,579
Hampshire,06830000,      37,593,,598
Hanover,01220000,     163,549,,553
Harvard,01250000,      64,612,,622
Hatfield,01270000,       9,,,
Haverhill,01280000,     123,543,,549
Hingham,01310000,     172,603,,608
Holbrook,01330000,      16,500,,510
Holliston,01360000,      95,583,,610
Holyoke,01370000,      68,506,,512
Hopedale,01380000,      43,592,,587
Hopkinton,01390000,     165,607,,637
Hudson,01410000,      96,580,,580
Hull,01420000,      42,558,,565
Innovation Academy Charter (District),04350000,      50,549,,563
Ipswich,01440000,      68,572,,570
KIPP Academy Lynn Charter (District),04290000,       8,,,
King Philip,06900000,     210,578,,581
Kingston,01450000,       1,,,
Lawrence,01490000,     168,467,,504
Lee,01500000,      17,601,,631
Leicester,01510000,      49,552,,555
Lenox,01520000,      27,590,,588
Leominster,01530000,     179,548,,569
Lexington,01550000,     304,648,,690
Lincoln-Sudbury,06950000,     194,615,,657
Littleton,01580000,      65,567,,586
Longmeadow,01590000,     129,603,,611
Lowell,01600000,     287,518,,535
Ludlow,01610000,      59,564,,588
Lunenburg,01620000,      55,581,,578
Lynn,01630000,     282,498,,505
Lynnfield,01640000,     110,581,,585
MATCH Charter Public School (District),04690000,      28,452,,516
Ma Academy for Math and Science,04680000,      27,717,,774
Malden,01650000,     213,519,,565
Manchester Essex Regional,06980000,      51,589,,609
Mansfield,01670000,     190,579,,621
Marblehead,01680000,     137,584,,592
Marlborough,01700000,     108,550,,551
Marshfield,01710000,     225,562,,565
Martha's Vineyard,07000000,      96,564,,565
Martha's Vineyard Charter (District),04660000,       4,,,
Masconomet,07050000,     170,586,,598
Mashpee,01720000,      51,557,,564
Massachusetts Virtual Academy at Greenfield Commonwealth Virtual District,39010000,       4,,,
Maynard,01740000,      45,596,,598
Medfield,01750000,     124,589,,624
Medford,01760000,     139,552,,563
Medway,01770000,     115,586,,596
Melrose,01780000,     161,565,,557
Mendon-Upton,07100000,      85,555,,565
Methuen,01810000,     171,529,,548
Middleborough,01820000,      82,557,,564
Milford,01850000,     113,542,,547
Millbury,01860000,      51,546,,568
Millis,01870000,      62,542,,542
Milton,01890000,     141,574,,587
Minuteman Regional Vocational Technical,08300000,      42,570,,550
Mohawk Trail,07170000,      23,564,,570
Monomoy Regional School District,07120000,      63,573,,567
Monson,01910000,      20,565,,600
Montachusett Regional Vocational Technical,08320000,      88,536,,537
Mount Greylock,07150000,      52,621,,624
Mystic Valley Regional Charter (District),04700000,      59,586,,615
Nantucket,01970000,      77,546,,525
Narragansett,07200000,      35,567,,574
Nashoba,07250000,     136,596,,629
Nashoba Valley Regional Vocational Technical,08520000,      51,535,,540
Natick,01980000,     221,590,,615
Nauset,06600000,     122,584,,582
Needham,01990000,     224,619,,638
New Bedford,02010000,      75,456,,482
Newburyport,02040000,     104,586,,605
Newton,02070000,     529,618,,646
Norfolk County Agricultural,09150000,      33,494,,510
North Adams,02090000,      22,512,,508
North Andover,02110000,     215,572,,578
North Attleborough,02120000,     155,559,,575
North Brookfield,02150000,       6,,,
North Middlesex,07350000,      70,552,,554
North Reading,02170000,     113,575,,589
Northampton,02100000,     105,618,,620
Northampton-Smith Vocational Agricultural,04060000,       9,,,
Northboro-Southboro,07300000,     213,598,,623
Northbridge,02140000,      55,528,,522
Northeast Metropolitan Regional Vocational Technical,08530000,      56,515,,521
Northern Berkshire Regional Vocational Technical,08510000,      32,540,,513
Norton,02180000,      91,554,,576
Norwell,02190000,     115,579,,570
Norwood,02200000,     126,555,,571
Old Colony Regional Vocational Technical,08550000,      35,515,,527
Old Rochester,07400000,     112,558,,568
Oxford,02260000,      31,496,,525
Palmer,02270000,      28,543,,559
Pathfinder Regional Vocational Technical,08600000,      18,541,,522
Paulo Freire Social Justice Charter School (District),35010000,      17,481,,481
Peabody,02290000,     148,522,,538
Pembroke,02310000,     126,566,,592
Pentucket,07450000,      93,568,,583
Phoenix Academy Public Charter High School Springfield (District),35080000,       6,,,
Phoenix Charter Academy (District),04930000,       2,,,
Pioneer Charter School of Science (District),04940000,      31,545,,600
Pioneer Charter School of Science II (PCSS-II) (District),35060000,      29,605,,660
Pioneer Valley,07500000,      29,544,,542
Pioneer Valley Chinese Immersion Charter (District),04970000,       8,,,
Pioneer Valley Performing Arts Charter Public (District),04790000,      18,584,,548
Pittsfield,02360000,     105,534,,542
Plymouth,02390000,     364,528,,532
Prospect Hill Academy Charter (District),04870000,      57,512,,532
Quabbin,07530000,      61,557,,557
Quaboag Regional,07780000,      29,590,,572
Quincy,02430000,     354,542,,582
Ralph C Mahar,07550000,      27,540,,544
Randolph,02440000,      58,490,,531
Reading,02460000,     202,578,,599
Revere,02480000,     265,500,,517
Rising Tide Charter Public (District),04830000,      37,568,,551
Rockland,02510000,      65,546,,565
Rockport,02520000,      34,586,,544
Roxbury Preparatory Charter (District),04840000,      32,496,,517
Sabis International Charter (District),04410000,      55,509,,519
Salem,02580000,     141,474,,482
Salem Academy Charter (District),04850000,      42,548,,536
Sandwich,02610000,     105,539,,561
Saugus,02620000,      68,528,,511
Scituate,02640000,     123,572,,580
Seekonk,02650000,      69,561,,574
Sharon,02660000,     166,628,,662
Shawsheen Valley Regional Vocational Technical,08710000,      98,531,,531
Shrewsbury,02710000,     220,587,,622
Silver Lake,07600000,     167,587,,607
Sizer School: A North Central Charter Essential (District),04740000,       9,,,
Somerset Berkley Regional School District,07630000,     100,562,,580
Somerville,02740000,     116,549,,556
South Hadley,02780000,      54,572,,613
South Middlesex Regional Vocational Technical,08290000,      36,510,,507
South Shore Charter Public (District),04880000,      33,552,,547
South Shore Regional Vocational Technical,08730000,      36,518,,520
Southbridge,02770000,      22,457,,433
Southeastern Regional Vocational Technical,08720000,      78,491,,489
Southern Berkshire,07650000,      12,588,,573
Southern Worcester County Regional Vocational Technical,08760000,      81,534,,536
Southwick-Tolland-Granville Regional School District,07660000,      49,546,,562
Spencer-E Brookfield,07670000,      19,552,,569
Springfield,02810000,"   1,108",426,,432
Stoneham,02840000,      88,546,,550
Stoughton,02850000,     114,531,,550
Sturgis Charter Public (District),04890000,     105,593,,591
Sutton,02900000,      51,570,,570
Swampscott,02910000,      95,571,,603
Swansea,02920000,      44,547,,558
TEC Connections Academy Commonwealth Virtual School District,39020000,      22,594,,567
Tantasqua,07700000,     126,579,,637
Taunton,02930000,     260,506,,502
Tewksbury,02950000,     136,559,,580
Tri-County Regional Vocational Technical,08780000,      59,549,,548
Triton,07730000,      81,548,,572
Tyngsborough,03010000,      89,544,,585
Upper Cape Cod Regional Vocational Technical,08790000,      45,526,,553
Uxbridge,03040000,      56,549,,544
Wachusett,07750000,     266,590,,606
Wakefield,03050000,     145,570,,583
Walpole,03070000,     174,562,,576
Waltham,03080000,     163,516,,533
Ware,03090000,      16,567,,604
Wareham,03100000,      40,533,,548
Watertown,03140000,      85,548,,575
Wayland,03150000,     115,638,,664
Webster,03160000,      32,528,,537
Wellesley,03170000,     179,628,,647
West Boylston,03220000,      24,589,,580
West Bridgewater,03230000,      31,549,,559
West Springfield,03320000,      87,550,,569
Westborough,03210000,     156,610,,645
Westfield,03250000,     126,561,,566
Westford,03260000,     257,613,,641
Weston,03300000,      84,626,,647
Westport,03310000,      26,566,,555
Westwood,03350000,     162,586,,620
Weymouth,03360000,     207,555,,553
Whitman-Hanson,07800000,     139,547,,542
Whittier Regional Vocational Technical,08850000,      74,513,,508
Wilmington,03420000,     119,559,,559
Winchendon,03430000,      17,494,,504
Winchester,03440000,     179,620,,652
Winthrop,03460000,      77,538,,547
Woburn,03470000,     173,547,,556
Worcester,03480000,     869,475,,488
State Totals,00000000,"  31,898",551,,566
